Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,-0.0176562,11.6034,0.003125,0.85125,0.045,0,0,1,1,0,0.19125,1.6838
0.00369203,-0.0298913,8.3159,-0.000849185,0.951427,0.0507812,0.000110237,0.00107538,1.03487,1.03487,0,0.203804,1.57552
0.00809922,-0.0959821,11.5074,-0.000186012,0.84189,0.0459449,0.000600152,0.00244183,1.07907,1.07907,0,0.193452,1.67073
0.0122428,-0.0977471,14.3808,-0.00290698,1.03779,0.0501453,0.00178886,0.00482444,1.119,1.119,0,0.168605,1.68981
0.0158706,-0.128374,10.4009,-0.000355114,1.36577,0.0582386,0.00155713,0.00789535,1.16223,1.16223,0,0.181818,1.77601
0.0209113,-0.195668,16.5518,-0.0120739,1.09517,0.0504261,0.00295197,0.00928913,1.22372,1.22372,0,0.207386,1.64133
0.0257351,-0.226926,20.6711,-0.00726744,1,0.0530523,0.0049595,0.00719233,1.28436,1.28436,0,0.18314,1.74023
0.0303151,-0.263207,26.8389,-0.015067,1.48251,0.061942,0.00836645,0.0151664,1.34487,1.34487,0,0.150298,1.75303
0.034469,-0.320126,34.2868,0.00818452,0.46875,0.0345982,0.0095663,0.00559461,1.40312,1.40312,0,0.238095,1.70274
0.0388859,-0.279861,29.5757,0.0102431,0.785069,0.0404514,0.0144031,0.0142389,1.47821,1.47821,0,0.190278,1.70935
0.0429468,-0.357713,42.4761,-0.0104721,1.11469,0.0477061,0.0179254,0.0228507,1.55173,1.55173,0,0.211436,1.67861
0.046967,-0.364636,42.2223,0.00175383,1.20057,0.0575574,0.0180543,0.0165551,1.62564,1.62564,0,0.1875,1.72835
0.0513479,-0.417031,51.1066,-0.00015625,0.901563,0.0482812,0.0173602,0.0156512,1.71338,1.71309,1.5625e-05,0.1925,1.71038
0.0562322,-0.439198,58.4905,-0.00356658,0.771399,0.0446671,0.0288043,0.0146564,1.82762,1.82724,1.69837e-05,0.222826,1.76527
0.0603848,-0.48023,65.9923,-0.0124362,0.772959,0.044324,0.0253548,0.016305,1.91661,1.91566,7.97194e-05,0.215561,1.86092
0.0651377,-0.52388,76.8774,-0.00869693,0.989682,0.0502653,0.0280804,0.0223338,2.05348,2.0513,0.000147406,0.207547,1.74561
0.0700095,-0.585,92.3519,-0.005,0.970625,0.051875,0.0232435,0.0197234,2.18914,2.1852,0.000296875,0.18,1.69983
0.0757648,-0.624043,106.416,0.00255102,0.752551,0.0465561,0.0385846,0.014977,2.38594,2.38103,0.000302934,0.21301,1.79885
0.080599,-0.609701,104.623,0.00846354,0.78776,0.039388,0.0614472,0.0314818,2.57523,2.56079,0.000846354,0.222656,1.79523
0.0846741,-0.664062,118.717,0.00833333,0.660417,0.0402778,0.0417734,0.0207543,2.73849,2.71922,0.00100694,0.223611,1.82719
0.0898664,-0.690044,129.635,-0.00708576,0.741642,0.0441497,0.0624932,0.0218059,2.96719,2.94241,0.00134448,0.199128,1.97829
0.0943718,-0.6982,131.294,-0.0161345,1.4392,0.0592731,0.0578794,0.0509413,3.1837,3.13623,0.00234375,0.206522,1.99525
0.0992882,-0.744792,148.183,0.00138889,0.822222,0.0434028,0.0608877,0.0337549,3.47958,3.3988,0.00394097,0.2125,1.97407
0.104331,-0.832201,184.974,-0.00509511,0.69769,0.0377038,0.0835878,0.0348223,3.83224,3.71011,0.00538383,0.217391,2.05915
0.108854,-0.861753,200.625,-0.00424592,0.977242,0.0501019,0.124592,0.0364259,4.14757,3.9874,0.00699728,0.201087,1.97664
0.112719,-0.855903,193.851,-0.00486111,0.559028,0.0375,0.0802089,0.0224342,4.54762,4.27759,0.0111285,0.222222,1.97105
0.117707,-0.944315,237.758,0.00482048,1.11137,0.0520279,0.131269,0.049249,5.00896,4.6014,0.0154089,0.215426,2.06837
0.121779,-0.959662,242.328,-0.00621811,0.458865,0.0355548,0.0973544,0.0164698,5.49447,4.90952,0.0212213,0.183673,1.89594
0.126671,-0.995643,262.037,0.00345553,0.721454,0.0398137,0.132582,0.039985,6.15643,5.29527,0.0296875,0.225962,2.0687
0.131031,-1.00442,266.72,0.0025059,0.774469,0.0443691,0.145092,0.0354442,6.74612,5.59555,0.0376032,0.233491,2.04735
0.135342,-1.04481,284.952,-0.014888,0.872347,0.0496757,0.10064,0.0325662,7.54295,5.92173,0.0495578,0.200472,2.14959
0.140689,-1.11815,327.051,-0.000137061,0.705866,0.0426261,0.138283,0.0338664,8.70221,6.31197,0.0679139,0.203947,2.07256
0.145431,-1.09649,312.943,-0.000685307,0.643914,0.0407072,0.109049,0.0319515,9.92333,6.6099,0.0882401,0.240132,2.22823
0.15095,-1.19976,376.563,0.00269397,0.50431,0.0344828,0.183935,0.0301766,11.4669,6.82694,0.11444,0.212284,2.15962
0.155362,-1.20846,380.463,0.000260417,0.601042,0.0398437,0.159412,0.0302389,13.1485,6.93695,0.142956,0.220833,2.37515
0.160238,-1.29916,437.051,0.0079472,0.396821,0.0308459,0.127524,0.0245557,15.1942,6.9418,0.177209,0.235991,2.42253
0.165862,-1.3319,462.592,-0.00182292,0.497396,0.0351562,0.232698,0.0300193,17.8585,6.84471,0.217643,0.21875,2.43092
0.170172,-1.34989,473.196,-0.00585938,0.441406,0.0323661,0.194398,0.0294789,20.6938,6.70624,0.256138,0.241071,2.62154
0.175009,-1.39583,512.126,0.00566789,0.393689,0.0317096,0.408819,0.0238505,23.9459,6.34507,0.298361,0.235294,2.66284
0.178439,-1.47018,560.167,-0.00334821,0.496492,0.0361926,0.21772,0.0287567,27.3591,6.03047,0.339764,0.22449,2.54349
0.183232,-1.48597,573.811,-0.0110013,0.507972,0.0371492,0.2866,0.0283415,32.0398,5.66094,0.383833,0.229592,2.6919
0.187522,-1.4892,578.808,0.00897606,0.395612,0.0299202,0.389488,0.0312103,37.0394,5.15937,0.42869,0.242021,2.82201
0.191288,-1.53091,609.338,-0.00169837,0.525136,0.0360054,0.342294,0.0369682,42.1848,4.6937,0.467884,0.226902,2.79509
0.195386,-1.59658,664.657,-0.00465426,0.43883,0.0322473,0.461874,0.033727,48.6866,4.30976,0.508195,0.243351,2.6578
0.198989,-1.60522,671.008,-0.000166223,0.481051,0.0337434,0.450012,0.0377214,55.0647,3.77643,0.545213,0.236702,2.63156
0.202707,-1.59184,655.638,0.0106824,0.705038,0.042889,0.285521,0.0474605,61.9995,3.37076,0.581872,0.235969,2.86494
0.207461,-1.71524,762.494,0.0028699,0.509566,0.0344388,0.401444,0.0427251,72.7879,2.82438,0.626148,0.234694,2.85398
0.211565,-1.76036,805.417,-0.0032269,0.521399,0.0348166,0.541922,0.0446567,83.6245,2.45363,0.661685,0.244565,3.68034
0.215167,-1.71659,767.822,-0.00831117,0.453457,0.0329122,0.623735,0.0379026,91.939,2.15768,0.688248,0.240691,3.15693
0.218581,-1.82656,861.838,0.00078125,0.344062,0.0295312,0.369681,0.026406,100.642,1.83208,0.710156,0.2425,3.3208
0.223087,-1.87837,915.77,0.00153186,0.324755,0.0291054,0.623661,0.0240691,113.207,1.54305,0.741667,0.240196,3.81394
0.226628,-1.93538,971.737,0.00667318,0.263997,0.0255534,0.659212,0.0219456,123.454,1.28211,0.766667,0.234375,3.69904
0.230126,-2.03581,1073.11,-0.00016276,0.239909,0.0252279,0.641385,0.0177148,133.277,1.09217,0.787809,0.246094,4.14354
0.233727,-1.98624,1020.61,-0.00798234,0.279552,0.0283628,0.581473,0.0172054,142.398,0.939232,0.800119,0.240489,4.30778
0.237569,-2.09219,1140.21,-0.00677083,0.347569,0.0289931,1.1083,0.0314485,154.401,0.773559,0.823559,0.243056,4.14776
0.240397,-2.15099,1198.54,-0.00446429,0.260842,0.026148,0.814465,0.0206286,160.655,0.688042,0.834279,0.243622,4.68588
0.243736,-2.21842,1281.03,0.0118019,0.312168,0.0284242,1.25695,0.0256742,169.808,0.578757,0.848437,0.242021,5.15513
0.24646,-2.19323,1245.64,-0.00451389,0.227083,0.0222222,0.863533,0.0248096,176.074,0.524375,0.857361,0.244444,4.82194
0.249784,-2.25119,1312.92,-0.0091712,0.293478,0.0264946,0.96996,0.0284195,183.688,0.465099,0.869141,0.251359,5.38596
0.252963,-2.26921,1330.29,0.000651042,0.239583,0.0240885,0.772172,0.0230291,191.456,0.406413,0.88444,0.251302,5.28588
0.256571,-2.30821,1373.88,-0.00382966,0.20864,0.022212,0.655395,0.0211251,198.282,0.31924,0.896293,0.247549,5.23793
0.260543,-2.43859,1538.98,0.005625,0.27875,0.02625,1.12753,0.0266666,201.767,0.297656,0.892969,0.25,6.0532
0.263618,-2.43842,1538.34,-0.00199142,0.276042,0.0268076,1.12535,0.0242708,208.643,0.234069,0.908854,0.248775,6.63362
0.266733,-2.48032,1590.92,-0.00173611,0.140625,0.0185185,1.13878,0.0140924,212.909,0.207465,0.916088,0.25,6.64437
0.269865,-2.63963,1803.16,-0.00482955,0.16875,0.0196023,1.41571,0.0189937,217.51,0.172585,0.925568,0.248864,7.38421
0.272708,-2.62883,1784.73,-0.00368514,0.217276,0.0237323,1.15863,0.0199325,220.155,0.160967,0.929098,0.252358,7.40272
0.275883,-2.67458,1850.02,0.0015024,0.191707,0.0213341,1.42727,0.0207435,224.428,0.134766,0.938401,0.25,7.40097
0.278778,-2.74913,1949.15,0.00101273,0.122396,0.0172164,1.11676,0.0129676,225.349,0.137876,0.938802,0.247685,7.79611
0.282084,-2.87974,2137.11,-0.00167411,0.0976562,0.015346,1.1234,0.010541,229.482,0.102121,0.946429,0.251116,8.42854
0.285419,-2.77329,1981.33,0.00405093,0.185185,0.0202546,1.00946,0.0228796,230.113,0.0872396,0.946759,0.25,8.34879
0.28898,-2.83063,2063.7,-0.00132665,0.129422,0.0172465,1.04445,0.0153961,232.352,0.0899175,0.951651,0.25,8.51135
0.292524,-2.92777,2207.25,-0.000318878,0.133929,0.0159439,1.09945,0.0201407,235.586,0.0822704,0.959981,0.25,8.8046
0.29602,-3.01449,2338.57,0.0016276,0.115885,0.0166016,1.07458,0.0134182,237.944,0.0597331,0.964681,0.25,9.48354
0.299599,-2.9902,2299.28,0.00291054,0.0891544,0.0148591,0.926023,0.00977642,239.019,0.0540748,0.965686,0.25,9.43093
0.303501,-3.02188,2349.04,0.00184659,0.0980114,0.0140625,1.04226,0.0143818,239.292,0.0589489,0.964347,0.25,9.47097
0.307227,-3.07782,2433.72,0.00510817,0.0907452,0.015024,0.814326,0.0101263,241.306,0.0492788,0.969651,0.25,9.82781
0.311494,-3.10339,2474.55,0.00249335,0.0854388,0.0137965,0.8734,0.0114351,242.299,0.0487035,0.970911,0.25,9.98718
0.315671,-3.19678,2623.22,-0.000976562,0.0566406,0.0113932,0.702837,0.00738999,245.041,0.0294596,0.979329,0.25,10.3357
0.320391,-3.20345,2631.47,-0.00374349,0.0524089,0.0105794,0.448557,0.00761128,244.948,0.0345052,0.9764,0.25,10.4162
0.326386,-3.19739,2624.39,0.000797194,0.0749362,0.0148278,0.77041,0.00608746,246.344,0.0285395,0.98007,0.25,10.3825
0.331047,-3.22493,2667.21,-0.00211589,0.054362,0.0105794,0.520844,0.008511,247.72,0.0224609,0.983887,0.25,10.3295
