B,0.1,0.109422,0.120095,0.129775,0.14016,0.14965,0.160611,0.171197,0.181995,0.192386,0.203639,0.213678,0.224697,0.234404,0.24383,0.25346,0.262404,0.272236,0.281897,0.290948,0.299238,0.308342,0.318369,0.328311,0.33702,0.344942,0.353954,0.363666,0.372191,0.381132,0.390728,0.399678,0.408936,0.418113,0.427454,0.436795,0.445648,0.454811,0.464061,0.474052,0.484059,0.494659,0.504235,0.514987,0.526844,0.536916,0.547162,0.558864,0.570174,0.581869,0.593148,0.604749,0.616895,0.62985,0.642338,0.654946,0.668053,0.682023,0.6954,0.70866,0.723377,0.738054,0.755271,0.777526,0.801412,0.826833,0.850672,0.875165,0.90296,0.932128,0.963046,0.999832,1.0434,1.10801,1.1869,1.31397,1.50356,1.69474,1.91107,2.22284,2.59884,2.97483,3.35083,3.72682,4.10282,4.47881,4.8548,
E,98,102.743,112.724,113.434,125.524,138.722,153.856,154.796,163.792,180.128,191.312,195.224,209.253,210.061,221.979,235.068,237.346,252.952,266.151,264.86,282.321,290.486,300.138,311.717,316.885,331.67,341.196,345.423,354.291,352.935,367.5,381.212,385.978,386.042,397.237,401.617,405.485,409.265,410.99,415.216,418.061,417.922,422.526,426.484,433.237,434.641,425.374,428.6,423.728,422.514,420.832,411.837,406.522,400.909,393.034,387.153,382.182,375.783,369.179,359.052,353,346.642,339.434,335.244,332.242,327.478,323.673,318.696,314.495,311.333,307.586,304.809,302,300.703,299.494,298.638,297.636,297.011,296.404,296.222,296.087,296.043,296,296,296,296,296,
M,9.14,9.10476,8.81905,9.96226,9.69524,9.29897,8.78351,9.76344,9.58333,8.53191,8.64516,7.83673,7.71717,7.63636,6.14433,6.99029,7.71963,8.3619,6.58491,7.15888,6.375,6.88288,7.10345,6.0885,7.85841,6.07339,6.39252,6.01923,6.27184,6.4486,5.86538,5.37374,5.74194,5.5,5.23711,5.68085,5.17526,5.2449,4.12121,5.6701,5.15152,5.01961,4.4,5.01053,4.3299,5.00971,4.66667,4.84,5.57282,4.32381,5.0297,5.02041,4.93478,4.86364,4.33708,4.58824,4.36364,4.15217,4.23158,4.16495,4.34615,4.11321,3.9596,3.71111,3.65657,3.8913,3.63265,3.28261,2.8172,2.85417,2.75862,2.67416,2.44444,2.52747,2.50575,2.42553,2.27273,2.18947,2.08989,2.06667,2.04348,2.02151,2,2,2,2,2,
C,15.9248,14.8597,21.7612,22.0766,30.8351,26.3499,32.5429,35.5361,43.3722,41.3209,58.1686,53.1598,75.7499,87.4217,90.6362,113.529,100.696,112.268,137.129,174.15,152.726,133.675,144.976,200.931,255.863,207.077,187.798,257.259,244.994,223.016,269.386,263.512,280.721,283.264,295.985,344.19,334.426,341.744,304.981,317.276,294.798,377.278,310.888,266.679,386.815,388.213,309.103,345.148,336.059,376.234,369.556,350.486,320.559,359.597,366.948,353.03,323.265,367.491,388.799,327.831,343.388,259.804,162.812,149.798,140.507,170.073,170.525,140.158,135.48,128.495,96.8938,74.4666,36.8698,27.8856,12.3344,6.79034,8.7438,8.67658,5.31159,4.14803,2.29814,1.50615,0,0,0,0,0,
X,4.16204,5.65227,5.60621,7.36514,9.11738,6.10993,7.5975,8.6276,7.91553,7.25623,9.09431,8.34955,8.73387,9.66718,5.15307,5.7459,6.67927,6.94397,7.84986,9.6157,6.27397,6.6154,8.63648,9.77122,9.70418,8.78308,6.41588,8.54601,8.15347,7.84514,8.42362,6.64182,7.18411,7.14276,6.04405,6.88848,5.87162,6.96195,5.80566,8.19789,8.10054,5.49926,5.20582,7.3236,7.24244,7.29263,9.55047,8.41336,10.4802,6.61109,7.78087,8.79947,7.64151,8.00456,6.24936,7.4478,9.02147,7.30854,7.60479,7.52028,7.5366,7.78885,7.62776,7.50303,7.96817,8.29451,6.48225,5.90406,4.05742,4.17475,3.82928,3.23036,2.66903,2.41912,1.77008,1.5513,1.11835,0.866806,0.499903,0.2865,0.221073,0.126574,0,0,0,0,0,
