Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,0.0053125,1.935,0.0071875,1.03438,0.050625,0,0,1,1,0,0.19375,1.58597
0.0112834,-0.00876913,1.75877,-0.0110013,0.888074,0.0435268,0.000221413,0.00454792,1.05089,1.05089,0,0.215561,1.55634
0.0231633,-0.0582613,3.36195,-0.00864362,0.964096,0.0485372,0.00133758,0.00836182,1.11589,1.11589,0,0.159574,1.64715
0.0330855,-0.0735394,3.59392,0.0140965,0.888247,0.0460258,0.00241859,0.0114457,1.16967,1.16967,0,0.211957,1.78331
0.0436252,-0.107382,4.62524,-0.000159439,1.07239,0.0511798,0.00318461,0.0175297,1.23795,1.23795,0,0.188776,1.7138
0.0557361,-0.121889,6.20508,0.000289352,1.47222,0.0633681,0.00746085,0.0247609,1.32057,1.32057,0,0.171296,1.74567
0.0658453,-0.140625,6.92954,-0.00294811,1.47583,0.0607311,0.00809473,0.0350052,1.37919,1.37919,0,0.129717,1.83616
0.0773108,-0.161369,8.349,-0.0192619,1.33809,0.0612877,0.0100581,0.0291082,1.474,1.474,0,0.178879,1.77377
0.0893876,-0.178458,9.73951,-0.00896991,1.8287,0.0685764,0.0126774,0.05585,1.58446,1.58446,0,0.162037,1.81241
0.101825,-0.196759,11.3993,-0.00983796,1.29688,0.0558449,0.0154329,0.0507597,1.70307,1.70307,0,0.199074,1.76446
0.114666,-0.241051,16.7824,-0.0159091,1.25682,0.0556818,0.0250783,0.0531018,1.84472,1.84472,0,0.159091,1.78868
0.12601,-0.266509,20.2134,0.0201946,2.3694,0.0717866,0.0322406,0.132329,2.00805,2.00805,0,0.128538,2.02277
0.137004,-0.281328,21.5513,-0.0084375,1.62813,0.0678125,0.0242149,0.0617752,2.15488,2.15488,0,0.1425,1.99034
0.150797,-0.305664,25.3748,-0.0061849,1.93034,0.0735677,0.0331234,0.0821564,2.34642,2.34642,0,0.144531,1.91117
0.163778,-0.325868,28.8179,-0.0145833,1.78542,0.0673611,0.0438089,0.102167,2.59472,2.59472,0,0.156944,2.06437
0.176037,-0.346447,33.5194,0.0063244,2.67039,0.0799851,0.0865481,0.181775,2.88984,2.88984,0,0.142857,2.11227
0.185411,-0.337176,31.0721,0.00438262,2.0362,0.0699314,0.0676569,0.145411,3.11002,3.11002,0,0.125,2.12598
0.196578,-0.407848,45.2962,-0.0165128,1.72266,0.0669389,0.104843,0.113144,3.43668,3.43572,3.55114e-05,0.150568,1.99237
0.20609,-0.439904,51.497,0.0234375,2.86899,0.0875401,0.0831218,0.186963,3.72147,3.72023,4.00641e-05,0.121795,2.29153
