B,0,0.021034,0.0420485,0.0628349,0.0838822,0.104452,0.124958,0.145296,0.165418,0.185557,0.204631,0.223753,0.242398,0.260902,0.278834,0.296847,0.31388,0.330548,0.34648,0.362013,0.376912,0.391158,0.404936,0.41686,0.427955,0.43795,0.44802,0.458624,0.47077,0.484437,0.500429,0.51875,0.538996,0.561606,0.587268,0.618259,0.65344,0.695974,0.748778,0.815127,0.902263,1.03367,1.2828,
E,-0.0020864,-0.0233357,-0.0490507,-0.081933,-0.121183,-0.162196,-0.207843,-0.25303,-0.301914,-0.350486,-0.400285,-0.452166,-0.506202,-0.558203,-0.616195,-0.676438,-0.73219,-0.796222,-0.853074,-0.918856,-0.984354,-1.05344,-1.13565,-1.21933,-1.3131,-1.40625,-1.49639,-1.57287,-1.63548,-1.69524,-1.74799,-1.79241,-1.83417,-1.86682,-1.89787,-1.92226,-1.9443,-1.96319,-1.97616,-1.98655,-1.9938,-1.99815,-1.99974,
M,0.031968,0.0329906,0.0335586,0.0337329,0.0358462,0.0382105,0.0411656,0.0429472,0.0453965,0.0489353,0.0526072,0.0582341,0.060367,0.0680891,0.0732853,0.0833851,0.0927764,0.106114,0.122619,0.144167,0.169175,0.207638,0.284136,0.382929,0.515342,0.635052,0.74014,0.806762,0.85225,0.887168,0.912324,0.931529,0.9476,0.959433,0.970062,0.977815,0.984459,0.990076,0.993653,0.99649,0.998404,0.999531,0.999935,
C,0,0.000906462,0.0037024,0.00806401,0.0150456,0.0234767,0.0341548,0.0471749,0.0610431,0.0856225,0.103615,0.130309,0.155251,0.19154,0.216804,0.274807,0.320852,0.389472,0.450189,0.534125,0.63335,0.72925,1.04338,1.27724,1.65883,1.71122,1.61502,1.29015,1.07351,0.830194,0.675092,0.594,0.514171,0.433336,0.32489,0.279433,0.213535,0.157178,0.115234,0.0791778,0.0426521,0.0155769,0.00339139,
X,0,0.00760299,0.0159736,0.0259595,0.0415909,0.055246,0.0763987,0.0931814,0.120794,0.151873,0.193912,0.255454,0.325936,0.417423,0.517303,0.778532,0.906228,1.27395,1.75947,2.43872,3.48887,4.98151,8.47598,11.719,12.7201,10.2198,5.90755,3.11082,1.2547,0.638031,0.368492,0.227606,0.157949,0.106992,0.0654046,0.0468624,0.0315116,0.0189587,0.012079,0.00705598,0.0032855,0.000992789,0.000172303,
