Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,0.00359375,3.28922,0.02,1.2575,0.058125,0,0,1,1,0,0.18375,1.66946
0.00691404,-0.0368652,2.96851,0.00455729,1.20898,0.0556641,0.000125275,0.00287466,1.03831,1.03831,0,0.196615,1.63865
0.0146562,-0.0630327,3.03214,0.00106534,0.982244,0.0458097,0.000432833,0.00652232,1.09016,1.09016,0,0.203125,1.67927
0.0234853,-0.0489477,2.69563,-0.000637755,1.58801,0.0589923,0.00114851,0.0163718,1.14758,1.14758,0,0.22449,1.77668
0.0321707,-0.105619,5.16286,0.000300481,1.0607,0.0486779,0.00238773,0.0146086,1.21361,1.21361,0,0.185096,1.69684
0.0404222,-0.0878209,4.34773,0.00139509,1.02958,0.0507812,0.00387789,0.0149327,1.28304,1.28304,0,0.194196,1.65702
0.0485576,-0.153577,7.97444,0.00589364,1.21957,0.0546875,0.00456578,0.0220426,1.3455,1.3455,0,0.150219,1.74024
0.0575642,-0.142475,7.6581,-0.0104167,1.30318,0.0537281,0.00815651,0.0324767,1.4324,1.4324,0,0.172149,1.79114
0.0655526,-0.15982,9.44174,0.00484914,1.53125,0.0589978,0.0124743,0.0419654,1.52796,1.52796,0,0.177802,1.74204
0.0729086,-0.189817,11.6888,-0.00556144,0.938559,0.0471398,0.0131027,0.0269532,1.60845,1.60845,0,0.191737,1.78447
0.0808914,-0.209995,14.3381,0.00471444,1.31762,0.0596713,0.0199514,0.032849,1.70954,1.70954,0,0.193966,1.83569
0.088069,-0.231816,15.6884,-0.0152209,0.988955,0.052667,0.0149801,0.0245587,1.81579,1.81579,0,0.18319,1.75545
0.0970873,-0.232045,15.5604,-0.0109649,1.55976,0.0649671,0.016742,0.0465294,1.93621,1.93621,0,0.171053,1.82598
0.106491,-0.259138,19.761,-0.0047433,0.890625,0.0485491,0.0291441,0.0305874,2.12475,2.12475,0,0.169643,1.82957
0.11431,-0.28448,22.7259,0.0132212,1.16226,0.0561899,0.0262388,0.0404644,2.27013,2.27013,0,0.191106,1.86342
0.123154,-0.29823,24.8502,0.00972577,1.21397,0.0537309,0.031566,0.058485,2.49283,2.49078,9.56633e-05,0.1875,1.93578
0.131842,-0.35637,34.6855,-0.00495793,1.19501,0.0545373,0.0377823,0.0571649,2.6652,2.66481,3.00481e-05,0.18149,1.93018
0.140342,-0.329026,29.6572,0.0211839,1.27494,0.0566406,0.0382694,0.0636665,2.94835,2.9421,0.000240385,0.158654,1.91126
0.149334,-0.369285,37.0316,0.00376157,1.3235,0.0584491,0.0472878,0.0670395,3.19433,3.1838,0.000405093,0.159722,1.9425
0.157941,-0.394318,41.8662,0.00426136,1.2892,0.0576705,0.0514263,0.0691431,3.57486,3.56134,0.000482955,0.161364,1.81952
0.16667,-0.38351,40.5739,0.00488281,1.11021,0.0520368,0.0811548,0.0695024,3.96247,3.92673,0.00128348,0.185268,1.87729
0.174002,-0.406798,44.4692,0.0113761,1.98766,0.0725055,0.0637341,0.111685,4.35112,4.31083,0.00139803,0.140351,2.14511
0.182641,-0.441269,52.5811,-0.00699013,1.23766,0.0560581,0.0911708,0.0791165,4.86721,4.75792,0.00320724,0.178728,2.13451
0.190222,-0.45204,54.7355,0.0127315,1.22975,0.0538194,0.0877249,0.0928725,5.44563,5.29563,0.00431134,0.168981,2.15852
0.198271,-0.470532,57.9385,0.0060307,1.43476,0.0619518,0.0495329,0.0896632,6.07667,5.80754,0.00715461,0.186404,2.10531
0.209436,-0.511435,68.4667,-0.000568182,0.953409,0.0477273,0.0660561,0.0775477,7.16966,6.67364,0.0118182,0.194318,2.03922
0.219649,-0.50293,67.5301,0.00878906,1.61635,0.0651507,0.134024,0.116355,8.37921,7.51735,0.0188895,0.143973,2.15292
0.227169,-0.514844,69.3954,-0.00442708,1.43125,0.0598958,0.0794231,0.116503,9.68904,8.24232,0.0291667,0.177083,2.18351
0.237272,-0.549949,78.9936,0.0180584,1.58786,0.0639088,0.0882762,0.128665,11.3645,9.07894,0.0426998,0.181352,2.14931
0.24728,-0.579448,88.0863,-0.0187752,1.35408,0.0588458,0.130347,0.115628,13.7037,9.97127,0.0630292,0.176411,2.34739
0.255865,-0.598772,93.9636,0.00292969,1.8803,0.0634766,0.14274,0.21718,15.7118,10.5851,0.0803571,0.152902,2.37796
0.264352,-0.628762,103.268,-0.0134549,1.38166,0.0559896,0.144,0.153096,19.1973,10.8174,0.115451,0.170139,2.3887
0.273083,-0.626591,102.776,0.0121528,1.88657,0.0630787,0.168985,0.237028,22.9907,11.3678,0.152488,0.144676,2.5208
