Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,-0.0009375,4.82875,0.010625,0.875,0.046875,0,0,1,1,0,0.20375,1.66705
0.00570365,-0.0318878,5.54337,-0.00621811,0.927615,0.0470344,0.000171866,0.00206062,1.0464,1.0464,0,0.205357,1.59272
0.0111564,-0.04375,5.50833,0.0157986,0.731597,0.0414931,0.00062461,0.00324483,1.09514,1.09514,0,0.202778,1.64015
0.0167512,-0.0970052,7.47917,0.00292969,0.806641,0.0478516,0.00142271,0.00369294,1.15436,1.15436,0,0.21875,1.58279
0.0223172,-0.138393,10.1658,0.0020727,1.1132,0.0572385,0.00262116,0.00612567,1.208,1.208,0,0.192602,1.64554
0.0277805,-0.135638,10.0824,0.00598404,0.702793,0.0448803,0.00414635,0.00519902,1.26326,1.26326,0,0.227394,1.70335
0.0331876,-0.216033,17.2717,-0.00849185,1.0394,0.0536685,0.00586417,0.0100241,1.33237,1.33237,0,0.1875,1.63551
0.0386193,-0.28125,26.075,0.00546875,0.529687,0.0348437,0.00868769,0.00845304,1.40741,1.40741,0,0.20875,1.66911
0.0438122,-0.255,22.48,0.00328125,1.20719,0.0554687,0.0111977,0.0183806,1.48075,1.48075,0,0.1925,1.68643
0.0490013,-0.245443,21.8177,0.000651042,1.08398,0.0537109,0.015357,0.0169279,1.56182,1.56182,0,0.179688,1.73393
0.0539571,-0.341146,35.5938,-0.00607639,1.11979,0.0538194,0.016887,0.0204109,1.65836,1.65836,0,0.212963,1.78195
0.0591611,-0.336875,34.0725,0.00953125,0.970313,0.0498437,0.0175716,0.0197779,1.74937,1.74937,0,0.18125,1.67066
0.0647547,-0.37234,40.4947,0.00515293,0.957779,0.0503657,0.0209805,0.0199693,1.85891,1.85848,3.32447e-05,0.223404,1.78957
0.0703577,-0.430664,52.4674,-0.000651042,0.990885,0.0517578,0.0246854,0.0214657,1.97852,1.97852,0,0.192708,1.80772
0.0759701,-0.448023,57.2003,0.00621811,0.887436,0.0457589,0.0335597,0.0266961,2.11939,2.11738,0.000127551,0.186224,1.79692
0.0811676,-0.46742,61.0372,-0.0121343,0.91988,0.0480386,0.0336388,0.0267129,2.30053,2.29751,0.000166223,0.200798,1.82123
