Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,0.0302344,2.5757,0.0214063,1.24281,0.0539063,0,0,1,1,0,0.185,1.72519
0.00819022,-0.0199908,2.83387,-0.0160846,0.85815,0.0461091,0.000183232,0.00257076,1.04838,1.04838,0,0.192402,1.51591
0.0157734,-0.0314062,2.24375,-0.00265625,0.805312,0.0417187,0.000495425,0.0056746,1.09163,1.09163,0,0.2075,1.63584
0.0246552,-0.0688101,3.64709,0.00886418,0.779147,0.0443209,0.00148016,0.0068116,1.1518,1.1518,0,0.188702,1.58481
0.032687,-0.0621244,3.40077,0.00345553,1.16496,0.0563401,0.00257788,0.0115178,1.21193,1.21193,0,0.201923,1.67328
0.0407557,-0.0904715,4.50133,0.000139509,1.26646,0.0567801,0.00399633,0.0179782,1.27204,1.27204,0,0.18192,1.74681
0.0488358,-0.120881,5.37344,-0.00383523,1.00597,0.0518466,0.00389396,0.015521,1.33705,1.33705,0,0.172727,1.66817
0.0586443,-0.15346,8.39411,0.00432478,1.09626,0.0511998,0.00813475,0.0249343,1.41922,1.41922,0,0.206473,1.7094
0.0667935,-0.162388,8.51981,-0.00390625,1.38504,0.0583147,0.00789258,0.0343645,1.51069,1.51069,0,0.171875,1.82188
0.0762164,-0.18803,11.4544,-0.00688559,1.15148,0.0521716,0.013962,0.0346543,1.62839,1.62839,0,0.185381,1.82463
0.0843006,-0.208223,13.4766,0.00900424,0.850636,0.0476695,0.0168944,0.0226689,1.734,1.73361,2.64831e-05,0.185381,1.7298
0.0924292,-0.226226,15.352,0.00862069,1.21013,0.0498384,0.0192259,0.0530785,1.83952,1.83952,0,0.18319,1.73475
0.100784,-0.247975,18.1891,-0.00896991,1.125,0.0529514,0.0248582,0.0410406,1.99919,1.99919,0,0.174769,1.75055
0.108795,-0.272208,20.871,-0.00144676,1.01736,0.0486111,0.022515,0.0448697,2.10784,2.10784,0,0.201389,1.94119
0.117883,-0.279973,22.3414,0.0172776,1.50871,0.0572416,0.0316127,0.0789701,2.28513,2.28437,3.00481e-05,0.16226,1.91191
