Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0.533655,-1.27843,420.194,0.0012718,0.805596,0.0463299,0.509726,0.13667,242.853,0.0319767,0.978198,0.202035,6.10867
0.543023,-1.29497,430.927,-0.00920139,0.828819,0.0425347,0.481249,0.198564,241.569,0.0347222,0.970833,0.2,6.11091
0.552833,-1.28834,426.525,-0.0150799,1.19586,0.0543241,0.493323,0.243453,242.315,0.0377907,0.972384,0.203488,6.19694
0.562698,-1.3212,449.317,0.00461648,1.11861,0.0511364,0.775993,0.252756,242.419,0.0568182,0.97017,0.194602,6.42908
0.570704,-1.33958,461.747,-0.00319602,0.745028,0.043679,0.769867,0.146453,245.439,0.0355114,0.980114,0.201705,6.75922
0.578856,-1.37963,489.832,0.00327035,0.657703,0.0348837,0.859435,0.200391,243.795,0.0421512,0.972384,0.202035,6.92044
0.586682,-1.4079,510.246,0.000520833,0.569097,0.0376736,0.966286,0.120713,246.557,0.0263889,0.980556,0.204167,7.29269
0.594162,-1.41252,513.723,-0.00976562,0.585938,0.0406901,1.04177,0.0963031,249.858,0.0130208,0.992188,0.204427,7.37624
0.601458,-1.44531,538.812,-0.0163043,0.884511,0.047894,1.4639,0.178806,246.484,0.0271739,0.976902,0.20788,7.74409
0.607688,-1.46467,554.278,-0.0107639,0.63125,0.0371528,1.88046,0.168868,246.782,0.0263889,0.977778,0.213889,7.97493
0.613242,-1.49715,580.439,-0.00846354,0.60026,0.0361328,2.4913,0.163142,250.329,0.0143229,0.990885,0.220052,8.39768
0.618111,-1.54313,616.679,-0.00318878,0.696429,0.0389031,2.70531,0.190988,250.242,0.0114796,0.98852,0.221939,8.76543
0.622821,-1.58211,647.313,-0.00244141,0.606445,0.0349935,2.53102,0.182463,250.32,0.015625,0.988281,0.229167,9.26288
0.627728,-1.60807,668.074,-0.0015625,0.378819,0.0262153,2.39716,0.127357,251.15,0.0111111,0.990278,0.231944,9.54009
0.632809,-1.66806,716.155,-0.0015625,0.237153,0.0210069,1.54482,0.0785836,252.188,0.00694444,0.993056,0.241667,10.2064
0.63919,-1.70597,747.957,-0.0053267,0.149148,0.0166903,1.19104,0.049751,253.098,0.00568182,0.995739,0.245739,10.494
0.646531,-1.72318,762.86,-0.00434028,0.121181,0.0154514,1.1325,0.0388318,253.658,0.00277778,0.997222,0.247222,10.5893
0.654145,-1.75582,790.428,-0.000332447,0.0777926,0.012633,0.516096,0.0241621,253.999,0.00265957,0.99734,0.24867,10.9175
0.665557,-1.7456,781.066,-0.00199468,0.106383,0.0149601,0.44662,0.0326715,254.451,0.00132979,0.99867,0.24867,10.8853
0.678039,-1.76596,799.165,-0.00152853,0.0533288,0.0103601,0.365559,0.0175288,253.147,0.00815217,0.993207,0.248641,10.9711
0.692094,-1.7793,810.926,-0.00177557,0.0504261,0.0106534,0.218533,0.014791,254.669,0.00142045,0.99858,0.25,11.0459
0.71065,-1.79278,823.376,-0.00285823,0.050686,0.00971799,0.292058,0.018839,252.892,0.00914634,0.990854,0.25,11.1185
0.727131,-1.79733,827.278,0.0025436,0.0261628,0.00726744,0.157368,0.00919236,254.929,0.00145349,0.998547,0.25,11.1381
0.750103,-1.81167,840.585,-0.00332447,0.0319149,0.00731383,0.200608,0.0136676,253.838,0.00664894,0.993351,0.25,11.1831
0.771093,-1.80377,833.322,-0.00122549,0.0343137,0.00765931,0.241239,0.0148786,254.624,0.00367647,0.996324,0.25,11.1584
0.790769,-1.8208,848.935,-0.00211589,0.0218099,0.00569661,0.134002,0.0106772,255.336,0.00130208,0.998698,0.25,11.2165
0.817844,-1.82382,851.721,0.00143495,0.0239158,0.00558036,0.122453,0.0130396,255.712,0,1,0.25,11.2222
0.847135,-1.83578,862.82,-0.000318878,0.0114796,0.00318878,0.0569762,0.0075196,255.2,0.00255102,0.997449,0.25,11.267
0.891615,-1.83373,860.92,-0.00186821,0.0078125,0.00288723,0.0821782,0.005063,255.895,0,1,0.25,11.2621
0.930597,-1.83825,865.131,0.000159439,0.00478316,0.0020727,0.057014,0.00342772,255.899,0,1,0.25,11.2832
0.979443,-1.84323,869.792,-0.000147406,0.00324292,0.00132665,0.028004,0.00273496,255.917,0,1,0.25,11.2988
1.0528,-1.84117,867.875,-0.000279018,0.00558036,0.00167411,0.0663788,0.00511963,255.968,0,1,0.25,11.2917
1.10401,-1.84406,870.574,-0.000153186,0.000919118,0.000459559,0.0419805,0.000955028,255.979,0,1,0.25,11.3016
1.17154,-1.84683,873.169,0,0,0,0.0122356,0,255.996,0,1,0.25,11.3103
1.30429,-1.84712,873.438,0.000153186,0.000306373,0.000153186,0.00625938,0.000391762,255.999,0,1,0.25,11.312
