Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,0.0096875,3.63625,0.0115625,0.929375,0.04875,0,0,1,1,0,0.18375,1.581
0.00659436,-0.0111607,3.41964,0.00159439,0.938776,0.0500638,0.000147318,0.00195946,1.04149,1.04149,0,0.206633,1.63553
0.0134037,-0.0375,2.885,0.00515625,1.14281,0.0535938,0.000453638,0.00546208,1.08462,1.08462,0,0.17625,1.63745
0.021291,-0.061899,3.96154,-0.00615986,1.48828,0.0602464,0.00135116,0.0119037,1.14408,1.14408,0,0.191106,1.70808
0.0285504,-0.080625,4.1725,-0.00015625,0.957187,0.0504687,0.00204466,0.00871163,1.19878,1.19878,0,0.1925,1.67114
0.0364638,-0.100962,6.59135,-0.00435697,1.21785,0.0545373,0.00529434,0.016643,1.26073,1.26073,0,0.194712,1.72769
0.0427446,-0.155924,8.13672,0.00309245,1.1709,0.0541992,0.00349476,0.017905,1.32301,1.32301,0,0.209635,1.69747
0.0518068,-0.155944,10.0355,-0.0127145,1.30484,0.0565257,0.0102259,0.0252237,1.42025,1.42025,0,0.199755,1.75781
0.0582277,-0.172488,10.0895,0.0251225,1.31189,0.0594363,0.00838443,0.0237292,1.48594,1.48594,0,0.202206,1.75254
0.0661976,-0.18076,11.1642,-0.0033701,0.575368,0.0382966,0.0122684,0.0132336,1.58419,1.58419,0,0.20098,1.63145
0.0736881,-0.201022,12.9219,0.0078125,1.25841,0.0576923,0.0139929,0.0299426,1.67473,1.67473,0,0.197115,1.76583
0.0814954,-0.200472,12.5731,-0.00309552,1.07871,0.0526238,0.0151742,0.0301356,1.77706,1.77706,0,0.193396,1.70108
0.089787,-0.254902,18.5613,0.00321691,0.886336,0.0507047,0.0155403,0.0204867,1.93315,1.93315,0,0.185049,1.80593
0.098814,-0.269608,21.8358,-0.00413603,0.896752,0.0458027,0.0315146,0.0355428,2.0947,2.0947,0,0.194853,1.86801
0.10579,-0.307091,26.6514,0.0127704,1.05739,0.0542368,0.0280835,0.0321957,2.23588,2.23588,0,0.188702,1.85323
0.113702,-0.307617,27.7539,-0.00390625,1.49414,0.0595703,0.0456243,0.0665946,2.42116,2.42116,0,0.190104,1.86478
0.120374,-0.322798,29.6832,0.0110085,1.23011,0.0539773,0.0435907,0.0582905,2.59957,2.59528,0.000213068,0.166193,1.93245
0.1276,-0.355299,34.5054,0.00951087,0.968071,0.0472147,0.0356354,0.0507067,2.79915,2.79643,0.00013587,0.177989,1.99326
0.136071,-0.359715,35.7704,-0.0032269,0.785666,0.0446671,0.0489798,0.037407,3.07711,3.07021,0.000305707,0.206522,1.80362
0.143777,-0.400716,43.6445,-0.000976562,1.13932,0.0533854,0.0524597,0.0589087,3.37663,3.35869,0.000651042,0.152344,1.96909
0.151645,-0.42223,48.8991,0.00266335,1.11896,0.0527344,0.0749653,0.0617268,3.73288,3.70469,0.00110085,0.190341,2.01583
0.158586,-0.426389,48.8889,-0.00520833,1.22014,0.0545139,0.0590053,0.0728494,4.03403,3.9983,0.00138889,0.181944,2.02323
0.166769,-0.445964,53.5365,-0.0141602,1.12142,0.0551758,0.0729305,0.0570451,4.51943,4.43597,0.00273437,0.175781,2.00369
0.174508,-0.479514,62.0097,0.00763889,1.59167,0.0645833,0.0958278,0.091423,5.05799,4.89601,0.00482639,0.175,2.01743
0.181574,-0.516263,71.8048,-0.000318878,1.19834,0.0532526,0.117827,0.0857696,5.65533,5.40462,0.00698342,0.181122,2.14312
0.188203,-0.51685,70.2953,0.00934436,1.04504,0.051011,0.0676152,0.0713088,6.10352,5.7546,0.0091299,0.185049,1.97246
0.197274,-0.497296,66.0781,-0.0181791,1.29778,0.0527344,0.107745,0.115576,7.16328,6.5482,0.0152043,0.189904,2.18218
0.204807,-0.540389,76.454,-0.00412736,1.44517,0.0607311,0.0711728,0.102602,8.19015,7.15091,0.0236733,0.188679,2.2184
0.214428,-0.576172,88.5078,-0.00432478,1.41769,0.0590123,0.161961,0.112829,9.62003,7.96445,0.0351842,0.19308,2.31284
0.221106,-0.592076,92.8259,0.0135324,1.16323,0.0534319,0.150776,0.095596,11.1451,8.59121,0.0502511,0.172991,2.24332
0.228243,-0.625852,102.685,-0.00269886,1.24176,0.056108,0.125669,0.099479,12.9043,9.21494,0.0674432,0.192045,2.30018
