Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,-0.0201563,2.71391,-0.00078125,0.793438,0.0448438,0,0,1,1,0,0.18625,1.62077
0.00775797,-0.0459201,3.40009,0.00277778,1.02986,0.0541667,0.000172148,0.00216253,1.04455,1.04455,0,0.204167,1.68757
0.0151686,-0.0428779,3.54015,-0.00472384,0.77907,0.0446948,0.000706251,0.00406031,1.09172,1.09172,0,0.190407,1.61286
0.0223223,-0.0585069,3.19167,-0.00208333,0.899306,0.0454861,0.00115371,0.00825131,1.13997,1.13997,0,0.190278,1.59922
0.0305589,-0.101486,4.44922,-0.000612745,0.808824,0.046875,0.00169267,0.00752738,1.1973,1.1973,0,0.175245,1.62838
0.0398681,-0.101004,4.85882,-0.00876913,1.0354,0.0492666,0.00357173,0.0165067,1.27516,1.27516,0,0.158163,1.65118
0.0482289,-0.132324,7.12012,-0.00179036,1.2666,0.058431,0.0061352,0.0189333,1.35026,1.35026,0,0.1875,1.72734
0.0559459,-0.118245,6.34204,-0.00244141,0.90332,0.043457,0.00864696,0.0234895,1.42025,1.42025,0,0.207031,1.67498
0.0634864,-0.156084,8.66772,-0.00847739,0.997008,0.0480386,0.00979823,0.0257904,1.49199,1.49199,0,0.206117,1.65269
0.0715247,-0.182914,11.2468,-0.0115489,0.927989,0.046875,0.0137185,0.0261415,1.5877,1.5877,0,0.197011,1.71524
0.0791782,-0.183594,11.762,0.00510204,1.41901,0.0589923,0.0196422,0.0418141,1.66129,1.66129,0,0.178571,1.84018
0.0862589,-0.219844,14.6977,-0.0154687,1.89906,0.0676563,0.0172983,0.0627323,1.77353,1.77353,0,0.14625,1.93179
0.0944787,-0.246572,17.2399,0.00765306,1.03699,0.0510204,0.0149572,0.0350139,1.90979,1.90979,0,0.223214,1.79497
0.104161,-0.250319,18.1716,-0.00143495,1.00797,0.0483099,0.0231171,0.0427586,2.04525,2.04525,0,0.183673,1.79107
0.112747,-0.294222,25.0672,0.00648585,1.30012,0.0542453,0.0369434,0.0616528,2.22126,2.22081,2.94811e-05,0.17217,1.9733
0.120099,-0.28125,22.8649,0.00265957,1.14229,0.0548537,0.037716,0.0446768,2.36922,2.36855,3.32447e-05,0.182181,1.85015
0.127849,-0.294497,24.4679,0.00713315,1.2466,0.0574049,0.0370284,0.0515234,2.54395,2.54219,0.000101902,0.188859,1.82428
0.136176,-0.346839,33.6301,-0.0297965,1.51163,0.0632267,0.0525545,0.0664863,2.80574,2.80574,0,0.200581,2.02148
0.143621,-0.331076,30.0491,-0.000520833,1.74687,0.0671875,0.0410183,0.0849161,2.96792,2.96674,3.47222e-05,0.143056,1.99825
0.152509,-0.373846,37.8094,-0.00372869,1.53374,0.060902,0.0472307,0.0890985,3.29908,3.2908,0.000319602,0.151989,2.11942
0.161304,-0.392795,41.6605,-0.00104167,0.70625,0.0416667,0.0562731,0.0422303,3.66069,3.63972,0.000729167,0.180556,1.97787
0.169826,-0.420085,47.2316,0.00179036,1.12402,0.0548503,0.0592684,0.0600904,4.02878,4.00215,0.000976562,0.161458,2.03513
0.178569,-0.424687,48.7042,-0.0167188,1.44531,0.0648438,0.080744,0.0658753,4.53625,4.48931,0.001625,0.1625,1.95786
0.186445,-0.442533,51.9017,0.0214844,2.03035,0.066256,0.0614513,0.169021,4.96878,4.87903,0.00261418,0.171875,2.07664
0.195872,-0.450016,54.1407,0.00765306,1.73023,0.0644133,0.0881273,0.130856,5.72197,5.51932,0.00548469,0.153061,2.0799
0.204141,-0.480299,60.6608,0.0161345,1.41814,0.0568954,0.0668842,0.12033,6.42925,6.13621,0.00716712,0.202446,2.18338
0.214034,-0.52001,71.0729,0.0186543,1.48119,0.0591518,0.0846579,0.125308,7.40482,6.87302,0.0122768,0.173469,2.27136
0.223254,-0.552284,80.7581,-0.000450721,1.25331,0.0566406,0.133263,0.0964492,8.67449,7.71118,0.0203425,0.171875,2.23678
0.230919,-0.547353,79.1902,0.00478316,1.37883,0.0561224,0.132974,0.1322,10.0157,8.48887,0.0302934,0.179847,2.20574
0.238855,-0.563314,82.9014,-0.00374349,1.57129,0.0613607,0.0950953,0.145084,11.2537,9.00433,0.0410807,0.164062,2.23191
0.248563,-0.590259,91.6031,-0.00531915,1.54721,0.0644947,0.148967,0.119897,13.5672,9.93963,0.0606383,0.171543,2.16897
0.256634,-0.621169,101.463,0.00465745,1.10907,0.0578425,0.176868,0.0648155,16.1791,10.762,0.0853365,0.182692,2.49088
0.264282,-0.622779,101.475,0.0179228,1.3894,0.0598958,0.152586,0.124476,19.1333,11.061,0.115196,0.165441,2.33401
0.272762,-0.634208,105.307,0.00488281,1.99414,0.0712891,0.174014,0.189055,22.7581,11.4188,0.150949,0.178571,2.61511
