T,5,4.75,4.5,4.25,4,3.75,3.5,3.25,3,2.75,2.5,2.25,2,1.75,1.5,1.25,1,0.75,0.5,
E,-145.65,-164.469,-179.108,-211.149,-249.324,-304.824,-355.139,-398.822,-433.36,-449.51,-466.109,-474.786,-480.485,-506.234,-508.143,-508.698,-509,-509,-509,
M,43.04,45.2653,53.902,71.9802,98.6471,152.588,193.703,220.277,234.06,239.42,244.554,247.01,248.574,255.29,255.786,255.925,256,256,256,
C,45.1955,47.9106,69.4572,100.991,165.438,154.116,155.838,143.73,101.506,111.896,87.4009,116.277,122.112,6.58298,2.72109,1.48733,0,0,0,
X,209.8,232.978,346.691,567.828,916.827,917.806,507.913,125.929,43.2121,28.9249,16.6057,20.0863,17.2411,0.779806,0.255102,0.116198,0,0,0,
