Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,0.00578125,1.57438,-0.00101563,1.08578,0.0519531,0,0,1,1,0,0.21625,1.55926
0.0100159,-0.0328776,2.1875,-0.014974,1.22884,0.0574544,0.000191685,0.00384392,1.04243,1.04243,0,0.182943,1.70528
0.0190827,-0.0381434,2.82659,-0.00260417,0.988971,0.0484069,0.000893671,0.00742517,1.08128,1.08128,0,0.210172,1.69172
0.0270831,-0.0463867,2.52018,0.00390625,1.38737,0.058431,0.0014445,0.0139028,1.11689,1.11689,0,0.18099,1.7149
0.0360141,-0.0652384,3.55863,-0.00660438,1.1817,0.0531572,0.00320244,0.0165061,1.16485,1.16485,0,0.17268,1.6621
0.0439902,-0.0904018,4.48023,0.00263074,1.43798,0.0592315,0.00462125,0.0237475,1.20217,1.20217,0,0.174107,1.74225
0.0521005,-0.0980992,4.32796,-0.000563789,1.38901,0.0598421,0.00506073,0.0246048,1.24494,1.24494,0,0.173969,1.63458
0.0612795,-0.132334,6.41454,0.00366709,1.04974,0.0524554,0.00725268,0.0211625,1.30462,1.30462,0,0.195791,1.71564
0.0702978,-0.152181,8.03841,0.0016276,1.31087,0.0566406,0.0104256,0.0344166,1.35239,1.35239,0,0.160807,1.76748
0.0789266,-0.154622,7.94661,-0.00520833,1.27702,0.0585938,0.0113758,0.0314216,1.40809,1.40809,0,0.165365,1.72817
0.0882011,-0.173808,9.90915,0.00257732,1.35889,0.0573454,0.0169249,0.0456034,1.47766,1.47766,0,0.186856,1.83089
0.0966982,-0.202803,12.3486,-8.05412e-05,1.34037,0.0580702,0.0170139,0.0461344,1.53919,1.53919,0,0.16366,1.90031
0.10599,-0.208386,13.2596,-0.00486288,1.66598,0.0662468,0.0240716,0.0574976,1.61614,1.61614,0,0.147321,1.79416
0.114551,-0.241071,16.588,0.00127551,1.43208,0.0620217,0.0224447,0.0512419,1.69943,1.69943,0,0.167092,1.84204
0.124134,-0.256962,19.0873,0.00928218,2.39821,0.0793626,0.0336503,0.0975459,1.78492,1.78492,0,0.12005,1.95854
0.132616,-0.277679,21.8417,-0.0030506,1.70818,0.0633185,0.0369798,0.0904204,1.86451,1.86451,0,0.141667,1.94386
0.141259,-0.309226,26.1679,0.00394345,2.16414,0.0747768,0.0337009,0.1035,1.96168,1.96168,0,0.129167,1.98458
0.150903,-0.315564,27.7733,-0.0113358,1.71752,0.0663297,0.051935,0.0892169,2.08464,2.08464,0,0.137255,1.98437
0.159202,-0.329558,29.9031,-0.00895929,1.85221,0.0678756,0.0532058,0.10711,2.17645,2.17645,0,0.123853,2.00665
0.167852,-0.338542,31.8911,-0.00334821,2.22634,0.0743304,0.0718669,0.136286,2.29074,2.29074,0,0.118452,2.1065
0.175699,-0.371359,37.7852,-0.00409587,2.4733,0.0778216,0.0765839,0.162155,2.42253,2.42253,0,0.142597,2.08991
0.183657,-0.386293,41.1999,-0.00572401,2.20019,0.0776609,0.101153,0.120515,2.55828,2.55828,0,0.141708,2.09363
0.190894,-0.397031,42.0131,-0.0084375,2.45906,0.07875,0.06045,0.166357,2.67545,2.67545,0,0.138125,2.13968
