Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,-0.00632813,2.0682,-0.00226562,0.994844,0.0521094,0,0,1,1,0,0.2,1.62808
0.0087366,-0.00785236,1.84076,0.000159439,1.08291,0.0527742,0.000139297,0.00323182,1.04209,1.04209,0,0.161352,1.57631
0.0180141,-0.0324178,1.78781,-0.00877899,1.01788,0.0485664,0.000492856,0.00745883,1.08755,1.08755,0,0.189433,1.62966
0.0281839,-0.06399,2.94874,-0.00386598,1.36469,0.0562178,0.00150962,0.0156595,1.1462,1.1462,0,0.165593,1.72603
0.0372752,-0.0784407,3.77841,-0.00536616,0.925505,0.0465593,0.0030613,0.0138125,1.19815,1.19815,0,0.207702,1.67426
0.0457188,-0.0860535,3.77092,-0.00340347,1.13057,0.0550743,0.00391954,0.016188,1.2526,1.2526,0,0.180074,1.6593
0.0548713,-0.106151,5.02348,-0.00659891,1.30325,0.0581766,0.00643973,0.0239684,1.3155,1.3155,0,0.167476,1.69984
0.0634411,-0.148828,7.46469,0.00460937,1.33578,0.0572656,0.00722179,0.0314837,1.37711,1.37711,0,0.1875,1.8367
0.0727975,-0.135503,6.36241,-0.00338542,1.01649,0.0519965,0.00880745,0.0236127,1.45422,1.45422,0,0.168056,1.6912
0.0825194,-0.156605,8.34437,-0.00195312,1.2706,0.056108,0.0140678,0.0383453,1.53159,1.53159,0,0.183239,1.7512
0.0912391,-0.181748,10.1478,-0.00369162,1.38376,0.0600103,0.0140815,0.0421379,1.61799,1.61799,0,0.162088,1.88237
0.100876,-0.205203,12.9757,0.0014129,1.21426,0.0562666,0.0223466,0.0407318,1.72,1.72,0,0.189495,1.81467
0.109333,-0.227946,15.392,-0.00602214,1.45898,0.0621745,0.0249882,0.051318,1.80895,1.80895,0,0.164062,1.90334
0.118001,-0.229852,15.5223,-0.00164474,1.18388,0.0539474,0.0278113,0.0517838,1.92484,1.92484,0,0.157237,1.91862
0.12687,-0.263732,19.8717,0.00700709,1.32684,0.0572648,0.0332485,0.0618294,2.03926,2.03926,0,0.152062,1.95293
0.13559,-0.279581,22.0493,0.00955704,1.41839,0.0577973,0.0374841,0.0763656,2.17069,2.17069,0,0.162015,1.94074
0.144367,-0.305302,25.863,-0.00911458,1.54167,0.0600405,0.0417128,0.0893377,2.31897,2.31869,1.44676e-05,0.145255,1.92611
0.153227,-0.290415,23.9553,0.00946514,1.88462,0.0680589,0.055505,0.107078,2.46011,2.46011,0,0.146635,2.01836
0.161378,-0.336458,30.8396,0.0125,1.64494,0.0654762,0.0484216,0.0883439,2.6371,2.63673,1.4881e-05,0.141667,2.04469
0.170569,-0.349159,33.0229,0.00570913,1.74279,0.0677584,0.0527618,0.096788,2.86484,2.86415,3.00481e-05,0.146635,2.08801
0.179876,-0.36286,35.3268,-0.000229779,1.66958,0.0642616,0.0524138,0.110158,3.06045,3.0583,6.12745e-05,0.152574,2.12785
0.189723,-0.390432,41.3666,-0.00471844,1.87856,0.0715501,0.084328,0.10776,3.35337,3.3509,9.28218e-05,0.130569,2.09173
0.197912,-0.399318,43.3496,-0.00467218,2.30469,0.0752911,0.0990623,0.168915,3.59802,3.59481,0.00010723,0.123162,2.20429
0.205793,-0.423528,47.9581,0.011869,1.79627,0.0671575,0.0863068,0.132053,3.85535,3.85078,0.000135216,0.137019,2.19095
0.214572,-0.424767,47.7944,0.0138221,2.07993,0.07497,0.0738969,0.137558,4.21068,4.20533,0.000165264,0.127404,2.21224
0.224465,-0.443091,52.1007,0.00551892,2.33931,0.0773366,0.0927279,0.181409,4.72103,4.70027,0.000487385,0.140482,2.32396
0.233703,-0.471943,59.583,0.0296725,2.6573,0.0810547,0.14005,0.227958,5.17046,5.1358,0.000796274,0.125,2.36891
0.24153,-0.474477,59.6169,-0.0122118,2.89275,0.0877579,0.115748,0.222492,5.60168,5.55197,0.00112257,0.112864,2.29421
0.250428,-0.506864,67.6847,-0.0138046,2.35133,0.0791869,0.120117,0.186837,6.19433,6.15246,0.00106189,0.140777,2.26774
0.259484,-0.514286,69.4984,0.00989583,3.10789,0.0887649,0.12046,0.283048,6.78452,6.68348,0.00193452,0.114286,2.4733
0.268854,-0.535119,75.4441,0.00178571,3.40268,0.0959821,0.154533,0.280754,7.72664,7.41131,0.00610119,0.102976,2.4499
0.277426,-0.549041,79.1451,0.00575284,2.61634,0.0860085,0.151998,0.200463,8.78622,8.23466,0.00951705,0.121023,2.43484
0.286344,-0.565559,84.0204,0.00906545,3.09449,0.0894015,0.175226,0.300195,9.87736,9.08844,0.0131191,0.106722,2.4444
0.294917,-0.582217,89.4159,0.0105655,2.55804,0.081994,0.229428,0.246829,11.2612,10.1909,0.0174107,0.125,2.5023
0.302634,-0.619008,99.839,0.0148665,3.53337,0.0954187,0.160034,0.363937,12.0505,10.7221,0.0195692,0.104976,2.72228
0.312116,-0.64532,108.338,0.0170455,3.89867,0.102115,0.168495,0.383667,15.1353,12.1929,0.0380366,0.0997475,2.72633
0.321645,-0.643122,108.412,-0.0291559,3.10696,0.087951,0.261674,0.362398,16.8858,12.962,0.0481637,0.116624,2.6995
0.329526,-0.670657,116.955,-0.0116767,4.23169,0.102907,0.196687,0.501112,19.4951,13.5722,0.0687164,0.0920699,2.8123
0.338838,-0.682525,121.164,-0.00518092,3.23043,0.0930099,0.219222,0.344197,23.864,14.3972,0.10148,0.0980263,2.80981
0.347908,-0.694408,125.413,0.0220395,4.55789,0.103125,0.238382,0.638549,27.9003,15.266,0.127961,0.108553,3.01514
0.356839,-0.733314,139.824,0.0161345,4.0642,0.0995245,0.275041,0.545425,31.4538,15.5686,0.152004,0.103261,2.94417
0.365367,-0.748992,145.889,-0.0302419,4.85282,0.111223,0.303857,0.615992,38.3315,15.0781,0.205981,0.0900538,3.05865
0.373674,-0.758025,149.136,-0.0109545,5.59698,0.118971,0.284522,0.737461,44.2067,14.5554,0.253397,0.0754076,3.13272
0.382454,-0.776625,156.414,-0.000718391,6.78412,0.133441,0.293758,0.85121,51.4197,14.1392,0.296157,0.0797414,3.30353
0.391298,-0.800735,166.233,-0.0221354,7.05097,0.132812,0.320333,0.992074,61.2355,12.6922,0.363839,0.078125,3.45915
0.399963,-0.81867,173.279,-0.00559304,7.88441,0.144087,0.272318,1.02773,70.2537,11.2148,0.417614,0.0752841,3.4818
0.409569,-0.834709,180.112,-0.00614466,6.72472,0.133954,0.293094,0.872858,81.4463,9.79968,0.47823,0.0730337,3.3505
0.419051,-0.856519,189.55,-0.0404066,8.60064,0.15247,0.305877,1.11023,95.2266,8.4585,0.541835,0.0759409,3.67631
0.428547,-0.871962,196.856,0.0188368,6.25434,0.130642,0.406806,0.807845,106.157,7.26476,0.589583,0.0819444,3.4978
0.436968,-0.888179,203.41,0.026673,8.62626,0.155934,0.279112,1.04937,115.64,5.73801,0.630997,0.0757576,3.80482
0.447334,-0.906006,211.802,0.0231934,8.75732,0.150798,0.333331,1.31333,133.195,4.40104,0.698079,0.0755208,3.89222
0.457045,-0.93918,227.965,0.0189852,9.70968,0.162802,0.450795,1.33662,144.456,3.35484,0.731687,0.0571237,3.99039
0.465576,-0.953649,235.693,-0.0111952,9.13805,0.154398,0.623218,1.41319,155.005,3.04704,0.757088,0.070232,4.11461
0.472968,-0.966285,241.352,0.018659,9.64229,0.157464,0.519746,1.55835,161.842,1.95692,0.78216,0.0813107,4.12068
0.48119,-0.979207,247.666,0.0118815,14.0798,0.19401,0.509659,2.13836,172.453,1.77799,0.817057,0.0605469,4.39733
0.489638,-1.00553,260.508,-0.0108045,15.6845,0.205452,0.400394,2.38875,176.402,1.69481,0.81383,0.0611702,4.77986
0.499336,-1.0304,274.035,-0.0409149,16.6466,0.206991,0.556273,2.83533,186.143,1.05863,0.843428,0.0612113,4.88476
0.507727,-1.04401,281.076,-0.040896,13.8984,0.183594,0.52847,2.67548,191.319,0.672194,0.856505,0.0612245,4.83528
0.516481,-1.07011,295.547,-0.0129395,15.522,0.198161,0.638385,2.82486,201.234,0.786458,0.885417,0.0572917,5.15379
0.524582,-1.08324,302.778,-0.0359874,20.0457,0.228807,0.656839,3.48506,206.158,0.394282,0.900266,0.0452128,5.54384
0.532694,-1.1109,318.931,0.00756579,23.7628,0.242928,0.852301,4.61062,205.603,0.536184,0.886184,0.05,5.76763
0.539926,-1.1223,324.438,-0.015625,25.8687,0.259475,0.580764,4.66115,216.562,0.28125,0.923537,0.0511968,5.98601
0.548806,-1.13029,329.4,0.015541,24.8637,0.266213,0.706229,3.68862,217.759,0.315188,0.920699,0.0443548,5.82518
0.556991,-1.15643,344.793,-0.012173,28.4313,0.27798,0.755443,4.8177,218.62,0.210756,0.920058,0.0465116,6.11346
0.565022,-1.19023,365.226,-0.015191,35.1373,0.313802,0.817675,5.60986,223.433,0.188889,0.931944,0.0361111,6.486
0.572854,-1.19285,366.231,0.0891927,34.7468,0.311663,0.647068,5.66013,226.743,0.200893,0.94122,0.0386905,6.71847
0.581779,-1.22106,384.335,0.0499822,40.7228,0.328391,0.894805,7.63036,230.187,0.107244,0.950284,0.0362216,7.24552
0.589487,-1.2586,408.397,0.0211552,46.3116,0.34138,0.998017,9.71317,230.376,0.104635,0.945225,0.0386236,7.64686
0.596883,-1.27303,417.994,0.0189616,57.6655,0.394938,1.11095,10.5861,236.01,0.0859375,0.964193,0.0325521,8.24898
0.60398,-1.28898,428.737,0.000797194,62.9831,0.422991,1.23995,10.3759,233.848,0.102041,0.952806,0.028699,8.41925
0.610778,-1.32812,454.384,0.124034,80.386,0.489207,1.05269,11.6775,237.162,0.0670103,0.961985,0.0257732,9.30289
0.618239,-1.34967,469.616,0.0550032,92.033,0.529908,1.25553,12.4559,238.912,0.0631313,0.965278,0.0195707,9.82413
0.625154,-1.35215,471.425,0.0238321,100.83,0.560448,1.31874,12.7653,240.02,0.0580808,0.968434,0.0176768,10.1559
0.631977,-1.4091,511.298,-0.0440267,124.308,0.636149,1.19638,13.0871,240.031,0.0598958,0.964193,0.0136719,11.272
0.639219,-1.42559,523.292,-0.11,136.31,0.670312,1.23558,13.6054,242.546,0.051875,0.971875,0.01375,11.6922
0.646426,-1.44903,541.208,-0.0851716,151.732,0.716605,1.54189,13.103,242.937,0.0459559,0.971201,0.0116422,12.2973
0.65295,-1.47455,558.985,-0.0333385,163.965,0.755801,1.00797,11.5761,245.416,0.0290842,0.97896,0.00990099,12.7995
0.661102,-1.49011,570.831,0.0111607,176.61,0.798629,1.04815,8.81346,246.986,0.0242347,0.983418,0.00637755,13.233
0.669195,-1.5123,587.977,-0.059638,184.81,0.820003,1.11624,8.4819,247.936,0.0191832,0.985767,0.00556931,13.5515
0.677133,-1.53433,604.737,-0.0394571,198.99,0.861585,0.949846,6.06279,248.496,0.0208333,0.98548,0.00252525,14.0147
0.685841,-1.55639,621.755,-0.0665996,212.282,0.897509,0.768527,4.162,249.465,0.012995,0.988243,0.00247525,14.5034
0.695646,-1.56121,625.67,0.00712985,216.674,0.912925,0.823352,2.30631,249.013,0.026699,0.98483,0.00121359,14.6501
0.705255,-1.56814,631.129,-0.00274884,219.16,0.916956,0.799338,2.75992,249.403,0.0190972,0.985532,0.00115741,14.747
0.715141,-1.58448,644.12,-0.0817757,222.86,0.925818,0.723657,2.45462,250.227,0.0151869,0.98715,0.00116822,14.8877
0.725677,-1.59769,654.799,-0.0844351,227.263,0.935397,0.698748,2.3742,250.779,0.0144231,0.989183,0.00120192,15.0404
0.736558,-1.61257,666.774,-0.132961,232.247,0.945759,0.581946,2.40495,251.948,0.010119,0.992262,0.00119048,15.2021
0.748659,-1.61033,664.786,-0.15242,233.93,0.95144,0.523847,1.63875,253.419,0.00306373,0.996936,0.000612745,15.2733
0.761623,-1.62686,678.192,-0.0610303,238.186,0.960938,0.375133,1.36772,252.606,0.00742574,0.993193,0.000618812,15.4339
0.777208,-1.6309,681.579,0.0266406,239.463,0.963516,0.400113,1.40093,253.84,0.00375,0.996875,0.000625,15.4753
0.792607,-1.64945,696.875,0.0993652,245.768,0.979574,0.236211,0.0945271,254.003,0.00325521,0.996745,0,15.6732
0.813047,-1.65688,703.169,0.0653409,247.04,0.982008,0.25325,0.137678,254.244,0.00505051,0.996843,0,15.7121
