Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance
0.409609,-1.20312,378.159,0.00750253,69.2695,0.461988,1.2745,5.99289,68.3011,14.7066,0.388429,0.0150304,7.83912,21.5345,390,-0.00652201,0.236829,21.5631
0.414157,-1.2396,401.047,-0.0126735,77.5161,0.495869,1.31683,6.03396,77.3721,13.2957,0.444289,0.01248,8.30984,22.3173,381,0.0075317,0.262892,25.5813
0.41868,-1.26793,419.756,-0.0268757,86.33,0.531069,1.43674,5.9156,85.8054,11.7128,0.491414,0.0105082,8.80085,22.3484,371,-0.0167388,0.296136,31.2784
0.423058,-1.30232,442.429,0.0121355,95.4967,0.564665,1.47488,5.8687,95.0816,10.3157,0.536943,0.00878284,9.30527,22.8481,365,-0.0016359,0.331702,37.5879
0.427424,-1.34173,469.091,-0.00540673,107.091,0.606487,1.50404,5.52551,105.502,8.92062,0.586367,0.0067913,9.91253,23.5384,358,0.00298216,0.372118,45.5719
0.431792,-1.3797,495.435,0.0143124,118.689,0.646903,1.51394,4.99012,117.784,7.10918,0.640877,0.00470648,10.5213,24.1809,352,-0.0081541,0.431712,57.6084
0.43619,-1.41771,522.609,-0.0129542,129.205,0.681991,1.53572,4.42144,128.399,5.69922,0.680099,0.00325145,11.0217,24.068,343,0.0188668,0.467927,66.0202
0.440602,-1.45189,547.121,-0.0230762,139.498,0.713041,1.45209,4.11562,138.077,4.71596,0.713481,0.00330306,11.5131,24.7354,340,0.0113284,0.515722,77.645
0.445184,-1.48715,573.532,0.00860804,149.565,0.744379,1.45765,3.43491,147.686,3.72754,0.743682,0.00168849,11.9822,25.018,329,0.0294089,0.554197,87.4128
0.449805,-1.52172,599.633,0.0233854,159.668,0.773997,1.38233,2.83626,158.53,2.84,0.777042,0.00174479,12.4439,24.3924,321,-0.00407227,0.602484,100.66
0.4546,-1.55257,623.385,-0.0238994,167.91,0.797532,1.30316,2.30908,166.657,2.21359,0.799917,0.00114488,12.7992,25.3449,314,-0.0203509,0.638449,110.991
0.459591,-1.58213,646.623,-0.0221888,174.896,0.816645,1.23013,1.91521,173.499,1.98883,0.814874,0.000575314,13.0952,26.1454,305,-0.00185016,0.668979,120.298
0.464785,-1.60807,667.293,-0.0312763,181.842,0.835319,1.14665,1.49451,180.372,1.52275,0.832471,0.000236742,13.3816,26.1214,298,-0.0154869,0.69764,129.342
0.470225,-1.63547,689.352,-0.00794325,188.371,0.851772,1.02055,1.24098,187.431,1.10255,0.852824,0.000209205,13.6412,26.0412,292,0.00285042,0.723843,138.218
0.476059,-1.66001,709.915,0.00888931,194.177,0.865613,1.01283,1.12343,193.218,0.9768,0.866204,0.000181084,13.861,26.2821,287,-0.0202136,0.744752,146.061
0.481987,-1.68513,730.839,-0.0103667,200.235,0.880565,0.901601,0.835744,199.73,0.723957,0.883236,7.81902e-05,14.0969,27.2146,283,-0.000514752,0.77908,158.043
