Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0,0.000576953,6.06408,-0.000189062,1.02223,0.0252125,0,0,0.972383,0.976526,0.0234582,0.216169,1.81343,1,10000,0.000404102,0.0247658,1015.55,0
0.0030538,-0.0183636,6.28177,0.00011997,1.02075,0.0251175,5.53616e-05,0.00114431,0.998073,1.00182,0.0226518,0.214845,1.82819,1.19055,9046,0.000674879,0.0250991,1036.5,0.0288182
0.00614017,-0.0360244,7.12907,0.000310135,0.983296,0.0248059,0.000218676,0.00216868,1.02255,1.02729,0.0229411,0.216585,1.82751,1.38911,8231,-7.20834e-05,0.0250106,1038.83,0.0288796
0.00926259,-0.055005,8.94418,5.93404e-05,1.00906,0.0251116,0.000501562,0.00336539,1.05076,1.05443,0.0225991,0.213962,1.84008,1.5795,7588,-0.000156407,0.0248986,1028.99,0.0287629
0.0123727,-0.0737506,11.3061,9.52409e-05,0.99325,0.0247919,0.000878149,0.00450196,1.07823,1.08212,0.023248,0.215847,1.84133,1.76339,7046,-9.60264e-05,0.025167,1045.55,0.0289105
0.0155125,-0.0911337,14.4777,-2.62178e-05,1.02852,0.0252375,0.00143733,0.00583736,1.10785,1.11179,0.0229594,0.212385,1.85802,1.94299,6571,-0.000205602,0.0247005,1009.17,0.0288614
0.0185894,-0.107832,17.7715,-0.000388028,1.00194,0.0249817,0.00202664,0.00674557,1.1385,1.14247,0.0222612,0.215769,1.85675,2.12534,6167,0.000154463,0.0247128,1003.57,0.028966
0.0216946,-0.127367,22.5092,-0.000109317,0.989956,0.0248464,0.00277569,0.00776223,1.17073,1.17531,0.0218993,0.214748,1.86179,2.29866,5848,-0.000187316,0.0248322,1005.89,0.0289714
0.0247911,-0.145682,27.4242,-0.000234265,0.982006,0.0246399,0.00349808,0.00893253,1.20374,1.20801,0.0223755,0.212725,1.87671,2.50922,5502,-6.3283e-05,0.0249987,1034.5,0.0288208
0.0279432,-0.163433,33.1154,-1.91522e-05,0.9893,0.024804,0.00450071,0.0100398,1.23908,1.24352,0.0223545,0.212302,1.88211,2.71758,5211,-1.46109e-05,0.024931,1016.19,0.0289513
0.0310753,-0.182437,39.8306,0.000522968,1.00529,0.0249503,0.00555121,0.0114306,1.27412,1.27915,0.0229399,0.21055,1.89387,2.92031,4926,-0.000589377,0.0253128,1059.53,0.0288889
0.0342117,-0.200687,46.9004,0.000205769,0.967237,0.0244478,0.00662301,0.0121519,1.31621,1.32129,0.0207131,0.214896,1.89272,3.12131,4681,8.28598e-06,0.0254506,1070,0.0288758
0.037373,-0.217892,54.3254,-0.00045668,1.0033,0.0249914,0.00797389,0.0135939,1.35542,1.36,0.0218699,0.214169,1.90674,3.33113,4457,-0.000248054,0.0254239,1065.65,0.0289014
0.0405203,-0.234188,61.8309,-0.000905514,0.992187,0.0247124,0.00931058,0.014864,1.39642,1.40134,0.022087,0.212286,1.9123,3.52657,4251,-0.000457733,0.0251522,1042.47,0.0288792
0.0436781,-0.253559,71.3962,-0.000177955,1.01004,0.0250172,0.0106087,0.0161244,1.44218,1.44731,0.0220064,0.211367,1.92144,3.74322,4075,-0.000376612,0.0253325,1060.69,0.0289259
0.0468671,-0.271316,80.9309,0.000451165,0.985417,0.0245589,0.0121943,0.0172377,1.48839,1.49399,0.0216327,0.212703,1.93793,3.96472,3903,-2.46778e-05,0.0253691,1050.54,0.0288986
0.0500586,-0.288141,90.4455,-0.000165421,0.94934,0.0243069,0.0136004,0.0172369,1.53615,1.54188,0.022293,0.210717,1.93734,4.11753,3748,0.000233465,0.0251085,1040.56,0.0289126
0.0532864,-0.306407,101.702,0.000550887,0.980913,0.024762,0.0157971,0.0188124,1.58844,1.59433,0.0227113,0.211161,1.94936,4.31693,3620,0.00085534,0.0252084,1047.06,0.0288409
0.0564746,-0.324567,113.402,1.99217e-06,0.967719,0.0245101,0.017637,0.0199105,1.64438,1.65046,0.0224869,0.213172,1.96645,4.5188,3503,0.000271135,0.0253223,1063.53,0.0289089
