Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0,-2.1582e-05,2.58333,1.40625e-05,0.977914,0.0247531,0,0,0.974503,0.974523,0.0254719,0.218309,1.8104,1,10000,-0.000616211,0.0247412,998.249,0
0.00467866,-0.0122765,2.72327,-0.000241255,1.01369,0.0251983,5.62338e-05,0.0017007,1.00185,1.00212,0.023606,0.21443,1.83266,1.19149,9040,-0.000493271,0.0246453,1009.71,0.0289246
0.0093704,-0.0235886,3.09347,0.000252834,1.02463,0.0252486,0.000221591,0.00348424,1.0298,1.0301,0.0227645,0.215057,1.83879,1.39615,8218,0.000437498,0.0248474,1022.31,0.0288071
0.014104,-0.0362466,3.86735,-0.000434682,1.04685,0.0255787,0.000501686,0.00531549,1.05997,1.06007,0.0212702,0.212684,1.84745,1.58686,7556,0.00011407,0.0253732,1048.21,0.0289562
0.0188392,-0.0478246,4.82072,-0.000481897,1.02608,0.0253515,0.000879708,0.00693197,1.08692,1.08712,0.0235442,0.212794,1.85618,1.78788,7018,0.000289374,0.0248797,1023.02,0.028826
0.0236157,-0.0594632,6.08725,-8.69367e-05,1.07889,0.0259382,0.00137557,0.009209,1.11771,1.11773,0.0239682,0.208229,1.87192,1.96785,6541,6.19571e-05,0.0249078,1031.54,0.0289014
0.0284038,-0.0706746,7.55035,-0.000293106,1.04382,0.0254247,0.00196497,0.0108472,1.15069,1.15072,0.0237752,0.206259,1.87498,2.17522,6098,0.000118964,0.0247078,1011.03,0.0289301
0.0332223,-0.0829296,9.49059,7.04129e-05,1.08625,0.0259114,0.00270216,0.013247,1.18596,1.186,0.023514,0.204776,1.88936,2.38116,5724,0.0002538,0.0250517,1030.32,0.0288432
0.0380283,-0.0942141,11.5446,0.000201852,1.07751,0.0258027,0.00355066,0.0150499,1.22201,1.22203,0.0234034,0.204572,1.9014,2.60187,5380,0.000319713,0.0252444,1049.38,0.0288771
0.0428275,-0.105604,13.8637,0.000301608,1.10433,0.0263381,0.00448228,0.0168737,1.26292,1.26296,0.0208704,0.203191,1.90942,2.80749,5103,-0.0001812,0.0254303,1058.62,0.0288845
0.0476379,-0.117618,16.5451,0.000134624,1.11467,0.0263521,0.00539897,0.019225,1.30126,1.30128,0.02284,0.201221,1.91903,3.01161,4840,0.000170771,0.0250354,1034.78,0.0289537
0.0525133,-0.129161,19.477,-4.69407e-05,1.11836,0.0263181,0.00660205,0.0214829,1.34732,1.34733,0.0201774,0.199163,1.93899,3.19855,4626,0.000162337,0.025278,1058.95,0.0289412
0.0573733,-0.141057,22.7411,0.000246541,1.14055,0.0265563,0.0077899,0.024004,1.39137,1.39155,0.0205896,0.198641,1.94418,3.42445,4392,0.00022028,0.0250539,1031.59,0.0288915
0.0622616,-0.152139,26.0815,-0.000272693,1.18342,0.0270562,0.00922512,0.0270098,1.43545,1.43546,0.0223279,0.19674,1.95917,3.62009,4219,-0.000280333,0.0254766,1065.14,0.028881
0.0671363,-0.164967,30.1841,0.000396545,1.18881,0.0272491,0.0104421,0.0287666,1.48513,1.48514,0.0226344,0.194826,1.97508,3.79568,4044,9.99693e-06,0.0249733,1032.25,0.028917
0.0720768,-0.175814,33.9464,0.000649676,1.16023,0.026916,0.0119171,0.030155,1.53661,1.53663,0.0230226,0.196051,1.98351,3.95572,3902,-0.000194649,0.0253625,1058.63,0.0289559
0.0770419,-0.186637,37.9936,0.000135888,1.18348,0.0271092,0.0137966,0.0332,1.59182,1.59183,0.0227396,0.19368,1.99637,4.09764,3772,1.28675e-05,0.0252448,1057.82,0.0289523
0.0819742,-0.198277,42.5624,0.000153783,1.20318,0.0274039,0.0154885,0.0355916,1.65323,1.65328,0.0216221,0.19189,2.01479,4.31829,3632,-0.00018052,0.0251648,1049.13,0.0289754
0.0869274,-0.209349,47.223,0.000444676,1.23624,0.0278092,0.0177125,0.0386246,1.71378,1.71442,0.0222838,0.191595,2.03051,4.47901,3507,0.000126014,0.0254673,1062.27,0.028873
0.091839,-0.220872,52.23,0.000132286,1.21129,0.027342,0.0191851,0.0409387,1.77815,1.7782,0.0223506,0.188776,2.03881,4.6258,3394,-0.000447028,0.0252262,1044.1,0.0288971
0.0968251,-0.233488,58.0959,0.000184164,1.26401,0.027992,0.0212878,0.0446998,1.85096,1.85091,0.0219304,0.18681,2.0539,4.85177,3281,-0.000204058,0.0252039,1039.06,0.0289788
0.101815,-0.243708,63.0684,0.000189392,1.27018,0.0281045,0.0233183,0.0469738,1.92385,1.92384,0.0213294,0.18553,2.0703,5.0491,3186,0.000141946,0.0255549,1070,0.0289439
0.106829,-0.256115,69.4244,0.000372284,1.27283,0.0281511,0.0257359,0.049283,2.00415,2.00415,0.0215897,0.184375,2.08344,5.22634,3098,2.9853e-05,0.0254767,1074.26,0.0289427
0.111837,-0.26726,75.4388,-0.000244043,1.2942,0.0284026,0.0287268,0.0523547,2.08586,2.08609,0.0212811,0.184291,2.10341,5.44281,2997,4.21033e-05,0.0257555,1093.34,0.0288941
0.116799,-0.277082,80.945,0.000230599,1.25708,0.0279853,0.0317563,0.0531555,2.17571,2.1757,0.0214574,0.182363,2.10093,5.69171,2894,-0.00060937,0.0257771,1095.38,0.0289197
0.121728,-0.288802,87.6705,-0.000264592,1.31889,0.0285501,0.0335189,0.058943,2.2674,2.2674,0.0205209,0.181106,2.12459,5.9062,2823,-0.000315083,0.0261813,1126.08,0.0288588
0.126728,-0.299712,94.2524,-0.000370541,1.33947,0.0288263,0.0364472,0.0619153,2.36365,2.36361,0.0207188,0.179529,2.14177,6.10139,2753,0.00116748,0.0259918,1116.62,0.0291272
0.131719,-0.311426,101.606,-0.000859398,1.31733,0.0286574,0.0397734,0.0627467,2.47018,2.47023,0.0214154,0.180527,2.15863,6.25775,2685,0.000498968,0.0258869,1103.91,0.0288782
0.136686,-0.32264,108.865,-0.000380822,1.34736,0.0290693,0.0424025,0.0658897,2.58682,2.58804,0.0182381,0.179524,2.174,6.42115,2622,-2.70349e-05,0.0261486,1131.82,0.0289138
0.141677,-0.333157,115.867,0.000202775,1.36299,0.0290796,0.044342,0.0704229,2.70175,2.70177,0.0206799,0.179755,2.19092,6.61705,2551,-0.00019164,0.0261793,1123.3,0.0288938
0.146737,-0.344829,123.97,-2.15533e-06,1.35135,0.0289126,0.0475615,0.0726855,2.83123,2.83119,0.019948,0.178129,2.20512,6.83769,2481,4.87889e-05,0.0263556,1138.73,0.028875
0.151797,-0.356139,132.11,-8.26564e-05,1.39546,0.0295162,0.0514148,0.0764059,2.97142,2.96768,0.0200523,0.176295,2.22495,7.05336,2417,-0.000172381,0.0263071,1130.6,0.0288297
0.156831,-0.367713,140.683,-0.000221794,1.4067,0.0295859,0.054722,0.0800422,3.13198,3.12534,0.018449,0.176788,2.24464,7.27737,2358,-0.000101173,0.0263153,1143.03,0.0291201
0.161872,-0.378368,148.804,-0.000154277,1.42933,0.0297444,0.0577822,0.0847181,3.27507,3.27512,0.0171347,0.175869,2.26145,7.50578,2306,1.01807e-05,0.0262341,1130.87,0.0291903
0.166936,-0.3893,157.391,-0.000310849,1.4435,0.0299638,0.0612973,0.0874962,3.43672,3.43665,0.0188052,0.173822,2.27953,7.694,2257,0.000224578,0.0266512,1171.33,0.0289376
0.172007,-0.400648,166.569,-0.000119925,1.44706,0.0298298,0.065013,0.0921766,3.60011,3.6001,0.0208499,0.175429,2.30141,7.95034,2211,-6.96152e-05,0.026624,1168.2,0.0289991
0.17708,-0.412721,176.576,-0.000197529,1.45632,0.0299307,0.0674023,0.0954407,3.79933,3.79921,0.0205678,0.173489,2.32387,8.21049,2156,0.000132204,0.0267893,1174.87,0.0289194
0.182209,-0.422652,185.103,-0.00016881,1.49391,0.0306062,0.0724124,0.0974259,3.99735,3.99734,0.0209543,0.173168,2.34137,8.40175,2103,-0.000647529,0.0269745,1205.73,0.0290517
0.1873,-0.434192,195.237,-0.000244335,1.44674,0.0300529,0.0768228,0.0977501,4.23677,4.23678,0.0153633,0.174448,2.35947,8.48859,2065,-0.000138814,0.0274323,1234.02,0.0289344
0.192382,-0.445548,205.516,0.00030957,1.45336,0.0301576,0.0828454,0.100433,4.4871,4.48706,0.0146579,0.173106,2.3773,8.8008,2012,0.000205078,0.0268762,1195.54,0.0288189
0.197408,-0.456701,215.757,4.33466e-05,1.48651,0.0302705,0.0847659,0.108222,4.70885,4.70875,0.0175933,0.173066,2.40802,8.94888,1966,-0.000107103,0.0272032,1216.83,0.0288978
0.202507,-0.467837,226.294,-0.000694501,1.50899,0.0304621,0.088982,0.113157,4.99112,4.99101,0.0174442,0.171365,2.42832,9.16826,1917,-0.000352821,0.0276852,1260.98,0.0288939
0.207612,-0.477995,236.146,-0.000590697,1.46766,0.030154,0.0941147,0.111398,5.33783,5.33762,0.00738008,0.174316,2.44329,9.37249,1880,0.0002497,0.0275864,1247.47,0.029007
0.212701,-0.488914,246.956,-0.000449681,1.51795,0.0305754,0.0987303,0.119253,5.65966,5.65926,0.00628595,0.173913,2.46943,9.58686,1843,0.0007142,0.0274784,1243.1,0.0289501
0.217792,-0.500842,258.995,0.000264228,1.52375,0.0307347,0.101149,0.121192,5.94491,5.94448,0.0148337,0.172614,2.49284,9.82281,1804,-0.000158537,0.0283427,1332.3,0.0289943
0.222941,-0.511076,269.64,-0.000385625,1.54551,0.0311159,0.107975,0.123525,6.30509,6.30592,0.0149804,0.172662,2.51085,10.0453,1768,-0.000206297,0.0281847,1293.71,0.0289147
0.228043,-0.5233,282.613,0.000258566,1.59203,0.0313817,0.114345,0.133081,6.87845,6.71128,0.0147054,0.17122,2.54842,10.1856,1743,-0.000443874,0.0281512,1295.18,0.0290524
0.233115,-0.533387,293.541,-0.00011228,1.52686,0.0307985,0.120126,0.129507,7.1507,7.14901,0.0166138,0.172827,2.55975,10.3203,1719,0.000212783,0.0283503,1330.96,0.0302583
