Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.00421173,-0.00952597,2.44496,0.00301113,1.0136,0.0250504,4.1722e-05,0.00156261,0.995191,0.995243,0,0.215439,1.83036,1.15326,4662,4.48143e-05,0.0245438,0.000366679,0.028211
0.00835921,-0.0200133,2.70717,0.000277406,1.05673,0.0257186,0.000160508,0.00317159,1.01538,1.01543,0,0.215712,1.83536,1.30276,4378,-0.000367281,0.0250031,0.000361267,0.0894507
0.0125003,-0.027833,3.0857,0.000968366,1.01264,0.0250413,0.00035821,0.00463171,1.03832,1.03842,0,0.21233,1.8443,1.46645,4117,0.000179544,0.0252228,0.000360474,0.19438
0.0166403,-0.0392534,3.9726,-0.000110849,1.03367,0.0254023,0.000663116,0.00620521,1.06198,1.06221,0,0.215346,1.85426,1.61701,3886,3.70797e-05,0.0246861,0.000351957,0.332466
0.0207342,-0.0479608,4.70398,0.000304666,1.05643,0.0257054,0.00100966,0.00787492,1.08629,1.08655,0,0.208447,1.85369,1.78301,3712,0.000273577,0.025044,0.000359853,0.517477
0.0248258,-0.0569632,5.58217,0.000835997,1.11945,0.0263972,0.00139256,0.0100773,1.11116,1.11141,0,0.204165,1.87534,1.965,3523,0.000119929,0.0247606,0.000351764,0.738535
0.0289555,-0.0668411,6.84094,0.000793116,1.09501,0.0260713,0.00189985,0.0115528,1.1382,1.1386,0,0.205429,1.87923,2.12739,3374,-6.04985e-05,0.0247774,0.000352045,0.999155
0.0331017,-0.0759274,8.17802,0.000350081,1.04086,0.0253134,0.00249242,0.0127346,1.16504,1.16542,0,0.20524,1.89002,2.25019,3249,-0.000420643,0.0252444,0.000355727,1.30281
0.0372523,-0.0860956,9.86314,-0.000538226,1.09477,0.0261349,0.00315403,0.0147275,1.1949,1.19515,0,0.204184,1.90384,2.40384,3126,0.000144154,0.0251619,0.000346877,1.64551
0.041406,-0.0950771,11.4577,0.000427271,1.13067,0.0264056,0.0037737,0.0172529,1.22351,1.22396,0,0.200419,1.89989,2.58954,3009,0.001077,0.0253125,0.000364135,2.03173
0.0455943,-0.102449,12.9071,0.00057197,1.16934,0.0270504,0.00448914,0.019152,1.25466,1.25515,0,0.19825,1.91933,2.76576,2911,-0.000784215,0.0255685,0.000388534,2.45929
