Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.0041953,-0.00826787,2.24908,0.00370859,1.0745,0.0128998,3.4657e-05,0.00164833,0.993331,0.993698,0,0.224883,2.01648,1.3064,8929,0.000403125,0.0122141,8.54595e-05,0.113426
0.00838627,-0.0165011,3.14366,0.00031503,1.03169,0.0126675,0.000142655,0.00314002,1.00972,1.0101,0,0.224859,2.01969,1.6038,8114,-0.000146484,0.0125122,8.91131e-05,0.326166
0.0125439,-0.0252042,4.58622,0.000186246,1.03602,0.0126767,0.000312217,0.00473905,1.02704,1.02756,0,0.221867,2.02795,1.94099,7460,-4.15569e-05,0.012405,8.75067e-05,0.678857
0.016708,-0.0333182,6.52114,-0.000137055,1.09808,0.0131042,0.000551101,0.00659491,1.0442,1.04487,0,0.219703,2.04358,2.27454,6954,-7.43101e-05,0.0125178,8.97497e-05,1.1794
0.0208807,-0.0417608,9.20726,-0.000325326,1.07457,0.012964,0.000899897,0.0080636,1.06221,1.06308,0,0.217172,2.05169,2.55258,6586,5.57966e-05,0.0123527,8.54759e-05,1.81911
0.025011,-0.0498124,12.1022,-4.04626e-06,1.11911,0.0131911,0.00121286,0.0101643,1.08024,1.08121,0,0.212866,2.05641,2.89892,6237,-8.12665e-05,0.0124502,8.98131e-05,2.59804
0.0291851,-0.058562,16.0636,-0.000180292,1.14208,0.0133111,0.00171746,0.0121504,1.09942,1.10058,0,0.209807,2.06444,3.23613,5935,-0.00017036,0.0124883,8.99301e-05,3.51887
0.0333407,-0.0665497,20.1637,0.00016138,1.14227,0.0132865,0.00224885,0.0139763,1.12004,1.12125,0,0.21015,2.07682,3.60189,5713,3.36595e-05,0.0123704,8.60707e-05,4.58769
0.0374836,-0.0747787,24.9041,-5.54579e-05,1.14269,0.0133574,0.00280996,0.0154387,1.13963,1.14081,0,0.204317,2.08657,3.91207,5506,0.000109222,0.0124454,8.91632e-05,5.78802
0.0416322,-0.0833174,30.4236,1.16442e-05,1.17792,0.0135318,0.00344913,0.0178146,1.16021,1.16117,0,0.203723,2.10022,4.21458,5340,1.30453e-05,0.0125473,8.86442e-05,7.12905
0.0457888,-0.091448,36.2841,0.000470488,1.21808,0.0137839,0.0042568,0.0201406,1.18164,1.18253,0,0.198715,2.10727,4.5664,5171,-2.26154e-05,0.0125766,9.04342e-05,8.61829
0.0499285,-0.100126,43.1338,4.58911e-05,1.23624,0.0138504,0.00516223,0.0224923,1.20328,1.20431,0,0.199124,2.12137,4.91956,5032,0.0001312,0.0125682,9.00939e-05,10.2408
0.0540393,-0.108413,50.1859,-0.000126435,1.27971,0.0140901,0.00596829,0.0252111,1.22608,1.22715,0,0.193453,2.13386,5.28212,4903,-7.06136e-05,0.0123532,9.12868e-05,11.9984
0.0581495,-0.116508,57.6748,-0.000191658,1.28415,0.0141403,0.00701805,0.0270486,1.24865,1.24966,0,0.191213,2.14322,5.66588,4791,-6.75469e-05,0.0126838,9.18307e-05,13.8944
0.0622434,-0.124741,65.7466,-2.76331e-06,1.31172,0.0143311,0.00779488,0.0292841,1.27208,1.27325,0,0.188639,2.15232,5.94252,4693,0.000129342,0.0124503,8.95683e-05,15.9191
0.0663611,-0.133377,74.8998,0.000140735,1.35368,0.0145189,0.00896026,0.0325336,1.29698,1.29805,0,0.185255,2.16426,6.20039,4604,-0.000171519,0.0125308,8.97796e-05,18.0928
0.0704792,-0.141875,84.5058,-0.00013649,1.36159,0.0145426,0.0102296,0.0349112,1.32181,1.32298,0,0.1824,2.17726,6.59779,4529,-8.86022e-05,0.0125429,8.87399e-05,20.4136
0.0745852,-0.150396,94.7362,2.85774e-05,1.37762,0.0146822,0.011618,0.0368937,1.34761,1.34867,0,0.179669,2.19381,7.08584,4460,0.000120596,0.0124276,8.99899e-05,22.8705
0.0786706,-0.158249,104.647,0.00010103,1.43733,0.0149316,0.0128209,0.0412329,1.37368,1.37472,0,0.174089,2.21001,7.52426,4397,9.22072e-05,0.0125869,8.96488e-05,25.4598
0.0827543,-0.166774,116.032,2.19026e-06,1.49336,0.0152105,0.01444,0.0451609,1.40085,1.40206,0,0.17252,2.22063,8.03529,4336,2.273e-05,0.012629,9.1573e-05,28.1778
0.0868189,-0.175482,128.169,0.000200556,1.45646,0.0150083,0.0153518,0.0463472,1.42835,1.42988,0,0.169422,2.22649,8.19222,4270,-1.88249e-05,0.0126669,9.26664e-05,31.0254
0.0909092,-0.183721,140.316,5.4604e-05,1.49441,0.0152093,0.017042,0.0497197,1.45768,1.45898,0,0.167525,2.24219,8.45187,4223,5.99916e-05,0.0127099,9.2215e-05,34.0369
0.095,-0.19207,153.167,-0.000152935,1.53709,0.0154937,0.0186035,0.0526131,1.48719,1.4886,0,0.165399,2.25954,8.81756,4163,9.78316e-05,0.0127592,9.40639e-05,37.1858
0.0990913,-0.200697,167.027,-0.000193622,1.55349,0.015548,0.0200583,0.0558208,1.51827,1.51954,0,0.160726,2.27113,9.05266,4108,0.000217171,0.0126342,9.14593e-05,40.475
0.103192,-0.209167,181.332,-8.92268e-05,1.60028,0.0158047,0.0226671,0.0595569,1.54978,1.55149,0,0.159844,2.28959,9.38795,4054,0.000326628,0.0127669,9.27559e-05,43.9166
0.107255,-0.217944,196.692,0.000277202,1.6292,0.0158883,0.0245559,0.06384,1.58263,1.58395,0,0.15649,2.30276,9.73421,4009,7.10413e-05,0.0127014,9.60009e-05,47.4701
0.111297,-0.22623,211.721,-0.000201776,1.66924,0.0160913,0.0258522,0.067742,1.61618,1.6179,0,0.151784,2.31945,10.0986,3982,-0.000179599,0.0127386,9.34936e-05,51.1499
0.115352,-0.23512,228.596,0.00016414,1.67848,0.0160702,0.0287877,0.0715968,1.64999,1.65199,0,0.148839,2.33348,10.5926,3937,-0.000126647,0.0128327,9.50684e-05,54.9772
0.119376,-0.243593,245.19,0.000223267,1.72579,0.0163418,0.0305493,0.0754374,1.68542,1.68716,0,0.147492,2.34571,10.7961,3911,-5.10618e-05,0.0129166,9.17174e-05,58.924
0.123394,-0.252631,263.604,-0.000139222,1.76757,0.0166183,0.0332972,0.0785249,1.72258,1.7245,0,0.144983,2.36116,11.194,3880,-0.000200098,0.0128416,9.68428e-05,63.0042
0.127389,-0.260954,281.093,-0.000160448,1.80449,0.0167814,0.0351833,0.082929,1.76088,1.76271,0,0.141847,2.37457,11.2447,3860,8.13802e-05,0.0130563,9.72545e-05,67.21
0.131382,-0.269347,299.332,-8.97214e-05,1.86345,0.0170083,0.0375522,0.0891495,1.80093,1.80247,0,0.137979,2.40352,11.6838,3839,0.000243108,0.0128167,9.31184e-05,71.5486
0.13537,-0.277874,318.437,0.000146838,1.86596,0.0170765,0.0397118,0.0909056,1.84173,1.84343,0,0.135508,2.41515,11.7961,3808,0.000140892,0.0131336,9.47149e-05,76.0194
0.139359,-0.286978,339.573,0.000427136,1.96927,0.0175346,0.0435335,0.0989302,1.88337,1.88522,0,0.133807,2.43587,12.0167,3773,0.000140286,0.0130089,9.77445e-05,80.6308
