Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance
0,-0.00189531,2.24714,0.000646875,0.983794,0.0490094,0,0,0.964334,0.964506,0.0355,0.1984,1.61997,1,2500,-0.000915625,0.0497781,1.00301
0.00836246,-0.0236135,2.31013,-3.77112e-05,1.01239,0.0503004,0.000151567,0.00304962,1.00642,1.00738,0.0362995,0.195218,1.62789,1.1553,2301,0.00131361,0.0504953,1.03272
0.0168756,-0.0397723,2.65016,0.00126221,1.02788,0.0501769,0.000639406,0.00646919,1.05528,1.05588,0.0360209,0.195684,1.65053,1.31811,2128,0.00186971,0.0496953,1.01164
0.02524,-0.0559149,3.10595,0.000520623,1.05386,0.0510368,0.00146878,0.00976895,1.10644,1.10684,0.0360631,0.191943,1.65152,1.49089,1976,0.000533244,0.0489733,0.967658
0.0334941,-0.0770424,3.66809,0.000873683,1.13676,0.0528642,0.0024104,0.0141124,1.16228,1.16171,0.0367777,0.189653,1.6871,1.64833,1856,-0.000449504,0.0499139,1.0291
0.0420444,-0.0961356,4.62248,0.00143831,1.11277,0.0525015,0.00398892,0.0171176,1.22048,1.22152,0.0369734,0.18674,1.706,1.83024,1734,-0.00100112,0.0508098,1.02946
0.0503878,-0.114476,5.55742,0.00105702,1.18348,0.0547348,0.00559231,0.020988,1.28218,1.28339,0.0363682,0.178236,1.71708,2.01612,1632,0.000164075,0.0503332,1.02486
0.0588326,-0.132689,6.87805,-0.000164874,1.17508,0.0536856,0.0082061,0.0257249,1.35856,1.3575,0.0368141,0.182833,1.72993,2.19475,1535,-5.70718e-05,0.0498744,0.990349
0.0669723,-0.152973,8.22538,-7.62815e-05,1.17311,0.0538484,0.0100237,0.0288515,1.42928,1.42865,0.0367486,0.184703,1.73785,2.34369,1453,0.00160827,0.0504094,1.01813
0.0753561,-0.169861,9.48374,0.000461243,1.17953,0.0546334,0.0119101,0.0313042,1.50985,1.51095,0.0370612,0.183836,1.76627,2.49837,1391,0.000222669,0.0503804,1.02173
0.0840102,-0.18913,11.337,0.00328189,1.30011,0.0572394,0.0153847,0.0387593,1.59811,1.59859,0.0363742,0.175256,1.81222,2.65638,1328,0.00135758,0.0513896,1.05072
0.092499,-0.207158,13.0947,-0.000556209,1.32166,0.0576667,0.0180422,0.0435059,1.70129,1.7009,0.0365606,0.177987,1.82623,2.88291,1260,-0.000428345,0.050436,1.02358
0.10113,-0.223292,14.9087,0.00216514,1.32688,0.0568848,0.0219342,0.0504126,1.81287,1.81344,0.036511,0.175344,1.84327,3.02809,1212,-0.000941226,0.0509387,1.05099
0.109688,-0.239089,16.691,-0.000520187,1.38398,0.0584904,0.0247506,0.0557399,1.92162,1.9209,0.0368073,0.171914,1.86847,3.1539,1164,-9.04673e-05,0.0501835,1.03701
0.118426,-0.260624,19.4047,0.00115587,1.31298,0.0576748,0.0282736,0.0546449,2.06078,2.05959,0.035619,0.170569,1.87245,3.39123,1118,0.000393827,0.0512199,1.071
0.127253,-0.279222,22.0114,-0.00174142,1.32765,0.0571484,0.0332352,0.0625535,2.19689,2.19878,0.0358403,0.173289,1.89366,3.47718,1088,0.00343508,0.0506794,1.04524
0.136002,-0.298483,24.8114,-0.0015837,1.34712,0.0576268,0.0370645,0.0675908,2.37328,2.37585,0.0356008,0.172697,1.93233,3.59194,1054,-0.000558954,0.0523746,1.10413
0.144855,-0.319727,28.1974,-0.000118956,1.45927,0.0601755,0.0425473,0.0771015,2.5617,2.55489,0.0340954,0.165432,1.95909,3.69608,1021,-0.000562629,0.0517586,1.08454
0.153657,-0.33509,30.7841,0.00078508,1.54509,0.0616128,0.0481434,0.088088,2.75457,2.75275,0.0354085,0.165262,1.98758,3.83383,989,-0.00210631,0.0513302,1.07028
0.162434,-0.352585,33.8835,0.000987678,1.47571,0.0604834,0.0543147,0.0875838,2.9655,2.96286,0.0367777,0.165777,1.99856,3.9882,956,-0.00231517,0.0526899,1.1226
0.171169,-0.371621,37.4337,3.22564e-06,1.56973,0.0634645,0.0609286,0.092197,3.29051,3.23072,0.0365614,0.167733,2.0495,4.15013,922,0.00123542,0.0519683,1.08644
0.17986,-0.390094,41.2296,-0.000957954,1.58106,0.0625647,0.0735364,0.104138,3.61403,3.48217,0.0360929,0.16091,2.05991,4.40162,892,0.00139809,0.0538137,1.16528
