Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00527031,-0.0149898,1.9497,-0.000127033,0.995998,0.0507495,5.25573e-05,0.00177434,0.985756,0.986789,1,0.197917,1.63727,1.10715,470,4.76372e-05,0.0507971,0.00152377,-0.00330389,0,0,0,nan,nan,nan
0.0109649,-0.0168953,2.13745,-0.000524009,0.916762,0.0486376,0.000248196,0.00341188,1.00064,1.00205,1,0.202871,1.60595,1.18564,451,-0.00193725,0.0473196,0.00143264,0.0264309,0,0,0,nan,nan,nan
0.0164167,-0.0351406,2.30773,0.000894202,1.1416,0.053856,0.000536756,0.00655153,1.02556,1.02612,1,0.183107,1.64582,1.3024,432,0.00285517,0.0517068,0.00140252,0.0578228,0,0,0,nan,nan,nan
0.0219673,-0.0385355,2.25657,-0.00328621,1.30252,0.0562686,0.000905489,0.0108075,1.05419,1.05525,1,0.194568,1.68078,1.42117,413,0.000573537,0.0504247,0.00147077,0.115579,0,0,0,nan,nan,nan
0.0276857,-0.0602188,2.68012,-0.000390625,1.16291,0.0535781,0.00134275,0.0118503,1.08082,1.08227,1,0.18575,1.68132,1.496,395,-0.000234375,0.0490469,0.00132402,0.179825,0,0,0,nan,nan,nan
0.033604,-0.0691654,3.03906,0.00172061,1.09347,0.0519128,0.00204887,0.0135615,1.10597,1.10759,1,0.194568,1.69134,1.59045,378,0.0046193,0.0505022,0.00148729,0.278936,0,0,0,nan,nan,nan
0.0394194,-0.0852941,3.84436,-0.00170037,1.16247,0.0552237,0.00307971,0.0150487,1.13864,1.14058,1,0.181495,1.6725,1.69166,364,-0.00185355,0.0523131,0.00144999,0.389703,0,0,0,nan,nan,nan
0.0449835,-0.0941823,4.34585,0.00436944,1.17141,0.0542397,0.00419889,0.0188153,1.16255,1.16271,1,0.176754,1.70225,1.76538,352,0.00179101,0.0491292,0.00129306,0.51902,0,0,0,nan,nan,nan
0.0504213,-0.104823,5.03962,-0.0013841,1.41283,0.0600086,0.00566104,0.0247552,1.19468,1.19685,1,0.185778,1.73963,1.891,340,-0.00230684,0.0511503,0.00136799,0.657933,0,0,0,nan,nan,nan
0.0556706,-0.106231,4.9065,-0.000980453,1.20092,0.0552322,0.00625272,0.0233796,1.22251,1.2247,1,0.179407,1.72981,1.996,331,0.00102714,0.0493028,0.00143463,0.80667,0,0,0,nan,nan,nan
0.0611855,-0.116125,5.473,0.00220312,1.30041,0.0571094,0.00756533,0.0284798,1.25653,1.25669,1,0.178875,1.74606,2.12,319,0.003,0.0516875,0.00156815,0.964541,0,0,0,nan,nan,nan
0.0666958,-0.13413,6.49009,-0.00472201,1.32916,0.058531,0.00838246,0.0301555,1.28055,1.28193,1,0.178213,1.7735,2.23383,307,0.00221197,0.0500596,0.00148816,1.13619,0,0,0,nan,nan,nan
0.072402,-0.14525,7.38325,-0.00475,1.23956,0.0564062,0.0103912,0.0307749,1.3242,1.32462,1,0.177375,1.76427,2.28,296,0.00409375,0.0522188,0.00159376,1.33999,0,0,0,nan,nan,nan
0.0779657,-0.152938,7.88875,-0.00021875,1.46225,0.0605313,0.0115551,0.0408741,1.35023,1.35503,1,0.17175,1.79134,2.424,282,-0.004125,0.049625,0.00137159,1.55477,0,0,0,nan,nan,nan
0.0836471,-0.1715,9.64775,0.00225,1.52713,0.0611563,0.0148208,0.0476506,1.39067,1.39291,1,0.16075,1.81025,2.528,275,-0.00595313,0.0499219,0.00131896,1.78508,0,0,0,nan,nan,nan
0.0890292,-0.187654,11.1019,0.00254755,1.47156,0.0599833,0.0165426,0.0490081,1.43228,1.43433,1,0.162055,1.83272,2.56995,268,0.00143589,0.0476933,0.00146767,2.02923,0,0,0,nan,nan,nan
0.0944514,-0.186899,11.1497,3.16296e-05,1.6176,0.0638917,0.0196912,0.0540799,1.47233,1.47192,1,0.150051,1.8321,2.68813,260,0.000521888,0.0500854,0.0013657,2.29759,0,0,0,nan,nan,nan
