Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00529034,-0.00628662,2.05273,0.0038147,1.21478,0.0544739,5.71682e-05,0.00240778,0.987228,0.987213,1,0.191528,1.66459,1.12152,474,0.00419617,0.0485382,0.00144169,0.0125491,0,0,0,nan,nan,nan
0.0107712,-0.0196078,2.02623,0.00235907,1.01458,0.0511642,0.00022366,0.00370994,1.01409,1.01413,1,0.189583,1.60867,1.21876,451,-0.00186887,0.0507047,0.00138483,0.029186,0,0,0,nan,nan,nan
0.0164129,-0.0361633,2.2887,0.00427246,1.01837,0.0475769,0.000526346,0.0072036,1.0434,1.04337,1,0.199951,1.64522,1.33896,432,1.52588e-05,0.0490875,0.00138234,0.0653221,0,0,0,nan,nan,nan
0.0220167,-0.0454518,2.48583,-0.00264959,1.05653,0.0517957,0.000948613,0.00814047,1.06515,1.06506,1,0.189559,1.66204,1.4272,418,-0.00342175,0.0508721,0.00131568,0.125029,0,0,0,nan,nan,nan
0.0276162,-0.061615,3.0614,0.000671387,1.25079,0.0561523,0.00159358,0.0122507,1.08252,1.08252,1,0.183594,1.68122,1.53732,401,0.00915527,0.0514526,0.0013757,0.198081,0,0,0,nan,nan,nan
0.0330352,-0.0639149,3.15133,0.000999631,1.22235,0.0552873,0.00229783,0.0145301,1.10901,1.10901,1,0.184547,1.70195,1.66238,384,-0.00279897,0.0484744,0.00130729,0.291411,0,0,0,nan,nan,nan
0.0384335,-0.0806779,3.66941,0.0020454,1.20752,0.0550412,0.00295889,0.0166018,1.13677,1.13681,1,0.188607,1.70934,1.736,371,-0.000369094,0.0531496,0.00146536,0.38752,0,0,0,nan,nan,nan
0.0439681,-0.0860572,3.63254,0.00390625,1.26488,0.0564086,0.00335727,0.0197989,1.16363,1.16353,1,0.175287,1.71363,1.75423,363,-0.00134698,0.051335,0.00142695,0.509663,0,0,0,nan,nan,nan
0.0499122,-0.0989583,4.52012,-0.00094697,1.21709,0.0558416,0.00501528,0.0209038,1.1883,1.18837,1,0.18241,1.74513,1.89394,349,-0.000665838,0.0499379,0.00134576,0.648508,0,0,0,nan,nan,nan
0.0554329,-0.10483,4.80145,0.00207937,1.1856,0.0548657,0.00610929,0.0230033,1.22997,1.22993,1,0.186312,1.68392,1.96258,340,0.000846602,0.0486425,0.00140869,0.796178,0,0,0,nan,nan,nan
0.0609883,-0.116834,5.47111,0.00371462,1.27465,0.0562205,0.00735239,0.0283897,1.25646,1.25651,1,0.177712,1.72482,2.04699,331,0.00268278,0.0487323,0.0014128,0.953108,0,0,0,nan,nan,nan
0.0665598,-0.133077,6.38405,0.00663769,1.33964,0.0586231,0.00819778,0.0306076,1.28957,1.28953,1,0.17446,1.74178,2.0811,323,0.00239368,0.0510896,0.00138914,1.12757,0,0,0,nan,nan,nan
0.0723182,-0.151863,7.97596,0.00357572,1.48377,0.0616286,0.0108364,0.0369882,1.32402,1.32399,1,0.164904,1.76536,2.17456,313,0.00273437,0.0532752,0.001576,1.3316,0,0,0,nan,nan,nan
0.07776,-0.160525,8.93688,0.00476747,1.44562,0.0610544,0.0141502,0.038207,1.35752,1.35746,1,0.167446,1.78948,2.2165,304,0.000815084,0.0516886,0.00159078,1.55101,0,0,0,nan,nan,nan
0.0828806,-0.173699,9.88351,-0.00323748,1.42336,0.0595665,0.0148351,0.0426863,1.39757,1.3975,1,0.163911,1.79904,2.3316,294,0.00316148,0.0520732,0.00149078,1.76934,0,0,0,nan,nan,nan
0.0882108,-0.174952,9.98431,0.00392133,1.61125,0.0628921,0.0167189,0.0528081,1.43325,1.43312,1,0.156371,1.82934,2.40008,288,0.0010105,0.0502986,0.00164318,2.01416,0,0,0,nan,nan,nan
0.0935547,-0.191527,11.3262,0.00292212,1.43608,0.0603652,0.0169396,0.047079,1.46988,1.4699,1,0.166182,1.82757,2.53515,279,-9.0843e-05,0.0525981,0.00175051,2.26143,0,0,0,nan,nan,nan
0.0991853,-0.197672,11.9211,0.000842525,1.69409,0.0634957,0.01887,0.0656578,1.50561,1.50568,1,0.160049,1.86039,2.68743,267,-0.00409007,0.0517004,0.00142277,2.54542,0,0,0,nan,nan,nan
0.104841,-0.212714,13.6067,0.00272672,1.55202,0.0624387,0.0222405,0.0580801,1.55079,1.55037,1,0.16348,1.85548,2.76048,262,-0.00363051,0.0494945,0.0014873,2.83948,0,0,0,nan,nan,nan
0.110348,-0.2265,15.3558,-0.00669867,1.67912,0.0640531,0.0270621,0.0693876,1.59186,1.59225,1,0.15512,1.85781,2.74592,260,0.0020551,0.0499027,0.00140849,3.14721,0,0,0,nan,nan,nan
