Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00575139,-0.0103857,1.94655,0.00248016,1.05611,0.0510913,6.34756e-05,0.0022308,0.981724,0.981709,1,0.186756,1.60325,1.09836,477,-0.00322421,0.0501612,0.00142135,0.00946332,0,0,0,nan,nan,nan
0.0114061,-0.0198293,2.26205,-0.00400038,1.00681,0.0495262,0.000281194,0.00432153,1.00957,1.00952,1,0.202435,1.63675,1.21772,447,-0.000502008,0.0511107,0.00156162,0.0323131,0,0,0,nan,nan,nan
0.0167342,-0.0361793,2.24839,-0.0047433,0.992001,0.0477431,0.000535787,0.00683551,1.03654,1.03657,1,0.194196,1.63385,1.33456,428,0.00172061,0.0508898,0.00137473,0.0672323,0,0,0,nan,nan,nan
0.0223972,-0.0454237,2.58832,-0.00189909,1.0939,0.05109,0.00103342,0.00953439,1.05762,1.05756,1,0.191453,1.66402,1.42949,410,0.000988142,0.049438,0.00147227,0.127618,0,0,0,nan,nan,nan
0.0278547,-0.0544395,2.81076,-0.000403026,1.06386,0.0512773,0.00159217,0.0108842,1.08232,1.08237,1,0.192708,1.66991,1.48022,396,-0.000868056,0.0514013,0.00158338,0.198975,0,0,0,nan,nan,nan
0.0333229,-0.0625934,3.06561,-0.00494895,1.14461,0.0531001,0.00229037,0.0140885,1.10787,1.10781,1,0.181897,1.67594,1.59521,378,-0.000186753,0.0530067,0.00157971,0.283056,0,0,0,nan,nan,nan
0.0387771,-0.0762425,3.46135,-0.00181978,1.2057,0.0559425,0.00296709,0.0156865,1.13369,1.13385,1,0.186245,1.71657,1.73384,361,0.00534952,0.0475809,0.00129386,0.378284,0,0,0,nan,nan,nan
0.0443535,-0.0835076,3.94943,-0.00696666,1.09397,0.0514425,0.0042575,0.0184734,1.16467,1.16466,1,0.189345,1.69544,1.82125,348,0.00212229,0.0492126,0.00130199,0.494972,0,0,0,nan,nan,nan
0.0496781,-0.0999941,4.6978,-0.00187914,1.24707,0.0556197,0.00527665,0.0226096,1.19153,1.19151,1,0.17803,1.71069,1.89753,338,-0.00690992,0.0492276,0.00151792,0.616714,0,0,0,nan,nan,nan
0.0550352,-0.114243,5.51803,0.00551382,1.41403,0.0589393,0.00659344,0.0288785,1.22057,1.22052,1,0.170192,1.74724,1.98595,327,0.00353065,0.0507061,0.00148667,0.761626,0,0,0,nan,nan,nan
