Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00519725,-0.0136915,2.36842,0.0060205,0.997013,0.0492015,6.26782e-05,0.00196089,0.99229,0.993382,1,0.192216,1.62499,1.10927,943,0.00207495,0.0509149,0.00133959,0.01399,0,0,0,nan,nan,nan
0.0103395,-0.0215551,2.30146,3.92983e-05,1.029,0.0506869,0.000233324,0.00383902,1.01883,1.02129,1,0.188946,1.62494,1.21453,894,0.001344,0.0487377,0.00139463,0.0398506,0,0,0,nan,nan,nan
0.0156418,-0.0393415,2.72,0.000471579,0.982929,0.0499088,0.000568547,0.0054005,1.04372,1.04638,1,0.198818,1.62837,1.32181,855,0.00429137,0.0498931,0.00145156,0.0769409,0,0,0,nan,nan,nan
0.0207804,-0.0479545,2.72749,0.00141339,1.03541,0.0512705,0.000923577,0.00753235,1.07862,1.08068,1,0.183897,1.6503,1.40509,830,0.00538954,0.051022,0.00162663,0.136501,0,0,0,nan,nan,nan
0.0261366,-0.0610527,3.15668,0.00345493,1.00538,0.0499409,0.00150454,0.00958945,1.10927,1.1105,1,0.194161,1.65649,1.52577,787,-0.000599166,0.0490771,0.00150091,0.210121,0,0,0,nan,nan,nan
0.0314148,-0.0735794,3.66547,0.00197262,1.12505,0.0531671,0.00224962,0.0126099,1.14065,1.14371,1,0.187188,1.68414,1.61155,758,-0.00261976,0.0507111,0.0014773,0.300467,0,0,0,nan,nan,nan
0.036603,-0.0857469,4.05841,7.78137e-06,1.05087,0.0520029,0.00291558,0.0131248,1.17885,1.1807,1,0.189243,1.68246,1.74005,727,0.00109717,0.0506023,0.00148408,0.406033,0,0,0,nan,nan,nan
0.041913,-0.094536,4.61352,0.000188632,1.109,0.052141,0.00408544,0.0173107,1.21501,1.21782,1,0.187186,1.69921,1.83799,696,-0.00330106,0.04906,0.00139351,0.530397,0,0,0,nan,nan,nan
0.0470495,-0.106546,5.09802,-0.00186753,1.07473,0.0507812,0.00485205,0.0195056,1.25944,1.2623,1,0.187687,1.71434,1.96029,669,-0.00155627,0.0507346,0.00154138,0.662522,0,0,0,nan,nan,nan
0.0523405,-0.121514,5.87744,0.00245492,1.13485,0.0526495,0.00574588,0.0222566,1.29726,1.29897,1,0.18608,1.72845,2.02315,649,0.00426136,0.0517694,0.00158684,0.81464,0,0,0,nan,nan,nan
