Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00512026,-0.0149948,2.36884,0.00120554,1.0765,0.0519007,6.05948e-05,0.0019811,0.991436,0.992133,1,0.19608,1.6277,1.09638,951,-0.000399236,0.0499045,0.0013668,0.00404846,0,0,0,nan,nan,nan
0.0102727,-0.0276454,2.51322,-0.00133818,1.00753,0.050673,0.00024457,0.0035974,1.01437,1.0159,1,0.187314,1.61067,1.19792,914,0.00148515,0.0493812,0.00131655,0.0316884,0,0,0,nan,nan,nan
0.0154182,-0.0402881,2.52191,0.00264567,1.02748,0.0503922,0.00050073,0.00581889,1.04583,1.04717,1,0.190924,1.62929,1.30157,866,-0.000233441,0.0510147,0.00131603,0.0759591,0,0,0,nan,nan,nan
0.0208154,-0.0412163,2.72225,0.000810585,1.07277,0.0521631,0.000991068,0.00783063,1.07843,1.08028,1,0.18997,1.64762,1.38457,834,0.00180645,0.0509511,0.00145655,0.139468,0,0,0,nan,nan,nan
0.0259947,-0.0626628,3.13194,-0.00209263,1.03345,0.0507037,0.00143708,0.00975604,1.12175,1.1229,1,0.19246,1.65667,1.46841,799,-0.00354198,0.0527266,0.00157235,0.201911,0,0,0,nan,nan,nan
0.0313661,-0.070463,3.3063,0.00355886,1.10405,0.051561,0.00200235,0.0132824,1.15359,1.15513,1,0.181324,1.68821,1.55837,770,-0.000856905,0.0499243,0.00145235,0.295917,0,0,0,nan,nan,nan
0.0368568,-0.0855838,3.89796,0.00242863,1.03913,0.0508441,0.00274791,0.0139073,1.19559,1.19756,1,0.187123,1.68466,1.68617,731,-0.000573755,0.0507812,0.00146426,0.402816,0,0,0,nan,nan,nan
0.0423643,-0.0967869,4.63325,0.00235804,1.1092,0.0522024,0.00401146,0.0174362,1.23105,1.23244,1,0.187691,1.70596,1.78672,704,-0.00391419,0.0506463,0.00152809,0.531352,0,0,0,nan,nan,nan
0.0476038,-0.11044,5.24092,-0.000197285,1.12135,0.0525331,0.00480071,0.0197491,1.27116,1.27318,1,0.187942,1.71042,1.8794,685,-0.00162563,0.0488636,0.00142032,0.669021,0,0,0,nan,nan,nan
0.0529856,-0.118809,5.90102,0.0010675,1.069,0.0513427,0.00642201,0.0208851,1.31828,1.32013,1,0.184211,1.72254,2.02429,660,0.0049263,0.0501882,0.00150063,0.828999,0,0,0,nan,nan,nan
0.0581648,-0.131654,6.55824,-0.0049263,1.21962,0.0547745,0.00717582,0.0262648,1.37743,1.37875,1,0.183135,1.73183,2.1001,637,0.000221407,0.048583,0.00140929,0.994388,0,0,0,nan,nan,nan
