Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00551037,-0.0119299,1.49873,0.018106,1.05627,0.0526288,4.44014e-05,0.00191322,1.02286,1.02286,1,0.184966,1.62164,1.09569,142,0.0237542,0.0520481,0.00140427,0.0537827,0,0,0,0,0,0
0.0119881,-0.0256466,1.98879,0.00167026,1.05571,0.0528556,0.000261619,0.00408218,1.05308,1.05308,1,0.193966,1.63098,1.1629,136,0.00317888,0.0494073,0.00110106,0.0814075,0,0,0,0,0,0
0.0177938,-0.0235991,1.90388,0.00959052,1.00776,0.0493534,0.000557664,0.00683643,1.07603,1.07603,1,0.184914,1.62456,1.29132,128,-0.0033944,0.0515625,0.00155526,0.127384,0,0,0,0,0,0
0.0236961,-0.0464379,2.1639,-0.000819493,0.941324,0.0492242,0.000905056,0.00760717,1.10354,1.10354,1,0.196241,1.66507,1.38638,122,-0.00863199,0.0466565,0.00118822,0.171,0,0,0,0,0,0
0.029866,-0.0615809,2.72335,0.00798483,1.18256,0.0537109,0.00156323,0.0132615,1.13261,1.13261,1,0.188419,1.6751,1.50843,115,0.00315947,0.0560087,0.00159998,0.252236,0,0,0,0,0,0
0.0357831,-0.0705423,3.59375,0.00815717,1.05354,0.0511259,0.00297039,0.0137547,1.16001,1.16001,1,0.183824,1.66415,1.60575,110,-0.000804228,0.0481388,0.00111588,0.353415,0,0,0,0,0,0
0.040926,-0.0824777,3.95045,0.00758929,1.33103,0.0563616,0.00369992,0.0211919,1.18123,1.18123,1,0.163839,1.71096,1.63776,109,-0.00853795,0.0476004,0.00134617,0.454218,0,0,0,0,0,0
0.0461964,-0.0751488,3.45451,0.00754677,1.04358,0.0520833,0.00428697,0.0161288,1.21347,1.21347,1,0.181548,1.63931,1.79786,104,0.00759991,0.0489477,0.00161376,0.573448,0,0,0,0,0,0
0.0517232,-0.0928125,4.13708,0.00354167,1.40083,0.0592708,0.00516828,0.025939,1.24102,1.24102,1,0.1925,1.72103,1.88,100,-0.00046875,0.0480729,0.00118631,0.687608,0,0,0,0,0,0
0.057359,-0.108319,4.64105,-0.00332559,1.22857,0.0548459,0.00538707,0.0262992,1.28529,1.28529,1,0.173142,1.73023,1.95855,99,-0.00353674,0.0492504,0.00153879,0.829464,0,0,0,0,0,0
0.0634806,-0.121069,5.72702,-0.00297379,1.38942,0.0573085,0.0079575,0.0348283,1.31935,1.31935,1,0.170968,1.77337,2.12903,96,-0.0031754,0.0460181,0.00154641,1.00706,0,0,0,0,0,0
0.0690549,-0.13014,6.47368,-0.00498561,1.22317,0.0567948,0.0101951,0.0274426,1.34482,1.34482,1,0.178454,1.70413,2.16846,93,-0.00077097,0.047646,0.00164374,1.18779,0,0,0,0,0,0
0.0744121,-0.14793,7.4651,-0.00167411,1.3262,0.0592025,0.0103155,0.0319178,1.37874,1.37874,1,0.168425,1.72964,2.31489,89,0.000862419,0.0546368,0.0017284,1.37414,0,0,0,0,0,0
0.0801511,-0.165046,8.75041,0.000931291,1.08754,0.0516349,0.0114156,0.0324614,1.42947,1.42947,1,0.18543,1.73766,2.45384,85,-0.00300083,0.0541184,0.00165005,1.59943,0,0,0,0,0,0
0.0860274,-0.183438,11.0054,-0.00229167,1.53062,0.0628125,0.0176965,0.0447858,1.46289,1.46289,1,0.162083,1.83126,2.44,84,0.00755208,0.0529688,0.00187571,1.85559,0,0,0,0,0,0
0.091093,-0.181066,11.1295,-0.00204248,1.80576,0.0690359,0.0227077,0.0533507,1.48982,1.48982,1,0.156046,1.82529,2.45418,82,0.00137868,0.0434538,0.00111126,2.10146,0,0,0,0,0,0
0.0958282,-0.197845,12.4724,0.0113147,1.54741,0.0648707,0.022516,0.0450501,1.52967,1.52967,1,0.168103,1.85613,2.44709,80,0.0105065,0.0518858,0.00162032,2.32875,0,0,0,0,0,0
0.100831,-0.200313,12.4938,0.000833333,1.55812,0.060625,0.0225879,0.0622352,1.57595,1.57595,1,0.163333,1.91561,2.45333,80,0.000520833,0.0471875,0.00130117,2.58995,0,0,0,0,0,0
0.106086,-0.210989,13.7688,-0.00786356,1.69975,0.0659722,0.0267024,0.0621194,1.60502,1.60502,1,0.136846,1.88993,2.51826,80,0.00582108,0.0578023,0.00199409,2.86724,0,0,0,0,0,0
0.111171,-0.23163,15.6157,-0.00300887,1.94373,0.0673036,0.0232434,0.0871701,1.6701,1.6701,1,0.133868,1.96128,2.62966,76,-0.0073902,0.0512035,0.00133311,3.14979,0,0,0,0,0,0
0.116883,-0.242188,17.2245,0.00221012,1.33172,0.0587479,0.0301771,0.0523853,1.72343,1.72343,1,0.149671,1.87503,2.76575,73,-0.00611637,0.0525802,0.00173868,3.49643,0,0,0,0,0,0
0.122154,-0.254493,19.0278,-0.000204248,1.82435,0.0670956,0.0365197,0.0820728,1.76665,1.76665,1,0.149101,1.93513,2.81302,73,-0.00285948,0.0473856,0.00151724,3.83098,0,0,0,0,0,0
0.127161,-0.253551,18.5889,-0.00405844,1.61587,0.0647321,0.0344597,0.0690693,1.80141,1.80141,1,0.155032,1.88812,2.83353,71,0.00101461,0.0524554,0.00124743,4.16512,0,0,0,0,0,0
0.132527,-0.274671,21.5748,-0.005294,2.40779,0.0764289,0.0397129,0.120917,1.86453,1.86453,1,0.134868,2.02032,3.05142,69,0.000565378,0.0472348,0.00132297,4.52123,0,0,0,0,0,0
0.137736,-0.284655,23.0978,0.00260417,1.84034,0.0687099,0.0446659,0.0870153,1.96386,1.96386,1,0.152644,1.99622,3.10651,69,0.00355569,0.0527344,0.00175721,4.89537,0,0,0,0,0,0
0.142841,-0.304888,26.012,0.00380609,2.06571,0.0741186,0.0451966,0.0941826,1.99132,1.99132,1,0.141426,2.00385,3.36538,67,-0.00615986,0.0548377,0.00184316,5.27524,0,0,0,0,0,0
0.148104,-0.311678,26.6127,0.00349507,1.83018,0.0672286,0.0382559,0.0996949,2.06908,2.06908,1,0.14227,2.0272,3.37604,65,0.00051398,0.0576686,0.00157321,5.69395,0,0,0,0,0,0
0.154036,-0.323998,29.6836,0.00589623,2.30248,0.0800904,0.0666752,0.101721,2.10337,2.10337,1,0.127752,2.03347,3.34045,65,0.00270244,0.0500688,0.00164005,6.1751,0,0,0,0,0,0
0.158708,-0.333235,30.5892,0.015625,2.11498,0.0715409,0.0544459,0.127719,2.17548,2.17548,1,0.145047,2.03285,3.53032,64,0.00417649,0.0496757,0.00126698,6.57063,0,0,0,0,0,0
0.164036,-0.33923,31.9819,4.91352e-05,2.68111,0.0840704,0.0678694,0.142998,2.2859,2.2859,1,0.125,2.07925,3.79138,62,0.0078125,0.0553754,0.00159719,7.03292,0,0,0,0,0,0
