Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00552599,-0.0136952,2.01245,0.00300361,0.995238,0.0490227,5.99871e-05,0.00209995,0.988593,0.988663,1,0.19304,1.6073,1.09125,956,0.00222547,0.0482601,0.00130426,0.0124631,0,0,0,nan,nan,nan
0.0111148,-0.0188003,2.05055,0.00238934,0.965952,0.0489499,0.000242146,0.00391854,1.01045,1.01039,1,0.199761,1.60929,1.19226,906,-0.00304955,0.0501918,0.00143039,0.0399565,0,0,0,nan,nan,nan
0.0167099,-0.0362418,2.17679,0.00146583,1.06914,0.0523184,0.000513916,0.00615613,1.03637,1.03639,1,0.193902,1.63044,1.30015,860,0.00316937,0.0492045,0.00145905,0.0747527,0,0,0,nan,nan,nan
0.0224837,-0.0429135,2.26521,0.00186237,1.07033,0.0513573,0.000906786,0.00888354,1.06667,1.06662,1,0.193182,1.64952,1.38353,831,-0.00202809,0.0490136,0.00147685,0.136186,0,0,0,nan,nan,nan
0.0283324,-0.0577092,2.75138,0.000915894,1.14581,0.0536777,0.00152422,0.0115652,1.09046,1.09041,1,0.180862,1.67462,1.47188,801,-0.00185527,0.0494818,0.00134839,0.208297,0,0,0,nan,nan,nan
0.034017,-0.0671812,3.07196,-0.00108029,1.09056,0.0517598,0.00221774,0.0137671,1.11708,1.11713,1,0.194326,1.67862,1.57831,765,-0.00187876,0.0502724,0.00133086,0.300088,0,0,0,nan,nan,nan
0.0396752,-0.0800309,3.67433,-0.00117345,1.18824,0.0546166,0.00320282,0.016846,1.1372,1.13724,1,0.180696,1.68078,1.68688,730,-0.00063004,0.0510648,0.00143757,0.405254,0,0,0,nan,nan,nan
0.0451668,-0.0868038,3.93882,0.00233902,1.21628,0.0546324,0.00410024,0.0204242,1.16855,1.16853,1,0.184539,1.69086,1.80883,705,0.000535534,0.0509703,0.00151132,0.525611,0,0,0,nan,nan,nan
0.050692,-0.0993461,4.50201,0.00390625,1.24914,0.055497,0.00507611,0.0233526,1.19835,1.1984,1,0.174862,1.71085,1.93718,676,-0.000204351,0.0507891,0.00145959,0.656272,0,0,0,nan,nan,nan
0.0562654,-0.111596,5.0986,-0.000834803,1.12654,0.0531597,0.00604814,0.0226806,1.22885,1.22888,1,0.179814,1.70562,2.03442,659,0.000952936,0.0478752,0.00133236,0.805901,0,0,0,nan,nan,nan
0.0619326,-0.123129,5.93128,-0.00492801,1.38819,0.0582951,0.00786344,0.0320947,1.25973,1.25975,1,0.180018,1.74917,2.08899,641,-0.000675931,0.0506791,0.0015173,0.975662,0,0,0,nan,nan,nan
0.0674034,-0.132341,6.44624,-0.000353685,1.41664,0.0599456,0.00891663,0.03348,1.29777,1.2978,1,0.1687,1.7845,2.19223,625,0.002688,0.0487456,0.00148406,1.15597,0,0,0,nan,nan,nan
0.0729948,-0.145506,7.24011,-0.000673491,1.38883,0.0596238,0.0096979,0.0349466,1.32819,1.32816,1,0.169118,1.77029,2.35138,593,0.00534831,0.0486895,0.00138609,1.35328,0,0,0,nan,nan,nan
0.078801,-0.159277,8.63064,0.00156884,1.46089,0.0600437,0.0132647,0.0423907,1.36055,1.36035,1,0.160434,1.79153,2.44807,572,0.00168769,0.0486102,0.00148232,1.57739,0,0,0,nan,nan,nan
0.0841605,-0.173987,9.77052,0.000365218,1.58695,0.0632304,0.0143149,0.0474197,1.39684,1.39671,1,0.161712,1.82505,2.48695,558,0.00461287,0.0501381,0.00146778,1.80378,0,0,0,nan,nan,nan
0.0896705,-0.181625,10.5981,-0.000206428,1.54449,0.0625794,0.0173139,0.048597,1.44291,1.44288,1,0.161522,1.82007,2.5675,544,-0.000119093,0.0515673,0.00152873,2.05706,0,0,0,nan,nan,nan
0.0950087,-0.193272,11.6976,-0.00316296,1.51793,0.0606497,0.0192708,0.0547505,1.48282,1.48283,1,0.164537,1.82854,2.64305,533,-0.000276759,0.0499352,0.00143886,2.31311,0,0,0,nan,nan,nan
0.10037,-0.204116,12.887,0.000487283,1.5189,0.0612139,0.0223771,0.0561702,1.52456,1.52438,1,0.162641,1.83053,2.71829,516,-0.00192517,0.0505895,0.00139918,2.58627,0,0,0,nan,nan,nan
0.105626,-0.211526,13.6021,-0.00286405,1.53529,0.0622772,0.0239624,0.0572921,1.55635,1.55614,1,0.163442,1.83518,2.7667,507,0.00155932,0.051362,0.00149953,2.8688,0,0,0,nan,nan,nan
0.110971,-0.230143,15.3688,0.000381874,1.64467,0.0640275,0.0222839,0.0660485,1.6111,1.6111,1,0.151795,1.88315,2.887,491,-0.00259356,0.0516802,0.00144499,3.1661,0,0,0,nan,nan,nan
