Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00546414,-0.0114291,2.0496,-0.00245804,0.950651,0.0479083,6.01961e-05,0.00198391,0.98663,0.986575,1,0.200401,1.60668,1.09437,952,0.000360095,0.0499749,0.00140814,0.0109365,0,0,0,nan,nan,nan
0.0109808,-0.0256231,2.16896,0.000558036,1.02059,0.0500682,0.000241263,0.00415995,1.00788,1.00791,1,0.189422,1.62952,1.183,913,-0.00337147,0.0508975,0.00128512,0.0349486,0,0,0,nan,nan,nan
0.0165185,-0.0311413,2.10605,0.00221328,1.13595,0.0536546,0.000506918,0.00659042,1.03264,1.03264,1,0.189488,1.64227,1.28256,875,0.00216669,0.0504861,0.00137845,0.0791355,0,0,0,nan,nan,nan
0.0222655,-0.0388765,2.44544,0.000945561,1.08628,0.0510603,0.00102052,0.00932587,1.05846,1.0584,1,0.194072,1.65144,1.3759,837,0.00263517,0.0498667,0.00148096,0.132784,0,0,0,nan,nan,nan
0.0277251,-0.0584239,2.87772,-0.000231596,1.08208,0.0526495,0.00154036,0.0103264,1.08101,1.08099,1,0.189353,1.65813,1.48221,798,-0.00250896,0.0522712,0.00148946,0.194998,0,0,0,nan,nan,nan
0.0332587,-0.067698,3.06947,0.000466882,1.09086,0.0518862,0.00209748,0.0133586,1.10907,1.1091,1,0.187002,1.67395,1.62101,758,0.001922,0.0500109,0.00149057,0.285635,0,0,0,nan,nan,nan
0.0389471,-0.0784062,3.461,0.00226562,1.19459,0.0545313,0.0028627,0.0168773,1.1409,1.1409,1,0.181812,1.70711,1.758,722,-0.0026875,0.0500469,0.0014886,0.392125,0,0,0,nan,nan,nan
0.0446491,-0.0899527,4.12612,0.000988235,1.27109,0.0567807,0.00409614,0.0199015,1.16707,1.16695,1,0.173618,1.70597,1.90473,690,-0.0025912,0.048299,0.00124366,0.514419,0,0,0,nan,nan,nan
0.0501138,-0.100566,4.71402,-0.000552478,1.23439,0.0558936,0.00533655,0.0217806,1.19406,1.19399,1,0.181648,1.71354,2.02378,664,-0.00187531,0.0502443,0.00138303,0.648139,0,0,0,nan,nan,nan
0.0554875,-0.116677,5.32302,-0.0023979,1.23861,0.0553682,0.00565882,0.0251808,1.22368,1.22356,1,0.178837,1.72934,2.08019,645,-0.00201887,0.0511835,0.00149529,0.79433,0,0,0,nan,nan,nan
0.0612654,-0.129486,6.32092,0.00258354,1.2758,0.0562809,0.00761437,0.0284831,1.25182,1.25178,1,0.172215,1.74354,2.16057,628,-0.00160118,0.0519415,0.00140733,0.97478,0,0,0,nan,nan,nan
0.0667651,-0.134107,6.56337,-0.00406219,1.27765,0.0564418,0.00873376,0.0308531,1.28707,1.28721,1,0.17858,1.76057,2.24501,612,0.00166074,0.0493934,0.00141117,1.16497,0,0,0,nan,nan,nan
0.0723612,-0.146056,7.54662,-0.000690739,1.46086,0.0607295,0.0109203,0.0373899,1.32241,1.3225,1,0.158854,1.76431,2.37747,590,-0.000246126,0.0502175,0.00142756,1.36493,0,0,0,nan,nan,nan
0.0777853,-0.157749,8.50852,0.00221749,1.31207,0.0567629,0.0129361,0.0378996,1.36656,1.36653,1,0.170013,1.78306,2.4671,574,-0.000520833,0.0499527,0.00145907,1.57556,0,0,0,nan,nan,nan
0.0831425,-0.165167,9.18592,-0.00224116,1.41913,0.058286,0.015223,0.0456811,1.39383,1.39356,1,0.171843,1.79016,2.52831,560,0.00129419,0.0512784,0.0015891,1.79979,0,0,0,nan,nan,nan
0.088421,-0.17887,10.3738,-0.00104533,1.47914,0.0605115,0.0170689,0.047903,1.43042,1.43044,1,0.163292,1.82174,2.68411,541,-0.00509306,0.051748,0.00167271,2.0309,0,0,0,nan,nan,nan
0.0937225,-0.193421,11.6731,-0.00380549,1.53418,0.0617637,0.0184083,0.0522599,1.46641,1.46634,1,0.16059,1.82708,2.82069,525,-0.000255766,0.0526646,0.0015124,2.28155,0,0,0,nan,nan,nan
0.0991334,-0.201026,12.3676,-0.00061553,1.5184,0.0615846,0.019874,0.0542737,1.51367,1.51355,1,0.157955,1.82596,2.86501,511,-0.00284091,0.0498737,0.00140776,2.55734,0,0,0,nan,nan,nan
0.104642,-0.209224,13.2954,-0.00498302,1.49852,0.0597177,0.0228751,0.0612756,1.56179,1.56178,1,0.162223,1.83149,2.97762,497,1.57193e-05,0.048667,0.00137444,2.84869,0,0,0,nan,nan,nan
