Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00561537,-0.00897339,2.11534,0.0033258,1.04895,0.0508597,6.60517e-05,0.00217174,0.983191,0.983191,1,0.201493,1.63653,1.09272,952,-0.000603978,0.0481849,0.00138671,0.00520803,0,0,0,nan,nan,nan
0.0110276,-0.0202564,2.27152,-0.000912238,1.03616,0.0507033,0.000263461,0.00416878,1.00935,1.00933,1,0.192552,1.62753,1.21115,905,0.000647143,0.0500639,0.001507,0.0254642,0,0,0,nan,nan,nan
0.0163495,-0.0292031,2.19431,-0.00351563,1.05881,0.05175,0.000528192,0.00610209,1.03132,1.03135,1,0.18925,1.63091,1.31,859,0.000359375,0.050875,0.00162926,0.0608896,0,0,0,nan,nan,nan
0.0219219,-0.037356,2.39466,-0.000626253,1.1297,0.0524956,0.000979127,0.00929961,1.05574,1.05572,1,0.188502,1.66942,1.40963,819,0.00107246,0.048151,0.00138707,0.110422,0,0,0,nan,nan,nan
0.0274097,-0.0503317,2.70319,-0.00126333,0.993381,0.0496419,0.00154366,0.00993644,1.07799,1.07794,1,0.193762,1.64653,1.52353,787,-0.00131758,0.0501612,0.00151908,0.170761,0,0,0,nan,nan,nan
0.0328745,-0.060716,2.95251,0.00531342,1.1479,0.0538955,0.00217095,0.0132908,1.10742,1.10746,1,0.188915,1.70397,1.62944,758,-0.00151483,0.0510042,0.00142707,0.24899,0,0,0,nan,nan,nan
0.0384013,-0.0713583,3.23819,-0.00072281,1.13426,0.0534879,0.00285293,0.0154316,1.13422,1.13427,1,0.188115,1.66324,1.7205,728,0.00578248,0.0497047,0.00146368,0.342682,0,0,0,nan,nan,nan
0.044033,-0.0851854,3.85584,0.000959295,1.25668,0.0562761,0.00387425,0.0196354,1.16136,1.1614,1,0.178475,1.71894,1.84305,702,0.00184185,0.051234,0.00153014,0.453403,0,0,0,nan,nan,nan
0.0495744,-0.0984652,4.57853,4.62278e-05,1.19696,0.0544872,0.00515242,0.0216608,1.20495,1.20493,1,0.179056,1.69293,1.97239,679,0.00104783,0.0497874,0.00144456,0.582118,0,0,0,nan,nan,nan
0.0549844,-0.109772,5.13257,0.000526428,1.36546,0.0580826,0.00619111,0.0275925,1.2167,1.2167,1,0.171692,1.73148,2.04277,661,0.00130463,0.0516739,0.00143532,0.726341,0,0,0,nan,nan,nan
0.0604583,-0.122263,5.83723,0.00126107,1.35018,0.0571481,0.00734881,0.0310819,1.25015,1.25019,1,0.172982,1.75652,2.12544,638,0.000938115,0.0511042,0.00159582,0.888016,0,0,0,nan,nan,nan
0.0659827,-0.133475,6.47719,0.00276596,1.18409,0.0548955,0.00834346,0.0272267,1.286,1.28601,1,0.174248,1.73568,2.19219,622,0.000331299,0.0502111,0.0014799,1.06887,0,0,0,nan,nan,nan
0.0716411,-0.14774,7.77387,-0.000891307,1.30616,0.0573304,0.0112202,0.0332949,1.32152,1.32157,1,0.169147,1.75603,2.27742,601,0.00120908,0.0518043,0.00143134,1.27011,0,0,0,nan,nan,nan
0.076939,-0.15309,8.18404,-0.000141474,1.35897,0.0584444,0.0129299,0.0372796,1.34732,1.34747,1,0.159708,1.77367,2.34607,580,0.00355257,0.051638,0.0015226,1.47837,0,0,0,nan,nan,nan
0.0822392,-0.169495,9.43788,0.00500219,1.41788,0.0590165,0.0140902,0.0432783,1.39543,1.39528,1,0.161636,1.81382,2.44778,564,-0.000438377,0.0500689,0.00143263,1.69394,0,0,0,nan,nan,nan
0.0876661,-0.178237,10.1351,-0.000717315,1.46445,0.060426,0.0153889,0.0464378,1.42802,1.42794,1,0.164172,1.80264,2.5478,549,-0.00355539,0.0513036,0.00146241,1.93732,0,0,0,nan,nan,nan
0.0932018,-0.188603,11.2338,-0.00163143,1.59082,0.0629059,0.0184818,0.0538512,1.46077,1.46081,1,0.1625,1.82941,2.68935,532,0.00022212,0.0514323,0.00158152,2.19777,0,0,0,nan,nan,nan
0.098572,-0.203402,12.7857,-0.000362118,1.50411,0.0605507,0.0213216,0.0557443,1.51023,1.51034,1,0.157729,1.8674,2.79324,520,-0.000138683,0.0506503,0.00138968,2.46496,0,0,0,nan,nan,nan
0.10386,-0.21208,13.6482,0.00192225,1.6735,0.0639899,0.0230178,0.0649384,1.53964,1.53943,1,0.158226,1.87652,2.94295,501,0.00175241,0.050403,0.00141398,2.74815,0,0,0,nan,nan,nan
0.109222,-0.220322,14.4305,0.00292006,1.71476,0.0652506,0.0239044,0.0682426,1.5916,1.59154,1,0.16679,1.89417,3.01304,490,0.000577848,0.0506888,0.00151874,3.04711,0,0,0,nan,nan,nan
0.114756,-0.235119,16.1643,0.00272042,1.60437,0.0624147,0.0265009,0.0696677,1.64039,1.64047,1,0.154204,1.88628,3.11398,475,0.000736297,0.0499984,0.00139629,3.36711,0,0,0,nan,nan,nan
0.120278,-0.245542,17.5931,-0.000750613,1.7553,0.0669424,0.0312276,0.0731399,1.69753,1.69745,1,0.14951,1.90992,3.17955,466,-0.00078125,0.0516391,0.00153466,3.70737,0,0,0,nan,nan,nan
0.125609,-0.256917,19.1164,-0.00442961,1.82027,0.0670661,0.035006,0.0840092,1.7429,1.74272,1,0.149515,1.91914,3.26892,449,-0.000743325,0.0511377,0.00144632,4.0504,0,0,0,nan,nan,nan
0.130868,-0.264515,20.006,-0.00383785,1.69682,0.0663227,0.0358646,0.0746932,1.78376,1.78368,1,0.14938,1.92449,3.34032,438,0.000835968,0.0507357,0.00153947,4.40417,0,0,0,nan,nan,nan
0.136281,-0.280411,22.4239,0.00315857,1.91806,0.0695648,0.0426159,0.0925634,1.87352,1.8731,1,0.143433,1.95222,3.479,426,-0.0001297,0.0533829,0.00160816,4.77852,0,0,0,nan,nan,nan
0.141452,-0.293269,24.3201,-0.00530079,1.83863,0.0681244,0.0460681,0.0920227,1.91192,1.91203,1,0.146142,1.97963,3.62966,415,0.000339004,0.0523145,0.00156985,5.15761,0,0,0,nan,nan,nan
0.146615,-0.303097,25.6594,-0.000588613,1.92593,0.0685619,0.0460271,0.105935,1.93856,1.9386,1,0.142001,2.01522,3.5922,406,-0.00373043,0.0520579,0.00152076,5.55305,0,0,0,nan,nan,nan
0.151968,-0.311277,27.0022,0.00149064,2.08734,0.0729651,0.05075,0.110089,2.00422,2.00437,1,0.141634,2.02969,3.64773,398,-0.000955541,0.0529369,0.00165104,5.9763,0,0,0,nan,nan,nan
0.157252,-0.322316,28.8219,-0.000855214,2.24086,0.074681,0.0550637,0.127859,2.08054,2.0801,1,0.137019,2.04701,3.73275,394,-0.000893738,0.0547337,0.0015526,6.40523,0,0,0,nan,nan,nan
0.162501,-0.337441,31.3241,0.00159694,2.23544,0.0756043,0.0574179,0.125474,2.15124,2.15108,1,0.121305,2.08198,3.76304,385,-0.000164391,0.0525348,0.00156864,6.84626,0,0,0,nan,nan,nan
0.167814,-0.348176,33.354,-0.00290606,2.27292,0.0750614,0.0653352,0.139379,2.21502,2.21468,1,0.132308,2.06721,3.9408,371,0.000417402,0.0522382,0.00147466,7.313,0,0,0,nan,nan,nan
0.172956,-0.360581,35.515,0.00688095,2.41557,0.0779919,0.0667163,0.148463,2.3106,2.3104,1,0.131075,2.11445,4.06424,363,0,0.0535133,0.00155447,7.77921,0,0,0,nan,nan,nan
0.178202,-0.372535,37.9221,0.00163338,2.30439,0.0755054,0.0760205,0.150566,2.36992,2.36951,1,0.124075,2.1009,4.14707,356,-0.0033207,0.054387,0.00167838,8.27129,0,0,0,nan,nan,nan
0.183264,-0.390374,41.0842,-0.00626253,2.47435,0.0770604,0.0695815,0.174862,2.45219,2.45189,1,0.125125,2.17402,4.33934,351,0.000477518,0.0532863,0.00161253,8.76202,0,0,0,nan,nan,nan
0.188706,-0.400075,43.5017,-0.0022689,2.85231,0.0842768,0.089966,0.195132,2.54417,2.54358,1,0.112088,2.19682,4.50397,346,-0.00163735,0.0579154,0.0017847,9.31377,0,0,0,nan,nan,nan
0.193635,-0.412716,46.2015,-0.00118988,2.73547,0.0823209,0.0973288,0.193756,2.6466,2.6466,1,0.116733,2.2193,4.66263,339,-0.00281031,0.0533489,0.00164169,9.82636,0,0,0,nan,nan,nan
