Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00564562,-0.00981571,1.93497,0.00409887,0.997226,0.0496949,6.08874e-05,0.00206073,0.987727,0.987757,1,0.196869,1.61221,1.10485,953,-0.000539324,0.0493559,0.00140151,0.00757976,0,0,0,nan,nan,nan
0.0113131,-0.0256917,2.22097,-0.00227736,1.08493,0.0512985,0.000262626,0.00465263,1.00696,1.00699,1,0.191576,1.64164,1.20296,905,0.00215384,0.0499398,0.00142089,0.0296282,0,0,0,nan,nan,nan
0.0167814,-0.0345078,2.36209,-0.00282547,1.01822,0.0505805,0.000579352,0.00609618,1.03176,1.03168,1,0.194417,1.65211,1.29279,868,0.00118114,0.0496156,0.00132073,0.0735098,0,0,0,nan,nan,nan
0.0222427,-0.0419144,2.57191,0.00128944,1.1213,0.052412,0.00104991,0.00929881,1.05646,1.05642,1,0.197391,1.66214,1.39693,834,-0.00101638,0.0495752,0.00144037,0.129589,0,0,0,nan,nan,nan
0.0276198,-0.0536016,2.75097,0.000799348,1.14234,0.0533904,0.00153749,0.0113961,1.08231,1.08234,1,0.187017,1.67608,1.49633,803,0.00158361,0.0490167,0.00142055,0.195172,0,0,0,nan,nan,nan
0.0331375,-0.0635488,2.99264,0.00107156,1.14003,0.0529624,0.00215094,0.0139823,1.11216,1.11218,1,0.187074,1.67648,1.6484,767,0.00132995,0.05126,0.00152262,0.278757,0,0,0,nan,nan,nan
0.0387343,-0.0765896,3.52637,-0.00537392,1.16281,0.0538144,0.00303773,0.0163242,1.1394,1.1393,1,0.184911,1.69245,1.73745,744,0.00205473,0.0506608,0.00141047,0.377677,0,0,0,nan,nan,nan
0.0442394,-0.0865339,3.83624,0.000670921,1.19841,0.054926,0.00375626,0.0188502,1.16936,1.16931,1,0.180701,1.7012,1.84284,720,-0.00407025,0.0498718,0.00149791,0.493496,0,0,0,nan,nan,nan
0.0498936,-0.101084,4.69085,-0.000478927,1.22608,0.0542984,0.00516562,0.0235156,1.20549,1.20537,1,0.18319,1.72333,1.92305,702,-0.000912955,0.051335,0.00149769,0.626614,0,0,0,nan,nan,nan
0.0553314,-0.107813,5.03017,-0.00492788,1.29805,0.0570913,0.00629011,0.0256536,1.22532,1.22532,1,0.1747,1.74652,2.05806,674,-0.00183293,0.0505709,0.00155588,0.775135,0,0,0,nan,nan,nan
0.0607963,-0.119973,5.78949,0.00183957,1.34013,0.0573144,0.00777945,0.0303487,1.25504,1.25504,1,0.176659,1.7394,2.18962,648,-0.000242248,0.0492672,0.00133812,0.93385,0,0,0,nan,nan,nan
0.0661956,-0.135669,6.82652,-0.00214612,1.38828,0.058779,0.00926577,0.0333497,1.28786,1.28788,1,0.168046,1.75684,2.2985,624,0.00165977,0.0494303,0.00145536,1.10754,0,0,0,nan,nan,nan
0.0715824,-0.143924,7.33591,0.00142399,1.36434,0.0589439,0.0104175,0.0339943,1.32057,1.3206,1,0.17119,1.76605,2.4206,596,-0.00259898,0.0511548,0.00145382,1.30248,0,0,0,nan,nan,nan
0.0770761,-0.155293,8.30929,0.00306479,1.45898,0.0605006,0.0126872,0.0402287,1.35442,1.35422,1,0.164526,1.77513,2.52504,580,-0.000231596,0.049685,0.00154283,1.51274,0,0,0,nan,nan,nan
0.0824362,-0.165205,9.18972,-0.00169837,1.44121,0.0602304,0.0149696,0.0422498,1.4057,1.40574,1,0.166378,1.79882,2.6383,560,0.000926383,0.0503335,0.00144685,1.73367,0,0,0,nan,nan,nan
0.087714,-0.179319,10.3131,0.000498833,1.47561,0.0607272,0.0160129,0.0466231,1.4384,1.43846,1,0.166933,1.82881,2.7366,540,0.000437439,0.0507045,0.00147158,1.96479,0,0,0,nan,nan,nan
