Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00537001,-0.00898204,2.22979,-4.67814e-05,0.943519,0.0485124,6.37049e-05,0.00183137,0.99147,0.991494,1,0.195671,1.61051,1.10557,948,0.00438966,0.0525278,0.00163701,0.0126278,0,0,0,nan,nan,nan
0.0106402,-0.0195083,2.11093,-0.000779721,1.03911,0.0507125,0.000227958,0.00405116,1.01341,1.0134,1,0.19967,1.62998,1.21783,905,0.00211748,0.0477847,0.00130785,0.0326522,0,0,0,nan,nan,nan
0.0161605,-0.0345371,2.26315,-0.00135305,1.08242,0.0525394,0.000511302,0.00607249,1.03723,1.03721,1,0.187561,1.64744,1.3442,858,0.000833231,0.0490078,0.00136289,0.068096,0,0,0,nan,nan,nan
0.0217588,-0.0437863,2.38263,-0.00399709,1.02607,0.0503422,0.000895676,0.00820923,1.06399,1.06409,1,0.193375,1.64428,1.44973,829,-0.000370942,0.049623,0.00140696,0.125445,0,0,0,nan,nan,nan
0.0274539,-0.0552053,2.85947,-0.00126401,1.15144,0.0522509,0.00156719,0.0124234,1.08864,1.08869,1,0.194018,1.68115,1.54463,792,0.00257371,0.0486263,0.00135779,0.197108,0,0,0,nan,nan,nan
0.0328862,-0.0640472,3.00472,-0.003822,1.11083,0.0526118,0.0021139,0.0132275,1.11513,1.11517,1,0.184007,1.67155,1.66859,758,0.000750613,0.0504136,0.00149289,0.281768,0,0,0,nan,nan,nan
0.0384891,-0.0791091,3.73746,-0.00257389,1.24743,0.0559139,0.00316333,0.0172076,1.14121,1.14145,1,0.179264,1.70131,1.78775,728,-0.000567769,0.0514247,0.00151328,0.381507,0,0,0,nan,nan,nan
0.0438496,-0.0823422,3.88956,-0.00537015,1.1071,0.0524272,0.00414134,0.0176914,1.17702,1.17739,1,0.18301,1.69771,1.872,696,-0.00126669,0.0505537,0.00143016,0.497879,0,0,0,nan,nan,nan
0.0491871,-0.0988732,4.47939,-0.00234375,1.27058,0.0559796,0.0047825,0.0230369,1.20127,1.20133,1,0.186779,1.73972,1.93232,676,0.00063101,0.0503155,0.00147355,0.618293,0,0,0,nan,nan,nan
0.0547585,-0.114307,5.26478,0.00162132,1.34307,0.0573495,0.00575672,0.0274393,1.22863,1.22862,1,0.172539,1.74968,2.03113,656,-0.00161378,0.0494691,0.00136079,0.767183,0,0,0,nan,nan,nan
0.0604118,-0.120964,5.83376,0.00355598,1.34529,0.0585633,0.00761988,0.0282302,1.25153,1.25147,1,0.17154,1.74888,2.14121,636,-0.0004721,0.0498294,0.00137652,0.940467,0,0,0,nan,nan,nan
0.0658329,-0.130655,6.55048,0.00402952,1.36956,0.058301,0.00944962,0.032878,1.29039,1.2902,1,0.173139,1.7747,2.21164,615,-0.00187993,0.0508968,0.00137427,1.11616,0,0,0,nan,nan,nan
0.0711378,-0.146597,7.36271,-0.00020272,1.25957,0.0554828,0.00941808,0.0335429,1.31291,1.31288,1,0.171969,1.76625,2.30477,591,-0.0037815,0.0524966,0.00153381,1.3015,0,0,0,nan,nan,nan
0.0768797,-0.155598,8.20353,0.00184829,1.54607,0.0617545,0.0118541,0.0438047,1.35165,1.35162,1,0.167495,1.80844,2.45446,569,0.00250062,0.0516122,0.00150926,1.52485,0,0,0,nan,nan,nan
0.0824109,-0.161474,8.71962,-0.000818675,1.43053,0.0596541,0.0138869,0.0428145,1.41022,1.41023,1,0.160429,1.78453,2.50597,562,-0.00601141,0.049331,0.00140831,1.75304,0,0,0,nan,nan,nan
0.0878889,-0.17879,10.1403,0.000976562,1.40464,0.0590033,0.0151174,0.0451229,1.42211,1.42207,1,0.162361,1.80288,2.61772,537,-0.00332346,0.0509545,0.00141707,1.98736,0,0,0,nan,nan,nan
0.0934882,-0.185578,10.9491,0.00250441,1.57135,0.0622165,0.0186392,0.054261,1.46456,1.46456,1,0.161353,1.82806,2.73966,517,-0.000708795,0.051238,0.00154056,2.2515,0,0,0,nan,nan,nan
0.0988522,-0.199725,12.4987,0.0026806,1.52358,0.0615432,0.0223463,0.0547604,1.51752,1.51737,1,0.166371,1.85545,2.81106,506,0.00253036,0.0479978,0.00137425,2.51422,0,0,0,nan,nan,nan
0.104032,-0.211424,13.6218,0.00296498,1.62033,0.0635668,0.0235782,0.0609521,1.55229,1.55229,1,0.154242,1.83901,2.83866,496,0.000619666,0.0490948,0.00135825,2.78694,0,0,0,nan,nan,nan
0.109339,-0.217215,14.0662,0.0024558,1.57309,0.0630986,0.0237605,0.0605568,1.61324,1.61317,1,0.160486,1.84618,2.93731,489,0.00197999,0.0513415,0.00142043,3.08203,0,0,0,nan,nan,nan
0.114895,-0.235292,16.3124,-0.00028284,1.67094,0.0646481,0.0282446,0.0690549,1.6412,1.64108,1,0.157901,1.87636,2.99478,480,0.00311124,0.0512552,0.00142685,3.39888,0,0,0,nan,nan,nan
