0,0.0625,0.125,0.1875,0.25,
308,29,49,19,22,
110,64,76,60,53,
90,63,68,60,69,
86,72,73,69,66,
79,66,68,62,55,
67,75,75,67,63,
73,77,55,69,81,
67,81,75,75,63,
86,92,70,68,51,
77,92,69,72,59,
90,73,80,63,56,
70,91,74,57,81,
78,84,74,68,67,
80,76,73,78,52,
89,82,79,72,57,
90,77,88,63,48,
95,92,76,60,58,
105,77,71,75,56,
89,103,73,57,65,
96,93,68,73,64,
97,98,76,73,70,
94,99,80,69,68,
108,78,90,71,56,
115,97,73,64,51,
108,94,78,69,49,
86,114,100,63,43,
102,111,66,74,39,
102,109,84,65,45,
89,117,85,61,53,
98,97,101,71,52,
118,106,102,58,37,
117,121,99,63,40,
143,93,90,69,41,
100,123,95,75,39,
129,136,89,57,39,
147,127,98,59,25,
129,118,97,63,38,
124,129,99,53,40,
109,145,113,55,38,
136,137,86,49,43,
126,148,88,64,33,
142,130,81,51,36,
142,137,85,66,29,
146,154,82,56,31,
135,173,97,41,32,
158,151,98,44,32,
152,145,111,58,25,
163,139,104,54,29,
161,164,88,62,17,
158,162,97,45,27,
197,164,71,29,22,
180,186,73,42,16,
172,148,99,51,17,
191,161,81,34,16,
179,165,80,41,22,
191,150,86,32,21,
179,172,82,46,15,
192,176,82,24,15,
198,165,74,34,14,
186,168,69,39,12,
182,162,84,26,17,
235,150,60,26,10,
191,162,91,28,10,
214,184,69,16,4,
252,158,51,24,8,
232,168,62,20,10,
236,169,63,28,7,
255,167,63,18,5,
238,187,55,15,6,
230,187,65,9,8,
251,170,49,20,5,
272,167,48,11,6,
245,174,55,19,7,
245,186,45,11,3,
282,166,38,6,3,
294,154,36,11,4,
277,168,31,9,7,
284,150,44,8,2,
294,148,31,7,6,
317,144,23,6,2,
322,152,21,10,1,
339,144,23,5,1,
348,138,17,6,1,
341,133,31,3,1,
359,136,9,5,0,
400,93,19,1,1,
405,89,18,8,2,
399,99,14,4,0,
398,93,12,4,1,
410,82,16,4,1,
421,81,4,3,0,
437,72,9,2,0,
433,68,5,3,0,
445,59,9,3,0,
466,51,5,1,0,
481,41,2,1,0,
471,47,3,1,1,
483,42,2,0,0,
501,25,3,0,0,
493,35,1,0,0,
506,21,0,1,0,
504,16,2,0,0,
509,16,3,0,0,
503,14,0,0,0,
501,11,3,0,0,
499,11,1,1,0,
498,9,0,0,0,
503,8,0,0,0,
510,5,1,0,0,
501,5,0,0,0,
501,4,0,0,0,
518,0,0,0,0,
506,1,0,0,0,
506,2,0,0,0,
500,1,0,0,0,
497,0,0,0,0,
488,1,0,0,0,
489,0,0,0,0,
489,0,0,0,0,
486,0,0,0,0,
482,0,0,0,0,
492,0,0,0,0,
500,0,0,0,0,
495,0,0,0,0,
488,0,0,0,0,
485,0,0,0,0,
484,0,0,0,0,
483,0,0,0,0,
482,0,0,0,0,
472,0,0,0,0,
478,0,0,0,0,
493,0,0,0,0,
486,0,0,0,0,
482,0,0,0,0,
483,0,0,0,0,
480,0,0,0,0,
483,0,0,0,0,
492,0,0,0,0,
488,0,0,0,0,
487,0,0,0,0,
489,0,0,0,0,
485,0,0,0,0,
493,0,0,0,0,
490,0,0,0,0,
491,0,0,0,0,
497,0,0,0,0,
501,0,0,0,0,
516,0,0,0,0,
512,0,0,0,0,
508,0,0,0,0,
519,0,0,0,0,
514,0,0,0,0,
517,0,0,0,0,
524,0,0,0,0,
519,0,0,0,0,
512,0,0,0,0,
505,0,0,0,0,
513,0,0,0,0,
514,0,0,0,0,
513,0,0,0,0,
504,0,0,0,0,
509,0,0,0,0,
505,0,0,0,0,
503,0,0,0,0,
