Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00540234,-0.0175,2.275,0.0146875,0.801875,0.0454688,6.41085e-05,0.00147278,1.01203,1.01211,1,0.209375,1.61986,1.08,96,0.00382812,0.0469531,0.00128478,0.00694271,0,0,0,nan,nan,nan
0.0106876,-0.014974,2.35547,0.00463867,1.00537,0.0500488,0.000262496,0.00389157,1.0387,1.03862,1,0.193359,1.62063,1.21528,88,-0.00154622,0.0502116,0.00145816,0.0384964,0,0,0,nan,nan,nan
0.0158548,-0.0118815,1.87565,0.0012207,1.16715,0.0552572,0.000462408,0.00611198,1.0458,1.04563,1,0.178385,1.62106,1.36719,82,-0.000244141,0.0497233,0.00141159,0.066205,0,0,0,nan,nan,nan
0.0216303,-0.0463967,2.61288,-0.00111607,0.952806,0.0510204,0.000964657,0.00619529,1.07722,1.07713,1,0.197066,1.60374,1.4369,80,0.0020727,0.0596301,0.00193119,0.0915414,0,0,0,nan,nan,nan
0.0270856,-0.059345,3.00661,0.0102163,1.29958,0.0539363,0.00154431,0.0150283,1.08444,1.08452,1,0.189904,1.70389,1.49778,78,-0.00353065,0.0511569,0.00119826,0.164294,0,0,0,nan,nan,nan
0.0324846,-0.074369,3.20974,-0.00232873,1.12335,0.0520583,0.00189297,0.0139544,1.11287,1.11287,1,0.197716,1.68324,1.73817,74,-0.0059345,0.0478516,0.00118864,0.254065,0,0,0,nan,nan,nan
0.0383331,-0.0740685,3.82752,-0.00135216,1.15925,0.0539363,0.00356052,0.0158898,1.1372,1.13728,1,0.207332,1.68455,1.77515,72,0.00796274,0.0552885,0.00153373,0.373226,0,0,0,nan,nan,nan
0.0433653,-0.0709021,3.25295,-0.0103921,0.884287,0.0462117,0.00369717,0.0146398,1.16397,1.1643,1,0.21875,1.6374,1.88679,70,0.000663325,0.0553508,0.00177361,0.476466,0,0,0,nan,nan,nan
0.0489518,-0.10142,4.91477,0.00454545,1.48864,0.0636364,0.00546719,0.0221234,1.18736,1.18752,1,0.163636,1.76872,2,70,0.000639205,0.0520597,0.00118439,0.585658,0,0,0,nan,nan,nan
0.0541378,-0.0915799,3.63715,0.00535301,1.22772,0.057147,0.00436737,0.0212047,1.22377,1.22394,1,0.170139,1.69575,2.16049,67,0.0141059,0.0492622,0.00162586,0.728071,0,0,0,nan,nan,nan
0.0605548,-0.118924,5.73032,-0.00311053,1.57567,0.0637297,0.00773624,0.0324529,1.25511,1.25511,1,0.159722,1.75743,2.28052,64,-0.00245949,0.0493345,0.00132316,0.886314,0,0,0,nan,nan,nan
0.0659477,-0.139369,6.84431,0.00188337,1.47307,0.0600586,0.00814066,0.0362497,1.28904,1.28887,1,0.166295,1.7505,2.31186,63,0.00418527,0.0479911,0.00144616,1.05839,0,0,0,nan,nan,nan
0.0716731,-0.151847,7.98807,0.0071733,1.1706,0.0551847,0.0107127,0.0280233,1.33458,1.3344,1,0.177841,1.71232,2.34711,62,-0.00553977,0.0541193,0.00138129,1.27064,0,0,0,nan,nan,nan
0.0770975,-0.164641,8.34259,0.00745081,1.37862,0.0609809,0.00834107,0.0328927,1.36786,1.36786,1,0.176505,1.80234,2.43484,60,-0.00108507,0.057364,0.00237603,1.48939,0,0,0,nan,nan,nan
0.08371,-0.151646,8.08984,0.000767299,1.22893,0.0553153,0.0154353,0.0373037,1.40578,1.40578,1,0.179688,1.78843,2.34375,59,-0.00334821,0.0558036,0.00131864,1.77602,0,0,0,nan,nan,nan
0.0889879,-0.192708,11.9757,-0.00788484,1.54181,0.0625723,0.0195497,0.0480085,1.44191,1.44222,1,0.168403,1.83092,2.34911,57,0.000289352,0.0478877,0.00128975,1.98872,0,0,0,nan,nan,nan
0.0939733,-0.203425,13.101,-0.00240385,1.54748,0.059345,0.0221409,0.0606964,1.50799,1.50799,1,0.170673,1.83498,2.40385,55,-0.00811298,0.046875,0.00142846,2.24253,0,0,0,nan,nan,nan
0.0989204,-0.196844,12.4565,0.0141697,1.6561,0.0644148,0.024826,0.0587472,1.52837,1.52907,1,0.151348,1.86547,2.46059,53,0.00352328,0.0421262,0.00137647,2.50806,0,0,0,nan,nan,nan
0.103838,-0.231279,15.8591,0.00759139,1.75604,0.0636055,0.0233502,0.0748002,1.57502,1.57536,1,0.154481,1.94037,2.47419,53,-7.37028e-05,0.0491598,0.00164791,2.76383,0,0,0,nan,nan,nan
0.109161,-0.229267,15.4988,-0.00172776,1.69757,0.064378,0.0243399,0.0694884,1.60335,1.60323,1,0.158654,1.90353,2.4963,51,0.0177284,0.051232,0.00201161,3.08681,0,0,0,nan,nan,nan
0.114642,-0.240861,17.3679,-0.0129717,1.61999,0.06648,0.0330719,0.0560112,1.65059,1.65118,1,0.146816,1.91015,2.43859,51,-0.00700177,0.0470961,0.0015909,3.41629,0,0,0,nan,nan,nan
0.11958,-0.246324,17.8958,0.0010723,1.76348,0.0661765,0.0337889,0.076815,1.71166,1.71154,1,0.143995,1.94239,2.47982,51,-0.00551471,0.0516238,0.00130586,3.72856,0,0,0,nan,nan,nan
0.124676,-0.257334,19.0089,-0.0074139,2.364,0.0790019,0.0319645,0.0955298,1.80449,1.80463,1,0.134566,1.97604,2.62391,49,0.00310906,0.0464764,0.00137064,4.0578,0,0,0,nan,nan,nan
0.130138,-0.26496,19.9136,-0.00689827,2.0384,0.0700632,0.0328791,0.101733,1.80312,1.80222,1,0.142952,1.97898,2.71616,47,0.0129654,0.0570146,0.00218795,4.42566,0,0,0,nan,nan,nan
0.13576,-0.277094,21.7294,-0.000332447,2.04322,0.0708112,0.038214,0.10312,1.82185,1.8208,1,0.130984,1.97616,2.8746,45,0.00099734,0.0511968,0.00127345,4.81471,0,0,0,nan,nan,nan
0.1412,-0.289388,23.7839,0.0129395,2.04541,0.0725098,0.0467539,0.0987622,1.91356,1.91356,1,0.147135,2.00072,2.99479,44,0.00179036,0.0519206,0.00150805,5.20842,0,0,0,nan,nan,nan
0.146315,-0.294922,24.832,-0.00667318,1.889,0.0677083,0.0549213,0.104672,1.97621,1.97621,1,0.14388,1.91089,3.1901,44,-0.0120443,0.0576172,0.00149695,5.59524,0,0,0,nan,nan,nan
0.151206,-0.300272,25.4416,0.00585938,1.93529,0.0693784,0.0539532,0.106309,2.05167,2.05151,1,0.143342,2.04548,3.18998,42,-0.00568954,0.0590183,0.00195095,5.97239,0,0,0,nan,nan,nan
0.156305,-0.323583,28.9717,-0.00499637,2.8443,0.0842115,0.0529416,0.160815,2.13414,2.13619,1,0.122093,2.10605,3.13683,42,0.0065407,0.0570494,0.00188509,6.37228,0,0,0,nan,nan,nan
0.161627,-0.341751,31.9426,0.00608648,2.01908,0.0720385,0.0533776,0.111612,2.16415,2.16415,1,0.136628,1.9777,3.29908,41,-0.012173,0.0548692,0.0015003,6.82087,0,0,0,nan,nan,nan
0.167106,-0.352778,34.3611,0.00642361,2.60903,0.0777778,0.0698493,0.177197,2.25415,2.25415,1,0.119444,2.22394,3.38272,41,0.012934,0.0563368,0.00148315,7.30812,0,0,0,nan,nan,nan
0.172059,-0.375521,38.0285,0.0126736,2.51389,0.0765625,0.0570892,0.174341,2.3729,2.37427,1,0.113889,2.23589,3.4321,41,-0.00824653,0.0493924,0.00162737,7.76348,0,0,0,nan,nan,nan
0.1777,-0.388317,40.7621,0.00443892,2.46804,0.0759943,0.0682025,0.175853,2.47012,2.46949,1,0.12429,2.12117,3.6157,41,-0.00559304,0.0558416,0.00183596,8.31343,0,0,0,nan,nan,nan
0.18303,-0.402083,44.4278,0.00946181,2.97899,0.0825521,0.10184,0.225931,2.59466,2.59487,1,0.114583,2.169,3.90123,39,-0.00173611,0.0444444,0.00115512,8.85107,0,0,0,nan,nan,nan
0.187523,-0.40625,44.5569,0.00538194,2.48472,0.0795139,0.0811231,0.162427,2.54501,2.5459,1,0.117361,2.17691,4.12346,38,0.00347222,0.0524306,0.00181375,9.32146,0,0,0,nan,nan,nan
