Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.476183,-1.66434,2841.06,0.00495963,773.961,0.868063,1.03411,1.11497,765.436,0.821023,0.859216,6.18383e-06,27.7795,23.2009,801,-0.00118401,0.753578,-0.567823,301.321
0.477971,-1.6706,2862.41,-0.00282785,780.25,0.871647,1.03329,1.07384,772.953,0.748797,0.863608,9.26658e-06,27.893,23.1352,797,-0.00412807,0.758746,-0.575639,304.374
0.479784,-1.6783,2888.69,-0.00850667,787.678,0.875966,1.01096,0.933389,780.34,0.691137,0.867872,0,28.0309,23.3504,794,-0.00433163,0.767099,-0.588382,307.485
0.481625,-1.68444,2909.63,0.00770285,793.741,0.879428,0.971041,0.860129,787.545,0.647564,0.872292,0,28.1417,23.6996,791,-0.00312287,0.773995,-0.599009,310.656
0.483502,-1.69216,2936.23,-0.0108642,801.119,0.883611,0.95542,0.779113,793.944,0.618765,0.875597,0,28.2756,23.7302,791,-0.0112914,0.779924,-0.608222,313.9
0.485408,-1.69957,2961.87,0.00400604,808.431,0.887689,0.945262,0.741194,800.457,0.558247,0.879364,0,28.4061,23.9558,790,0.000776597,0.788221,-0.621231,317.21
0.487338,-1.70584,2983.5,0.00417318,814.432,0.8911,0.899464,0.641126,806.771,0.524687,0.882884,0,28.5152,24.0157,787,-0.0046604,0.794246,-0.630764,320.577
0.489308,-1.71199,3004.88,0.0138606,819.733,0.89403,0.868774,0.616888,813.322,0.490326,0.886774,0,28.6089,24.0525,784,0.00185126,0.799462,-0.639077,324.026
0.49132,-1.71777,3025.18,0.0064196,825.011,0.896933,0.877862,0.59707,818.789,0.467313,0.889401,0,28.7018,24.033,781,0.00961022,0.804921,-0.647834,327.56
0.493352,-1.72495,3050.39,-0.00322599,831.213,0.900349,0.859007,0.55692,825.154,0.423856,0.893126,0,28.8112,24.3058,780,0.00103894,0.811194,-0.657971,331.143
0.495411,-1.73231,3076.31,-0.00780479,837.454,0.903773,0.836106,0.517149,831.329,0.400304,0.897124,0,28.9208,24.3791,777,-0.0152368,0.816763,-0.667035,334.786
0.4975,-1.73869,3098.88,-0.000158159,843.425,0.907042,0.811836,0.474578,836.686,0.370166,0.899899,0,29.0254,24.5765,774,-0.0125904,0.823052,-0.677348,338.5
0.499625,-1.74463,3119.93,0.00515054,848.136,0.909601,0.785186,0.452545,842.006,0.348377,0.902654,0,29.1072,24.6615,767,-0.00479056,0.827726,-0.685063,342.291
0.50179,-1.75122,3143.53,-0.0159496,853.799,0.912658,0.792262,0.433872,847.057,0.330683,0.905332,0,29.205,24.805,764,-0.00142283,0.833072,-0.693941,346.167
