0,0.0625,0.125,0.1875,0.25,
18,30,16,12,26,
26,21,22,12,24,
21,26,19,24,16,
23,28,15,29,17,
25,17,24,22,19,
26,20,23,19,13,
20,19,21,28,16,
26,21,19,24,19,
31,26,19,21,17,
36,26,26,21,12,
26,25,21,16,13,
21,31,26,22,16,
23,31,23,27,19,
29,30,20,18,16,
28,29,23,21,12,
24,25,23,24,15,
24,29,26,25,16,
25,22,25,27,19,
24,24,22,20,21,
27,37,23,14,18,
27,28,15,26,12,
26,30,26,14,20,
28,27,26,18,16,
35,24,20,16,20,
33,32,21,19,17,
44,22,20,23,9,
35,34,19,23,13,
31,32,22,15,17,
41,31,24,12,13,
40,25,27,23,14,
36,35,35,14,13,
33,39,29,18,11,
39,35,22,22,6,
33,43,24,17,18,
47,42,25,12,12,
42,34,30,16,15,
32,38,31,19,14,
32,33,27,23,11,
42,42,26,15,9,
35,44,21,16,14,
44,36,27,14,8,
46,42,28,13,4,
45,43,23,13,11,
40,45,20,19,6,
42,40,26,12,9,
34,44,24,19,11,
34,47,29,15,6,
36,44,26,11,12,
41,47,19,13,7,
43,43,24,15,9,
50,39,30,12,4,
53,40,22,12,6,
56,53,19,9,4,
53,55,15,11,7,
41,40,37,8,7,
56,52,26,8,3,
53,53,25,8,4,
61,47,22,10,7,
49,56,29,12,3,
57,65,13,8,3,
60,53,23,12,1,
60,50,26,7,5,
61,56,12,8,6,
67,49,22,6,1,
67,54,21,7,3,
69,52,14,6,2,
61,63,7,12,0,
74,57,10,5,0,
72,54,14,3,1,
64,55,16,5,1,
70,47,10,7,1,
73,49,12,3,1,
77,51,8,7,2,
87,42,12,5,0,
83,43,18,3,1,
86,47,9,0,0,
82,42,11,1,1,
88,40,9,2,0,
92,48,4,1,0,
97,44,2,1,0,
96,37,8,0,0,
99,34,5,2,0,
95,35,7,3,0,
113,23,3,1,0,
106,29,5,0,0,
106,26,4,2,0,
115,23,1,1,0,
107,26,3,1,0,
122,13,5,0,0,
114,22,1,0,1,
119,22,1,0,0,
127,14,1,0,0,
119,22,1,0,0,
117,22,3,0,0,
133,8,2,0,0,
129,11,0,0,0,
132,6,0,0,0,
132,8,0,0,0,
138,4,0,0,0,
138,4,0,0,0,
132,4,0,0,0,
134,4,0,0,0,
136,1,1,0,0,
144,0,0,0,0,
143,3,0,0,0,
141,1,0,0,0,
141,1,0,0,0,
144,0,0,0,0,
137,1,0,0,0,
132,0,0,0,0,
131,1,0,0,0,
132,0,0,0,0,
136,0,0,0,0,
136,0,0,0,0,
142,0,0,0,0,
146,0,0,0,0,
144,0,0,0,0,
148,0,0,0,0,
148,0,0,0,0,
150,0,0,0,0,
144,0,0,0,0,
144,0,0,0,0,
142,0,0,0,0,
140,0,0,0,0,
140,0,0,0,0,
138,0,0,0,0,
136,0,0,0,0,
136,0,0,0,0,
140,0,0,0,0,
134,0,0,0,0,
136,0,0,0,0,
136,0,0,0,0,
142,0,0,0,0,
142,0,0,0,0,
138,0,0,0,0,
142,0,0,0,0,
142,0,0,0,0,
140,0,0,0,0,
140,0,0,0,0,
140,0,0,0,0,
138,0,0,0,0,
142,0,0,0,0,
142,0,0,0,0,
146,0,0,0,0,
144,0,0,0,0,
144,0,0,0,0,
144,0,0,0,0,
140,0,0,0,0,
140,0,0,0,0,
144,0,0,0,0,
142,0,0,0,0,
142,0,0,0,0,
142,0,0,0,0,
142,0,0,0,0,
