Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00549248,-0.00408654,1.82692,0.00913462,1.00168,0.0467548,5.49844e-05,0.00242802,1.01448,1.01442,1,0.203365,1.65636,1.13905,118,0.00588942,0.0492788,0.00128253,0.00479352,0,0,0,nan,nan,nan
0.0112946,-0.0245536,2.48909,0.00923859,1.09908,0.0543775,0.000297841,0.00386404,1.03884,1.03871,1,0.185516,1.60646,1.22827,111,-0.00303819,0.0523934,0.00130312,0.0187714,0,0,0,nan,nan,nan
0.0164211,-0.0240479,2.17529,-0.00189209,0.897583,0.0488892,0.000546653,0.00469159,1.04333,1.04359,1,0.20752,1.59653,1.32751,106,0.00305176,0.0477295,0.00122665,0.0588694,0,0,0,nan,nan,nan
0.0219227,-0.0617788,2.84231,-0.00378606,1.01911,0.0510216,0.000896447,0.0077319,1.05885,1.05885,1,0.187019,1.633,1.4497,102,-0.0154447,0.054387,0.00183049,0.100656,0,0,0,nan,nan,nan
0.0276582,-0.0316162,2.21143,-0.00372314,1.03381,0.0512085,0.00149593,0.0100261,1.08077,1.08097,1,0.19043,1.61359,1.51062,98,0.00286865,0.0490112,0.00145885,0.199291,0,0,0,nan,nan,nan
0.0332597,-0.0606099,3.10232,0.00264617,1.35811,0.0593498,0.0023915,0.0151791,1.1127,1.1127,1,0.172883,1.69956,1.59339,94,-0.0126008,0.047631,0.00118666,0.252452,0,0,0,nan,nan,nan
0.0385872,-0.0768029,3.71106,0.00588942,1.31755,0.0591346,0.00327722,0.016297,1.15818,1.15811,1,0.179808,1.6654,1.59763,93,-0.00594952,0.0524639,0.00146506,0.342963,0,0,0,nan,nan,nan
0.0438672,-0.0998535,4.59473,-0.0065918,1.27197,0.0557861,0.0039299,0.0208491,1.17673,1.1768,1,0.169434,1.73304,1.69373,89,-0.000915527,0.0454712,0.00127262,0.454646,0,0,0,nan,nan,nan
0.0493485,-0.0919189,4.27783,-0.00189209,1.38074,0.0578003,0.00515028,0.0259314,1.18427,1.18406,1,0.202148,1.75075,1.87683,84,-0.000305176,0.0494995,0.00118664,0.602599,0,0,0,nan,nan,nan
0.0547349,-0.111206,5.29053,0.00286865,1.13782,0.0508423,0.00636521,0.0260578,1.22329,1.223,1,0.189453,1.72382,2.05994,82,-0.000488281,0.0458984,0.00106907,0.737271,0,0,0,nan,nan,nan
0.0601089,-0.121094,5.74023,0.000244141,1.39062,0.057373,0.00717677,0.0329372,1.26086,1.26086,1,0.155762,1.77449,2.13623,80,0.00250244,0.0525513,0.00138923,0.898095,0,0,0,nan,nan,nan
0.0656669,-0.129447,6.2774,0.0108173,1.03197,0.0483173,0.00857135,0.0285207,1.28854,1.28846,1,0.190865,1.71756,2.30769,76,0.00997596,0.0501202,0.0014637,1.0783,0,0,0,nan,nan,nan
0.0712229,-0.158774,9.07933,0.0077524,1.34147,0.0566707,0.0133198,0.0369864,1.33529,1.33506,1,0.16875,1.77423,2.44083,74,0.00180288,0.0483173,0.00118482,1.27022,0,0,0,nan,nan,nan
0.0760569,-0.149194,7.7006,0.0136089,1.44708,0.0604839,0.011583,0.038831,1.365,1.36492,1,0.177923,1.81765,2.48764,71,0,0.047001,0.00132602,1.4746,0,0,0,nan,nan,nan
0.0815926,-0.167087,8.98891,0.0129788,1.2122,0.0567036,0.0122623,0.0317461,1.39542,1.39568,1,0.176915,1.7348,2.63398,69,0.0093246,0.0483871,0.00130209,1.69394,0,0,0,nan,nan,nan
0.0873643,-0.184476,11.0565,0.0078755,1.40134,0.0616809,0.0178939,0.0373372,1.43277,1.43259,1,0.15373,1.79914,2.63398,68,0.00611139,0.0498362,0.00145558,1.94865,0,0,0,nan,nan,nan
0.0924802,-0.193263,11.8376,0.0151127,1.57172,0.060707,0.0194641,0.058103,1.4624,1.46204,1,0.152664,1.83325,2.75464,65,0.00762039,0.050397,0.00135588,2.19824,0,0,0,nan,nan,nan
0.0976726,-0.206275,12.8059,-0.00340222,1.3125,0.0577117,0.0182526,0.0449154,1.50018,1.50009,1,0.161794,1.79909,2.95916,64,-0.00346522,0.0523564,0.00151011,2.46293,0,0,0,nan,nan,nan
0.103336,-0.211694,13.12,0.00655242,1.45741,0.0590978,0.0175928,0.0582107,1.56904,1.56885,1,0.17994,1.83074,3.26808,63,-0.00346522,0.0547505,0.00159528,2.7698,0,0,0,nan,nan,nan
0.109438,-0.221183,14.3478,0.00774846,1.79752,0.0692239,0.0218431,0.062465,1.60796,1.60716,1,0.141906,1.90921,3.59446,60,0.00441855,0.0519339,0.00125665,3.10849,0,0,0,nan,nan,nan
0.115239,-0.243322,17.4713,-0.00604839,1.74597,0.0664062,0.030739,0.0711094,1.61573,1.61563,1,0.144657,1.90426,3.6583,59,0.00403226,0.0594758,0.00165062,3.44478,0,0,0,nan,nan,nan
0.120387,-0.246528,17.5893,0.00260417,1.99578,0.0732887,0.0294303,0.0747302,1.70191,1.70201,1,0.140873,1.94226,3.79504,58,0.00223214,0.0527034,0.00156748,3.77334,0,0,0,nan,nan,nan
0.125884,-0.257564,19.3348,-0.0171751,1.76376,0.0645461,0.0372705,0.0877687,1.76338,1.76306,1,0.137401,1.89296,3.85802,56,0.00142609,0.0510293,0.00148101,4.12812,0,0,0,nan,nan,nan
0.130992,-0.272569,20.747,-0.0142609,1.76637,0.0643601,0.029646,0.0924751,1.78234,1.78234,1,0.145833,1.91746,3.81078,55,0.00992063,0.0520833,0.00130693,4.47275,0,0,0,nan,nan,nan
0.136951,-0.275958,21.5444,0.00396925,1.92679,0.0711316,0.0384357,0.0864857,1.84745,1.84745,1,0.150706,1.94055,3.6583,55,-0.00491431,0.0481351,0.00126145,4.89643,0,0,0,nan,nan,nan
0.142423,-0.299609,25.0964,-0.00351563,2.10573,0.0733073,0.0429282,0.103968,1.96571,1.96559,1,0.127083,2.02975,3.71528,53,0.0063151,0.0539714,0.00174255,5.29085,0,0,0,nan,nan,nan
0.147808,-0.309537,26.8933,0.00148168,2.05954,0.0734106,0.0516731,0.100498,1.99302,1.99302,1,0.143319,1.95069,3.93876,51,0.00262662,0.0528691,0.00146312,5.71175,0,0,0,nan,nan,nan
0.152901,-0.325162,28.9203,0.00343481,2.19895,0.0767107,0.0433292,0.105886,1.99546,1.99546,1,0.13847,2.00009,3.82729,50,0.00626347,0.0546202,0.00185052,6.12326,0,0,0,nan,nan,nan
0.158655,-0.33347,30.7637,0.00095943,2.08251,0.0762061,0.0577903,0.0945304,2.14198,2.1428,1,0.123904,2.10613,4.00123,47,-0.00541393,0.0553043,0.00170807,6.61003,0,0,0,nan,nan,nan
0.163825,-0.345232,32.4941,0.00451239,1.96619,0.0683594,0.0532138,0.126129,2.16063,2.1602,1,0.133621,2.04741,4.0874,46,0.00195312,0.0575835,0.00169691,7.05927,0,0,0,nan,nan,nan
0.169388,-0.351697,34.2613,0.000740841,2.1246,0.0732085,0.0744977,0.127476,2.2521,2.25225,1,0.131466,2.04648,4.23603,44,-0.00922683,0.0589305,0.00192512,7.55883,0,0,0,nan,nan,nan
0.174249,-0.368695,37.1787,-0.0161047,2.11637,0.0721628,0.0722354,0.136481,2.34965,2.34995,1,0.13432,2.07779,4.21283,44,-0.000137061,0.0516721,0.00175664,8.00445,0,0,0,nan,nan,nan
0.179328,-0.366927,36.8771,0.00371094,2.10742,0.0729818,0.0775146,0.133398,2.38196,2.38165,1,0.111458,2.0725,4.56597,44,-0.00638021,0.0574219,0.00127223,8.49176,0,0,0,nan,nan,nan
0.184373,-0.383594,39.5729,6.51042e-05,2.69206,0.0843099,0.0647238,0.160841,2.45494,2.45525,1,0.123438,2.08893,4.93056,43,0.00240885,0.0533203,0.00155707,8.97352,0,0,0,nan,nan,nan
0.19005,-0.38896,41.4606,-0.00819672,2.11014,0.0749232,0.0986168,0.127921,2.5936,2.59282,1,0.116291,2.04529,5.12295,42,0.00589139,0.0554559,0.00165036,9.53884,0,0,0,nan,nan,nan
0.19479,-0.41724,46.9349,0.00860699,3.40281,0.0901748,0.0898464,0.257346,2.72659,2.72676,1,0.108051,2.32445,5.56593,42,-0.00423729,0.0560117,0.00168654,10.0187,0,0,0,nan,nan,nan
0.199881,-0.44465,53.4227,0.0154926,3.23226,0.0907044,0.112182,0.22508,2.84403,2.84565,1,0.114407,2.26993,5.42229,42,0.00807733,0.0631621,0.00159475,10.5704,0,0,0,nan,nan,nan
0.204556,-0.441002,52.7241,0.00377155,3.12931,0.0902478,0.122873,0.213612,2.85506,2.85487,1,0.114763,2.25528,5.38793,42,0.0080819,0.0560345,0.00186712,11.1103,0,0,0,nan,nan,nan
0.209127,-0.445043,53.6024,0.00195312,2.23693,0.0718615,0.126748,0.191336,2.94425,2.94425,1,0.126078,2.21084,5.66662,41,-0.00148168,0.0577856,0.00178778,11.6343,0,0,0,nan,nan,nan
0.213728,-0.459481,56.9714,-0.00218485,2.99907,0.0879899,0.133566,0.217375,3.06994,3.07267,1,0.128708,2.24367,5.42229,41,-0.0115863,0.0584613,0.00181319,12.1664,0,0,0,nan,nan,nan
0.218309,-0.483448,62.4613,-0.00820975,3.42585,0.0934852,0.125271,0.259469,3.11057,3.11118,1,0.100636,2.40193,5.83525,39,-0.00244968,0.054224,0.00175377,12.713,0,0,0,nan,nan,nan
0.22314,-0.489628,64.2452,0.00101024,3.30805,0.0899111,0.143041,0.276371,3.24574,3.24636,1,0.0991379,2.31233,5.61088,39,-0.00390625,0.049569,0.00160702,13.3187,0,0,0,nan,nan,nan
0.227762,-0.498543,66.3745,0.00860699,3.38771,0.0907044,0.142492,0.291882,3.33491,3.33426,1,0.112288,2.39583,5.74548,38,0.00463453,0.0558792,0.00215757,13.9058,0,0,0,nan,nan,nan
0.232488,-0.505469,67.7729,-0.00221354,4.05365,0.0983073,0.127844,0.367234,3.5632,3.5632,1,0.10625,2.45456,5.55556,38,-0.00214844,0.0603516,0.00171403,14.5171,0,0,0,nan,nan,nan
0.237582,-0.523438,72.8999,-0.00192002,3.51708,0.0895789,0.155747,0.347544,3.80556,3.80556,1,0.103814,2.45017,5.58388,38,-0.00278072,0.0630297,0.0019694,15.184,0,0,0,nan,nan,nan
0.242297,-0.535677,75.9292,0.0015625,3.4737,0.0954427,0.145008,0.276634,3.83627,3.83652,1,0.0822917,2.53604,5.64236,37,0.00625,0.0542969,0.00169052,15.8236,0,0,0,nan,nan,nan
0.247282,-0.555092,81.5727,0.00828394,4.62729,0.109846,0.16463,0.380401,3.92563,3.92563,1,0.0883621,2.56928,6.44694,34,-0.00511853,0.0579203,0.00187638,16.5149,0,0,0,nan,nan,nan
0.252055,-0.561849,83.8651,-0.000455729,3.67695,0.0992839,0.193931,0.290743,4.15328,4.15278,1,0.1,2.42532,6.11111,34,0.00429688,0.0588542,0.00178521,17.2013,0,0,0,nan,nan,nan
0.256539,-0.577846,88.0915,-0.00746373,5.39774,0.117676,0.171874,0.475304,4.28024,4.28024,1,0.0892857,2.71325,6.29783,33,-0.0101144,0.0562919,0.00193911,17.8539,0,0,0,nan,nan,nan
0.261386,-0.581038,89.9703,-0.028072,5.78284,0.125265,0.242093,0.461574,4.49802,4.49322,1,0.0794492,2.75081,6.2123,33,-0.00139036,0.0583289,0.00187211,18.5788,0,0,0,nan,nan,nan
0.265547,-0.601434,95.1926,-0.00454662,4.49091,0.103035,0.182737,0.470852,4.85562,4.8585,1,0.0881148,2.67456,6.3323,33,0.00473873,0.057249,0.00189253,19.2057,0,0,0,nan,nan,nan
0.270413,-0.622749,102.168,-0.0095339,4.46716,0.108051,0.211103,0.39977,5.43588,5.43588,1,0.0900424,2.70652,6.98434,33,-0.00291314,0.0589248,0.00240793,19.9627,0,0,0,nan,nan,nan
0.275024,-0.627049,103.69,0.0113345,5.92021,0.125064,0.22939,0.526976,5.29577,5.2944,1,0.0681352,2.8859,7.10494,33,-0.00928535,0.0614114,0.00221759,20.7056,0,0,0,nan,nan,nan
0.279522,-0.647917,109.621,-0.040625,5.75573,0.122135,0.168223,0.541423,5.76531,5.76531,1,0.0713542,2.81544,7.25694,33,-0.0100911,0.0680339,0.00234314,21.4355,0,0,0,nan,nan,nan
0.28486,-0.672772,118.721,-0.00300973,5.9179,0.122246,0.231239,0.595982,5.95155,5.9344,0.999636,0.0804303,3.00736,7.57525,32,-0.000320184,0.0669185,0.00251243,22.3289,0.000364299,0,0,53,nan,nan
0.2895,-0.680921,121.897,0.000479715,7.1043,0.131922,0.268331,0.766903,6.42344,6.37989,0.999203,0.0833333,3.00251,7.57926,30,0.00774397,0.0653098,0.00214279,23.136,0.000398724,0.000398724,0,70,52,nan
0.293878,-0.697135,127.243,-0.010026,8.21146,0.146615,0.244176,0.795976,6.81208,6.81208,1,0.0578125,3.21107,8.15972,29,-0.000325521,0.0749349,0.00252024,23.9071,0,0,0,nan,nan,nan
0.298537,-0.708724,130.744,0.0148437,5.8724,0.120573,0.192341,0.642066,7.0693,7.0101,0.998684,0.0755208,2.89381,8.17708,29,-0.0186198,0.0700521,0.00285129,24.7463,0.000877193,0.000438596,0,54.5,47,nan
0.303869,-0.722935,136.652,0.0192522,6.07227,0.119559,0.263816,0.733206,7.48842,7.34543,0.997587,0.077567,2.96248,8.31075,29,0.0110212,0.0726842,0.0033088,25.7217,0.00241313,0,0,66.6,nan,nan
0.308503,-0.729911,140.085,0.0103934,7.39523,0.133161,0.351744,0.88104,7.3551,7.25805,0.998469,0.0686384,3.2049,8.47018,29,0.00404576,0.0719866,0.00296176,26.5871,0.000510204,0.000510204,0.000510204,46,69,84
0.312578,-0.732102,140.253,0.00390625,8.12031,0.146094,0.297426,0.830333,8.46597,8.37324,0.997922,0.0590909,3.20892,8.92562,29,0.000426136,0.0667614,0.00255752,27.3564,0.00155844,0.000519481,0,55.3333,46,nan
0.317067,-0.746233,146.456,-0.0158343,7.36007,0.131766,0.391944,0.924351,8.23387,8.20922,0.999424,0.0714286,3.10177,8.66948,29,-0.0163225,0.0644531,0.00273623,28.2057,0.000576037,0,0,51,nan,nan
0.321034,-0.755162,148.677,0.0226004,8.41685,0.1476,0.277027,0.91163,8.80022,8.7261,0.998326,0.0608259,3.18208,8.56983,29,-0.00537109,0.0678711,0.00308013,28.9714,0.00167411,0,0,53,nan,nan
0.325812,-0.788665,162.756,-0.0243644,11.6186,0.174391,0.374316,1.24888,9.14859,8.99206,0.996045,0.0566737,3.56736,9.01321,29,0.00933528,0.076205,0.00336411,29.9029,0.00282486,0.00112994,0,59.8,49,nan
0.329984,-0.810677,171.926,0.00253906,10.3014,0.159049,0.401096,1.26234,11.1613,10.9737,0.996429,0.05625,3.57439,9.09722,29,-0.00911458,0.0763021,0.00342889,30.753,0.00297619,0.000595238,0,64.4,59,nan
0.334065,-0.842426,184.967,0.0203919,13.5225,0.181409,0.367022,1.70298,11.5851,11.0074,0.991157,0.0497881,3.96321,9.15685,29,0.00251589,0.0893803,0.00403509,31.6079,0.00589536,0.00294768,0,88,53,nan
0.338384,-0.842969,185.717,0.0233073,11.7742,0.172135,0.435575,1.41742,13.0428,12.9252,0.997826,0.0526042,3.71716,9.0625,29,0.0211589,0.0843099,0.00404754,32.5473,0.00144928,0.000724638,0,61.5,78,nan
0.342401,-0.867708,197.117,-0.00592448,14.0108,0.188607,0.512299,1.67922,13.7817,12.5924,0.983333,0.0442708,4.00303,9.40972,28,-0.0158203,0.085612,0.00449157,33.4219,0.00333333,0.0116667,0.00166667,86.75,82.7143,120.5
0.346148,-0.880523,202.37,-0.0138066,14.6039,0.196996,0.465879,1.61621,14.1924,12.8237,0.978221,0.046875,3.89693,9.36385,27,0.000134698,0.08257,0.00374232,34.2622,0.00453721,0.0163339,0.000907441,84.6,73,79
0.35012,-0.889117,206.279,-0.0390625,15.6075,0.204496,0.478505,1.71627,16.1069,14.3639,0.975439,0.0411184,4.09341,9.79147,26,0.00609923,0.0873766,0.00339395,35.1656,0.0111727,0.00969529,0.00378578,84.7355,80.3333,108.756
0.354085,-0.897225,210.529,-0.000202047,18.1532,0.211948,0.557324,2.35579,16.452,14.5123,0.970905,0.033944,4.26504,9.71685,25,0.0160291,0.0907866,0.00520657,36.076,0.0159483,0.009375,0.00366379,76.8986,84.4368,105.265
0.357801,-0.908854,214.978,-0.0117839,19.2775,0.231315,0.450386,1.99644,16.9944,14.8592,0.969688,0.034375,4.42509,9.94792,25,-0.0308594,0.0941406,0.00482875,36.9373,0.0145833,0.0111458,0.00458333,82.2857,80.0748,114.659
0.361977,-0.942753,231.765,0.012729,20.7065,0.230132,0.555022,2.58761,19.5585,16.3833,0.956789,0.0425647,4.37868,10.0884,24,-0.0180496,0.100889,0.00604413,37.9169,0.0198276,0.0165948,0.00678879,88.7174,82.4416,116.333
0.365783,-0.965262,242.484,0.0226702,20.7741,0.242397,0.529918,2.09687,21.6616,17.6507,0.94426,0.03125,4.57434,10.6625,22,-0.00313895,0.10791,0.00564088,38.8435,0.0225765,0.0202806,0.0128827,80.2542,84.4843,121.297
0.369719,-0.96303,242.281,0.0421317,23.6708,0.24707,0.664237,2.97386,23.8488,17.9989,0.927679,0.0362723,4.90395,10.224,22,-0.00265067,0.107561,0.0065133,39.8239,0.0361607,0.0193452,0.0171131,90.642,91.8154,128.313
0.373272,-0.965123,243.865,-0.0047433,23.1339,0.246791,0.753884,2.81522,23.7354,18.3853,0.929058,0.0301339,4.77229,9.92506,22,0.0106027,0.107282,0.0067836,40.7079,0.0339286,0.0217532,0.0152597,86.756,90.4925,121.489
0.37664,-1.00586,263.35,-0.00502232,27.8312,0.282506,0.615897,2.78713,26.9755,19.9136,0.911201,0.0284598,5.27059,9.84534,22,-0.0179269,0.127999,0.00825636,41.5479,0.0420455,0.023539,0.0233766,92.0772,92.9931,122.938
0.380399,-1.01738,270.155,0.0131331,32.8999,0.306237,0.749678,3.38252,30.9762,20.0867,0.874655,0.028556,5.50776,9.77259,22,0.00633082,0.142915,0.0104823,42.5239,0.0463793,0.0353448,0.0439655,94.1673,95.2829,134.188
0.383841,-1.05249,288.646,-0.0476974,35.3591,0.315927,0.746058,3.76465,33.5622,21.7683,0.863938,0.0279605,5.67011,9.67605,22,-0.00555099,0.136033,0.00933496,43.4282,0.0569201,0.0331384,0.0460039,97.5411,94.0941,135.097
0.387322,-1.04057,282.553,-0.0137061,36.6987,0.319764,0.803998,4.07577,35.6996,21.503,0.842325,0.0257675,5.78434,9.59911,21,-0.0136376,0.14645,0.013419,44.3741,0.0697368,0.033114,0.0552632,98.739,96.8742,137.635
0.390705,-1.10439,319.477,-0.126414,46.6831,0.36739,1.10501,4.73903,39.7644,22.4531,0.815302,0.0226293,6.50239,9.88407,21,0.015827,0.17302,0.0165945,45.2834,0.0571121,0.0431034,0.0846983,97.9811,98.625,140.366
0.393617,-1.1303,333.927,-0.027741,55.1919,0.405124,1.06422,5.18616,48.1949,23.0772,0.7523,0.0190678,6.92451,10.1803,21,0.0131091,0.164857,0.0127185,46.1146,0.0719128,0.051816,0.123971,103.394,102.444,148.254
0.396605,-1.11827,326.819,-0.0240436,44.8485,0.351495,1.05178,5.24311,46.7934,24.4513,0.766667,0.0264009,6.35182,10.46,21,0.00579203,0.159752,0.0174554,46.9873,0.0798851,0.0497126,0.103736,98.6439,101.324,146.532
0.399635,-1.125,329.932,-0.0495257,47.0059,0.368583,0.947374,4.88652,46.5128,23.5723,0.769643,0.0217634,6.54599,10.1842,21,0.0142997,0.15911,0.0119738,47.8625,0.071131,0.0502976,0.109524,102.724,100.302,147.022
0.402851,-1.14062,340.196,0.0474232,56.946,0.415022,1.15773,5.17733,53.9465,25.0743,0.716374,0.0164474,7.16761,10.7341,21,-0.0171327,0.19545,0.0192271,48.7969,0.0809942,0.0497076,0.152339,107.747,101.559,148.718
0.405784,-1.18338,365.885,-0.0176847,65.6436,0.448224,1.21599,5.76695,62.4193,23.0933,0.654909,0.0142045,7.59245,11.0124,21,-0.0334517,0.21044,0.0234977,49.6614,0.072,0.0585455,0.214182,110.803,106.267,156.912
0.408666,-1.21053,385.108,-0.0824353,78.2662,0.494477,1.66476,6.40468,72.7286,24.4206,0.595172,0.0150862,8.29854,11.2218,21,0.000336746,0.242928,0.0318298,50.5425,0.0782759,0.0510345,0.275172,111.956,107.304,160.529
0.411147,-1.21329,385.098,-0.0126488,72.4162,0.478299,1.39381,5.69487,74.9766,23.711,0.579365,0.0128968,8.04174,11.4009,21,0.0218254,0.240451,0.0188055,51.3192,0.072619,0.0531746,0.295238,110.798,109.164,161.192
0.413875,-1.23727,399.755,0.00371724,80.0684,0.5109,1.34606,5.48289,74.8129,23.8543,0.572984,0.00907258,8.43582,11.983,21,-0.00680444,0.25567,0.0283256,52.1744,0.0866935,0.0657258,0.275403,111.707,108.89,162.286
0.416669,-1.26742,420.754,0.0332351,89.4784,0.53887,1.65434,6.30869,82.7865,24.4829,0.538115,0.0128074,9.01795,12.3119,21,-0.0133837,0.292969,0.0371286,53.0674,0.0848361,0.045082,0.332377,114.15,112.036,165.964
0.419207,-1.26537,416.993,0.0815902,86.6997,0.533203,1.24661,5.83431,86.2528,23.6777,0.522984,0.00756048,8.74048,12.1293,21,0.0127898,0.297064,0.0350504,53.8986,0.0673387,0.0435484,0.368145,107.09,117.435,167.665
0.422148,-1.29468,438.066,0.0856634,95.9846,0.56949,1.59643,5.47061,95.2784,21.6325,0.456725,0.00712719,9.32303,13.7927,18,-0.0191886,0.303043,0.0396327,54.8592,0.0736842,0.0508772,0.418129,115.317,111.897,170.752
0.424765,-1.32045,453.386,0.0611049,100.373,0.587054,1.26761,5.15986,102.927,21.6662,0.42619,0.00669643,9.64162,13.2334,18,0.0412249,0.352888,0.0395725,55.7343,0.0625,0.0464286,0.46369,114.714,116.462,175.592
0.427721,-1.34291,468.76,0.0802874,101.612,0.586286,1.2963,5.82404,107.617,21.4891,0.41131,0.0078125,9.71977,13.4726,18,-0.0108119,0.371303,0.0338854,56.7413,0.0559524,0.0571429,0.47619,119.543,117.188,179.451
0.430663,-1.36086,480.956,-0.0418912,112.771,0.626751,1.27271,5.25846,113.918,21.2712,0.372989,0.00646552,10.1713,13.1168,17,-0.0132678,0.393521,0.0322903,57.7608,0.062069,0.0413793,0.522989,127.556,115.778,178.909
0.433654,-1.39227,503.211,0.100397,125.277,0.674685,1.31193,3.79258,123.465,18.3733,0.336842,0.00274123,10.9591,13.6003,17,0.055784,0.468613,0.0350149,58.8105,0.0549708,0.0269006,0.583626,123.479,117.848,184.646
